,date,language,work,work_url
15288,1961-01-29,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14468
15289,1961-01-30,in italienischer Sprache,Otello,https://archiv.wiener-staatsoper.at/performances/1872
15290,1961-01-31,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/11774
15291,1961-02-01,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14470
15292,1961-02-02,in italienischer Sprache,Madama Butterfly,https://archiv.wiener-staatsoper.at/performances/8070
15293,1961-02-03,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/365
15294,1961-02-04,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14473
15295,1961-02-05,in deutscher Sprache,Die Fledermaus,https://archiv.wiener-staatsoper.at/performances/8139
15296,1961-02-06,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14477
15297,1961-02-07,in deutscher Sprache,Elektra,https://archiv.wiener-staatsoper.at/performances/8994
15298,1961-02-08,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2363
15299,1961-02-10,in deutscher Sprache,Salome,https://archiv.wiener-staatsoper.at/performances/9344
15300,1961-02-11,in italienischer Sprache,Andrea Chénier,https://archiv.wiener-staatsoper.at/performances/341
15301,1961-02-12,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6029
15302,1961-02-12,in deutscher Sprache,La cenerentola,https://archiv.wiener-staatsoper.at/performances/12143
15303,1961-02-13,in deutscher Sprache,Die Meistersinger von Nürnberg,https://archiv.wiener-staatsoper.at/performances/1287
15304,1961-02-14,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/890
15305,1961-02-14,in deutscher Sprache,Die verkaufte Braut,https://archiv.wiener-staatsoper.at/performances/10863
15306,1961-02-15,in italienischer Sprache,La traviata,https://archiv.wiener-staatsoper.at/performances/6321
15307,1961-02-16,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/891
15308,1961-02-16,in deutscher und italienischer Sprache,Don Carlo (Ital.),https://archiv.wiener-staatsoper.at/performances/10159
15309,1961-02-17,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6030
15310,1961-02-18,in italienischer Sprache,La traviata,https://archiv.wiener-staatsoper.at/performances/6322
15311,1961-02-19,in deutscher Sprache,Ariadne auf Naxos,https://archiv.wiener-staatsoper.at/performances/11390
15312,1961-02-20,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/11777
15313,1961-02-21,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5804
15314,1961-02-22,in italienischer Sprache,Madama Butterfly,https://archiv.wiener-staatsoper.at/performances/8071
15315,1961-02-23,in italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6033
15316,1961-02-24,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2364
15317,1961-02-24,in deutscher Sprache,Dialogues des Carmélites,https://archiv.wiener-staatsoper.at/performances/13529
15318,1961-02-25,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/892
15319,1961-02-25,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7790
15320,1961-02-26,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5805
15321,1961-02-27,in deutscher Sprache,Don Giovanni,https://archiv.wiener-staatsoper.at/performances/1135
15322,1961-02-28,in deutscher Sprache,Dialogues des Carmélites,https://archiv.wiener-staatsoper.at/performances/13531
15323,1961-03-01,in italienischer Sprache,La traviata,https://archiv.wiener-staatsoper.at/performances/6323
15324,1961-03-02,in deutscher Sprache,Der fliegende Holländer,https://archiv.wiener-staatsoper.at/performances/3657
15325,1961-03-03,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6037
15326,1961-03-03,in deutscher Sprache,La cenerentola,https://archiv.wiener-staatsoper.at/performances/12144
15327,1961-03-04,in deutscher Sprache,Die Fledermaus,https://archiv.wiener-staatsoper.at/performances/8146
15328,1961-03-05,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2599
15329,1961-03-06,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7793
15330,1961-03-07,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5806
15331,1961-03-08,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2603
15332,1961-03-09,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/893
15333,1961-03-09,in italienischer Sprache,La traviata,https://archiv.wiener-staatsoper.at/performances/6324
15334,1961-03-10,in italienischer Sprache,La forza del destino,https://archiv.wiener-staatsoper.at/performances/8825
15335,1961-03-11,in deutscher Sprache,Die Zauberflöte,https://archiv.wiener-staatsoper.at/performances/3578
15336,1961-03-12,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4388
15337,1961-03-12,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7724
15338,1961-03-13,in deutscher Sprache,Die Fledermaus,https://archiv.wiener-staatsoper.at/performances/8148
15339,1961-03-14,in deutscher Sprache,Die verkaufte Braut,https://archiv.wiener-staatsoper.at/performances/10865
15340,1961-03-15,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7795
15341,1961-03-17,in italienischer Sprache,Tosca,https://archiv.wiener-staatsoper.at/performances/4200
15342,1961-03-18,in deutscher Sprache,Carmen,https://archiv.wiener-staatsoper.at/performances/11782
15343,1961-03-19,in deutscher Sprache,Das Rheingold,https://archiv.wiener-staatsoper.at/performances/11108
15344,1961-03-20,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6039
15345,1961-03-20,in deutscher Sprache,La cenerentola,https://archiv.wiener-staatsoper.at/performances/12146
15346,1961-03-21,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2366
15347,1961-03-22,in italienischer Sprache,Così fan tutte,https://archiv.wiener-staatsoper.at/performances/894
15348,1961-03-23,in deutscher Sprache,Die Zauberflöte,https://archiv.wiener-staatsoper.at/performances/3597
15349,1961-03-24,in deutscher Sprache,Die verkaufte Braut,https://archiv.wiener-staatsoper.at/performances/10866
15350,1961-03-25,in italienischer Sprache,Madama Butterfly,https://archiv.wiener-staatsoper.at/performances/8072
15351,1961-03-26,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2367
15352,1961-03-26,in deutscher Sprache,Die Fledermaus,https://archiv.wiener-staatsoper.at/performances/8150
15353,1961-03-27,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5807
15354,1961-03-28,in deutscher Sprache,Der fliegende Holländer,https://archiv.wiener-staatsoper.at/performances/3658
15355,1961-03-29,in deutscher Sprache,La Bohème (Puccini),https://archiv.wiener-staatsoper.at/performances/7802
15356,1961-03-30,in deutscher Sprache,Eugen Onegin,https://archiv.wiener-staatsoper.at/performances/14483
15357,1961-04-01,in deutscher Sprache,Parsifal,https://archiv.wiener-staatsoper.at/performances/1652
15358,1961-04-02,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/366
15359,1961-04-03,in deutscher Sprache,Parsifal,https://archiv.wiener-staatsoper.at/performances/1653
15360,1961-04-04,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4389
15361,1961-04-04,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7725
15362,1961-04-05,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5808
15363,1961-04-06,in italienischer Sprache,La forza del destino,https://archiv.wiener-staatsoper.at/performances/8826
15364,1961-04-07,in italienischer Sprache,Tosca,https://archiv.wiener-staatsoper.at/performances/4202
15365,1961-04-08,in deutscher Sprache,Don Giovanni,https://archiv.wiener-staatsoper.at/performances/1136
15366,1961-04-09,in deutscher Sprache,Der Rosenkavalier,https://archiv.wiener-staatsoper.at/performances/2605
15367,1961-04-10,in deutscher und italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6041
15368,1961-04-11,in italienischer Sprache,Tosca,https://archiv.wiener-staatsoper.at/performances/4204
15369,1961-04-12,in deutscher Sprache,Salome,https://archiv.wiener-staatsoper.at/performances/9345
15370,1961-04-13,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2368
15371,1961-04-14,in deutscher Sprache,Ariadne auf Naxos,https://archiv.wiener-staatsoper.at/performances/11392
15372,1961-04-15,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4390
15373,1961-04-15,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7726
15374,1961-04-16,in deutscher und italienischer Sprache,Aida,https://archiv.wiener-staatsoper.at/performances/367
15375,1961-04-17,in italienischer Sprache,La traviata,https://archiv.wiener-staatsoper.at/performances/6326
15376,1961-04-18,in deutscher Sprache,Die Walküre,https://archiv.wiener-staatsoper.at/performances/10711
15377,1961-04-19,in deutscher Sprache,Elektra,https://archiv.wiener-staatsoper.at/performances/8995
15378,1961-04-19,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9787
15379,1961-04-19,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/11990
15380,1961-04-20,in italienischer Sprache,Tosca,https://archiv.wiener-staatsoper.at/performances/4205
15381,1961-04-20,in deutscher Sprache,Dido und Aeneas,https://archiv.wiener-staatsoper.at/performances/9788
15382,1961-04-20,in deutscher Sprache,L' histoire du soldat,https://archiv.wiener-staatsoper.at/performances/13491
15383,1961-04-21,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5809
15384,1961-04-22,in deutscher Sprache,Die Entführung aus dem Serail,https://archiv.wiener-staatsoper.at/performances/2369
15385,1961-04-22,in deutscher Sprache,Ariadne auf Naxos,https://archiv.wiener-staatsoper.at/performances/11393
15386,1961-04-23,in italienischer Sprache,Otello,https://archiv.wiener-staatsoper.at/performances/1873
15387,1961-04-24,in italienischer Sprache,Pagliacci,https://archiv.wiener-staatsoper.at/performances/4391
15388,1961-04-24,in italienischer Sprache,Cavalleria rusticana,https://archiv.wiener-staatsoper.at/performances/7727
15389,1961-04-25,in italienischer Sprache,Le nozze di Figaro,https://archiv.wiener-staatsoper.at/performances/6044
15390,1961-04-26,in deutscher Sprache,Fidelio,https://archiv.wiener-staatsoper.at/performances/5810
15391,1961-04-27,in deutscher Sprache,Oedipus der Tyrann,https://archiv.wiener-staatsoper.at/performances/1881
