,work,composer,librettist,theatre,date
5041,Platée,Jean-Philippe Rameau,Adrien-Joseph Le Valois d' Orville,"Festival Theatre, Edinburgh",1997-08-14
5042,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-08-12
5043,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-08-15
5044,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,"Festival Theatre, Edinburgh",1997-08-16
5045,Lucia di Lammermoor,Gaetano Donizetti,Salvadore Cammarano,Usher Hall,1997-08-17
5046,Verbena de la Paloma,Tomás Bretón,Ricardo de la Vega,"King's Theatre, Edinburgh",1997-08-17
5047,Verbena de la Paloma,Tomás Bretón,Ricardo de la Vega,"King's Theatre, Edinburgh",1997-08-18
5048,Verbena de la Paloma,Tomás Bretón,Ricardo de la Vega,"King's Theatre, Edinburgh",1997-08-19
5049,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1997-08-20
5050,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1997-08-22
5051,Ariadne auf Naxos,,Hugo von Hofmannsthal,"Festival Theatre, Edinburgh",1997-08-24
5052,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Dundee Rep Theatre,1997-09-02
5053,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Town Hall, Paisley",1997-09-04
5054,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Victoria Hall, Cromarty",1997-09-06
5055,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Village Hall, Poolewe",1997-09-09
5056,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Carnegie Hall, Clashmore",1997-09-11
5057,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Haddo House Hall,1997-09-13
5058,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Town Hall, Elgin",1997-09-16
5059,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Village Hall, Lochcarron",1997-09-18
5060,Barber of Seville,Gioachino Rossini,Cesare Sterbini,"Arts Theatre, Orkney",1997-09-20
5061,Barber of Seville,Gioachino Rossini,Cesare Sterbini,Thurso High School,1997-09-23
5062,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1997-09-16
5063,Norma,Vincenzo Bellini,Felice Romani,"Theatre Royal, Glasgow",1997-09-20
