,work,composer,librettist,theatre,date
4773,Don Giovanni,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Usher Hall,1995-08-14
4774,Jacobin,Antonín Dvořák,Marie Červinková-Riegrová,"Festival Theatre, Edinburgh",1995-08-14
4775,Jacobin,Antonín Dvořák,Marie Červinková-Riegrová,"Festival Theatre, Edinburgh",1995-08-16
4776,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-14
4777,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-15
4778,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-16
4779,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-17
4780,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-18
4781,I Was Looking at the Ceiling and Then I Saw the Sky,John Adams,June Jordan,Royal Lyceum Theatre,1995-08-19
4782,Legend of the Invisible City of Kitezh,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Festival Theatre, Edinburgh",1995-08-18
4783,Legend of the Invisible City of Kitezh,Nikolay Rimsky-Korsakov,Vladimir Ivanovich Bel'sky,"Festival Theatre, Edinburgh",1995-08-19
4784,Sadko,Nikolay Rimsky-Korsakov,"Nikolay Rimsky-Korsakov
				Vladimir Ivanovich Bel'sky","Festival Theatre, Edinburgh",1995-08-21
4785,Sadko,Nikolay Rimsky-Korsakov,"Nikolay Rimsky-Korsakov
				Vladimir Ivanovich Bel'sky","Festival Theatre, Edinburgh",1995-08-22
4786,Bohème,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Gardyne Theatre,1995-09-01
