,composer,date,work
0,GIACOMO PUCCINI,1949-12-26,LA BOHÈME
1,GIACOMO PUCCINI,1949-12-28,LA BOHÈME
2,GIACOMO PUCCINI,1950-01-01,LA BOHÈME
3,GIACOMO PUCCINI,1950-01-05,LA BOHÈME
4,GIACOMO PUCCINI,1950-01-07,LA BOHÈME
5,GIACOMO PUCCINI,1950-02-04,LA BOHÈME
6,MODEST P. MUSORGSKIJ,1949-12-27,BORIS GODUNOV
7,MODEST P. MUSORGSKIJ,1949-12-29,BORIS GODUNOV
8,MODEST P. MUSORGSKIJ,1950-01-08,BORIS GODUNOV
9,MODEST P. MUSORGSKIJ,1950-01-12,BORIS GODUNOV
10,GIUSEPPE VERDI,1950-01-06,FALSTAFF
11,GIUSEPPE VERDI,1950-01-10,FALSTAFF
12,GIUSEPPE VERDI,1950-01-15,FALSTAFF
13,GIUSEPPE VERDI,1950-01-18,FALSTAFF
14,GIUSEPPE VERDI,1950-01-22,FALSTAFF
15,GIUSEPPE VERDI,1950-09-21,FALSTAFF
16,GIUSEPPE VERDI,1950-09-23,FALSTAFF
17,VINCENZO BELLINI,1950-01-11,I PURITANI E I CAVALIERI
18,VINCENZO BELLINI,1950-01-14,I PURITANI E I CAVALIERI
19,VINCENZO BELLINI,1950-01-17,I PURITANI E I CAVALIERI
20,VINCENZO BELLINI,1950-01-19,I PURITANI E I CAVALIERI
21,HEINRICH SUTERMEISTER,1950-01-21,RASKOLNIKOV
22,HEINRICH SUTERMEISTER,1950-01-25,RASKOLNIKOV
23,GIUSEPPE VERDI,1950-02-12,AIDA
24,GIUSEPPE VERDI,1950-02-15,AIDA
25,GIUSEPPE VERDI,1950-02-18,AIDA
26,GIUSEPPE VERDI,1950-02-21,AIDA
27,GIUSEPPE VERDI,1950-02-23,AIDA
28,GIUSEPPE VERDI,1950-02-26,AIDA
29,GIUSEPPE VERDI,1950-04-12,AIDA
30,GIUSEPPE VERDI,1950-04-15,AIDA
31,GIUSEPPE VERDI,1950-04-18,AIDA
32,GIUSEPPE VERDI,1950-04-22,AIDA
33,GIACOMO PUCCINI,1950-02-16,TOSCA
34,GIACOMO PUCCINI,1950-02-19,TOSCA
35,GIACOMO PUCCINI,1950-02-25,TOSCA
36,GIACOMO PUCCINI,1950-03-05,TOSCA
37,GIACOMO PUCCINI,1950-03-08,TOSCA
38,GIACOMO PUCCINI,1950-03-14,TOSCA
39,GIACOMO PUCCINI,1950-03-19,TOSCA
40,GIACOMO PUCCINI,1950-03-30,TOSCA
41,RICHARD WAGNER,1950-03-02,L'ORO DEL RENO
42,RICHARD WAGNER,1950-03-04,L'ORO DEL RENO
43,RICHARD WAGNER,1950-03-11,L'ORO DEL RENO
44,RICHARD WAGNER,1950-03-09,LA WALKIRIA
45,RICHARD WAGNER,1950-03-13,LA WALKIRIA
46,RICHARD WAGNER,1950-03-16,LA WALKIRIA
47,LUIGI CHERUBINI,1950-03-18,LODOISKA
48,LUIGI CHERUBINI,1950-03-21,LODOISKA
49,LUIGI CHERUBINI,1950-03-25,LODOISKA
50,RICHARD WAGNER,1950-03-22,SIGFRIDO
51,RICHARD WAGNER,1950-03-24,SIGFRIDO
52,RICHARD WAGNER,1950-03-26,SIGFRIDO
53,RICHARD WAGNER,1950-04-02,IL CREPUSCOLO DEGLI DEI
54,RICHARD WAGNER,1950-04-04,IL CREPUSCOLO DEGLI DEI
55,RICHARD WAGNER,1950-04-06,IL CREPUSCOLO DEGLI DEI
56,MODEST P. MUSORGSKIJ,1950-04-08,KOVÁNTSCINA
57,MODEST P. MUSORGSKIJ,1950-04-10,KOVÁNTSCINA
58,MODEST P. MUSORGSKIJ,1950-04-13,KOVÁNTSCINA
59,RICCARDO ZANDONAI,1950-04-21,FRANCESCA DA RIMINI
60,RICCARDO ZANDONAI,1950-04-23,FRANCESCA DA RIMINI
61,RICCARDO ZANDONAI,1950-04-26,FRANCESCA DA RIMINI
62,RICCARDO ZANDONAI,1950-06-02,FRANCESCA DA RIMINI
63,GIANFRANCESCO MALIPIERO,1950-05-04,L'ALLEGRA BRIGATA
64,GIANFRANCESCO MALIPIERO,1950-05-07,L'ALLEGRA BRIGATA
65,WOLFGANG AMADEUS MOZART,1950-05-12,IL FLAUTO MAGICO
66,WOLFGANG AMADEUS MOZART,1950-05-14,IL FLAUTO MAGICO
67,WOLFGANG AMADEUS MOZART,1950-05-16,IL FLAUTO MAGICO
68,WOLFGANG AMADEUS MOZART,1950-05-18,IL FLAUTO MAGICO
69,GAETANO DONIZETTI,1950-05-20,DON PASQUALE
70,GAETANO DONIZETTI,1950-05-21,DON PASQUALE
71,GAETANO DONIZETTI,1950-05-23,DON PASQUALE
72,GAETANO DONIZETTI,1950-05-28,DON PASQUALE
73,GAETANO DONIZETTI,1950-06-01,DON PASQUALE
74,GAETANO DONIZETTI,1950-06-04,DON PASQUALE
75,GIUSEPPE VERDI,1950-09-12,OTELLO
76,GIUSEPPE VERDI,1950-09-14,OTELLO
77,GIUSEPPE VERDI,1950-09-16,OTELLO
78,GAETANO DONIZETTI,1950-09-13,L'ELISIR D'AMORE
79,GAETANO DONIZETTI,1950-09-15,L'ELISIR D'AMORE
80,GAETANO DONIZETTI,1950-09-18,L'ELISIR D'AMORE
81,GAETANO DONIZETTI,1950-09-20,L'ELISIR D'AMORE
82,GIUSEPPE VERDI,1950-12-26,OTELLO
83,GIUSEPPE VERDI,1950-12-28,OTELLO
84,GIUSEPPE VERDI,1951-01-01,OTELLO
85,GIUSEPPE VERDI,1951-01-03,OTELLO
86,RICHARD WAGNER,1950-12-27,TANNHÄUSER
87,RICHARD WAGNER,1950-12-30,TANNHÄUSER
88,RICHARD WAGNER,1951-01-06,TANNHÄUSER
89,RICHARD WAGNER,1951-01-09,TANNHÄUSER
90,RICHARD WAGNER,1951-01-14,TANNHÄUSER
91,UMBERTO GIORDANO,1951-01-04,ANDREA CHÉNIER
92,UMBERTO GIORDANO,1951-01-07,ANDREA CHÉNIER
93,UMBERTO GIORDANO,1951-01-10,ANDREA CHÉNIER
94,UMBERTO GIORDANO,1951-01-13,ANDREA CHÉNIER
95,WOLFGANG AMADEUS MOZART,1951-01-15,DON GIOVANNI
96,WOLFGANG AMADEUS MOZART,1951-01-18,DON GIOVANNI
97,WOLFGANG AMADEUS MOZART,1951-01-21,DON GIOVANNI
98,WOLFGANG AMADEUS MOZART,1951-01-23,DON GIOVANNI
99,WOLFGANG AMADEUS MOZART,1951-01-28,DON GIOVANNI
100,GIANCARLO MENOTTI,1951-01-22,IL CONSOLE
101,GIANCARLO MENOTTI,1951-01-25,IL CONSOLE
102,GIANCARLO MENOTTI,1951-01-30,IL CONSOLE
103,GIANCARLO MENOTTI,1951-02-01,IL CONSOLE
104,GIUSEPPE VERDI,1951-02-03,LA TRAVIATA
105,GIUSEPPE VERDI,1951-02-08,LA TRAVIATA
106,GIUSEPPE VERDI,1951-02-11,LA TRAVIATA
107,GIUSEPPE VERDI,1951-02-14,LA TRAVIATA
108,GIUSEPPE VERDI,1951-02-18,LA TRAVIATA
109,GIUSEPPE VERDI,1951-03-03,LA TRAVIATA
110,GIUSEPPE VERDI,1951-03-10,LA TRAVIATA
111,GIUSEPPE VERDI,1951-02-13,OBERTO CONTE DI SAN BONIFACIO
112,GIUSEPPE VERDI,1951-02-15,OBERTO CONTE DI SAN BONIFACIO
113,GIUSEPPE VERDI,1951-02-17,OBERTO CONTE DI SAN BONIFACIO
114,GIUSEPPE VERDI,1951-02-25,OBERTO CONTE DI SAN BONIFACIO
115,GIUSEPPE VERDI,1951-02-27,OBERTO CONTE DI SAN BONIFACIO
116,GIUSEPPE VERDI,1951-02-20,AIDA
117,GIUSEPPE VERDI,1951-02-22,AIDA
118,GIUSEPPE VERDI,1951-02-25,AIDA
119,GIUSEPPE VERDI,1951-03-01,AIDA
120,GIUSEPPE VERDI,1951-03-04,AIDA
121,GIUSEPPE VERDI,1951-03-06,AIDA
122,NICCOLO' VITO PICCINNI,1951-02-24,"CECCHINA, O LA BUONA FIGLIOLA"
123,NICCOLO' VITO PICCINNI,1951-02-28,"CECCHINA, O LA BUONA FIGLIOLA"
124,NICCOLO' VITO PICCINNI,1951-03-07,"CECCHINA, O LA BUONA FIGLIOLA"
125,NICCOLO' VITO PICCINNI,1951-03-13,"CECCHINA, O LA BUONA FIGLIOLA"
126,,1951-03-09,IL COMBATTIMENTO DI TANC.
127,,1951-03-09,L'ELISIR D'AMORE
128,,1951-03-11,IL COMBATTIMENTO DI TANC.
129,,1951-03-11,L'ELISIR D'AMORE
130,,1951-03-15,IL COMBATTIMENTO DI TANC.
131,,1951-03-15,L'ELISIR D'AMORE
132,,1951-03-18,IL COMBATTIMENTO DI TANC.
133,,1951-03-18,L'ELISIR D'AMORE
134,,1951-03-21,IL COMBATTIMENTO DI TANC.
135,,1951-03-21,L'ELISIR D'AMORE
136,,1951-04-08,IL COMBATTIMENTO DI TANC.
137,,1951-04-08,L'ELISIR D'AMORE
138,,1951-04-22,IL COMBATTIMENTO DI TANC.
139,,1951-04-22,L'ELISIR D'AMORE
140,,1951-03-09,IL COMBATTIMENTO DI TANC.
141,,1951-03-09,L'ELISIR D'AMORE
142,,1951-03-11,IL COMBATTIMENTO DI TANC.
143,,1951-03-11,L'ELISIR D'AMORE
144,,1951-03-15,IL COMBATTIMENTO DI TANC.
145,,1951-03-15,L'ELISIR D'AMORE
146,,1951-03-18,IL COMBATTIMENTO DI TANC.
147,,1951-03-18,L'ELISIR D'AMORE
148,,1951-03-21,IL COMBATTIMENTO DI TANC.
149,,1951-03-21,L'ELISIR D'AMORE
150,,1951-04-08,IL COMBATTIMENTO DI TANC.
151,,1951-04-08,L'ELISIR D'AMORE
152,,1951-04-22,IL COMBATTIMENTO DI TANC.
153,,1951-04-22,L'ELISIR D'AMORE
154,NICOLAI RIMSKY KORSAKOV,1951-03-17,LEGGENDA DELLA CITTÀ INVISIBILE DI KITESC
155,NICOLAI RIMSKY KORSAKOV,1951-03-19,LEGGENDA DELLA CITTÀ INVISIBILE DI KITESC
156,NICOLAI RIMSKY KORSAKOV,1951-03-28,LEGGENDA DELLA CITTÀ INVISIBILE DI KITESC
157,NICOLAI RIMSKY KORSAKOV,1951-03-31,LEGGENDA DELLA CITTÀ INVISIBILE DI KITESC
158,NICOLAI RIMSKY KORSAKOV,1951-04-03,LEGGENDA DELLA CITTÀ INVISIBILE DI KITESC
159,RICHARD WAGNER,1951-03-24,PARSIFAL
160,RICHARD WAGNER,1951-03-27,PARSIFAL
161,RICHARD WAGNER,1951-04-01,PARSIFAL
162,RICHARD WAGNER,1951-04-04,PARSIFAL
163,CHRISTOPH WILLIBALD GLUCK,1951-04-07,ORFEO
164,CHRISTOPH WILLIBALD GLUCK,1951-04-11,ORFEO
165,CHRISTOPH WILLIBALD GLUCK,1951-04-13,ORFEO
166,CHRISTOPH WILLIBALD GLUCK,1951-04-15,ORFEO
167,GAETANO DONIZETTI,1951-04-12,LUCREZIA BORGIA
168,GAETANO DONIZETTI,1951-04-14,LUCREZIA BORGIA
169,GAETANO DONIZETTI,1951-04-17,LUCREZIA BORGIA
170,GAETANO DONIZETTI,1951-04-19,LUCREZIA BORGIA
171,JULES MASSENET,1951-04-18,WERTHER
172,JULES MASSENET,1951-04-21,WERTHER
173,JULES MASSENET,1951-04-23,WERTHER
174,JULES MASSENET,1951-04-26,WERTHER
175,JULES MASSENET,1951-05-02,WERTHER
176,JULES MASSENET,1951-05-06,WERTHER
177,GAETANO DONIZETTI,1951-04-25,L'ELISIR D'AMORE
178,GAETANO DONIZETTI,1951-04-29,L'ELISIR D'AMORE
179,ALEXANDER BORODIN,1951-04-28,IL PRINCIPE IGOR
180,ALEXANDER BORODIN,1951-04-30,IL PRINCIPE IGOR
181,ALEXANDER BORODIN,1951-05-03,IL PRINCIPE IGOR
182,ALEXANDER BORODIN,1951-05-11,IL PRINCIPE IGOR
183,GIACOMO PUCCINI,1951-05-10,MADAMA BUTTERFLY
184,GIACOMO PUCCINI,1951-05-13,MADAMA BUTTERFLY
185,GIACOMO PUCCINI,1951-05-16,MADAMA BUTTERFLY
186,GIACOMO PUCCINI,1951-05-20,MADAMA BUTTERFLY
187,GIACOMO PUCCINI,1951-05-24,MADAMA BUTTERFLY
188,GIACOMO PUCCINI,1951-05-31,MADAMA BUTTERFLY
189,GIACOMO PUCCINI,1951-06-16,MADAMA BUTTERFLY
190,GIUSEPPE VERDI,1951-05-19,UN BALLO IN MASCHERA
191,GIUSEPPE VERDI,1951-05-22,UN BALLO IN MASCHERA
192,GIUSEPPE VERDI,1951-05-27,UN BALLO IN MASCHERA
193,GIUSEPPE VERDI,1951-05-30,UN BALLO IN MASCHERA
194,GIUSEPPE VERDI,1951-06-02,UN BALLO IN MASCHERA
195,GIUSEPPE VERDI,1951-06-06,UN BALLO IN MASCHERA
196,CLAUDE DEBUSSY,1951-05-23,LE MARTYRE DE SAINT SÉBASTIEN
197,CLAUDE DEBUSSY,1951-05-25,LE MARTYRE DE SAINT SÉBASTIEN
198,CLAUDE DEBUSSY,1951-05-26,LE MARTYRE DE SAINT SÉBASTIEN
199,CLAUDE DEBUSSY,1951-05-28,LE MARTYRE DE SAINT SÉBASTIEN
200,GIUSEPPE VERDI,1951-06-05,FALSTAFF
201,GIUSEPPE VERDI,1951-06-07,FALSTAFF
202,,1951-07-07,L'AMICO FRITZ
203,,1951-07-07,TOSCA
204,,1951-07-07,L'OSTERIA PORTOGHESE
205,,1951-07-07,L'AMICO FRITZ
206,,1951-07-07,TOSCA
207,,1951-07-07,L'OSTERIA PORTOGHESE
208,,1951-07-07,L'AMICO FRITZ
209,,1951-07-07,TOSCA
210,,1951-07-07,L'OSTERIA PORTOGHESE
211,,1951-07-09,L'AMICO FRITZ
212,,1951-07-09,L'OSTERIA PORTOGHESE
213,,1951-07-09,L'AMICO FRITZ
214,,1951-07-09,L'OSTERIA PORTOGHESE
215,IGOR STRAVINSKI,1951-09-11,THE RAKE'S PROGRESS
216,IGOR STRAVINSKI,1951-09-13,THE RAKE'S PROGRESS
217,IGOR STRAVINSKI,1951-09-14,THE RAKE'S PROGRESS
218,GIUSEPPE VERDI,1951-12-07,I VESPRI SICILIANI
219,GIUSEPPE VERDI,1951-12-09,I VESPRI SICILIANI
220,GIUSEPPE VERDI,1951-12-12,I VESPRI SICILIANI
221,GIUSEPPE VERDI,1951-12-16,I VESPRI SICILIANI
222,GIUSEPPE VERDI,1951-12-19,I VESPRI SICILIANI
223,GIUSEPPE VERDI,1951-12-27,I VESPRI SICILIANI
224,GIUSEPPE VERDI,1952-01-03,I VESPRI SICILIANI
225,IGOR STRAVINSKI,1951-12-08,CARRIERA D'UN LIBERTINO
226,IGOR STRAVINSKI,1951-12-10,CARRIERA D'UN LIBERTINO
227,IGOR STRAVINSKI,1951-12-22,CARRIERA D'UN LIBERTINO
228,IGOR STRAVINSKI,1951-12-30,CARRIERA D'UN LIBERTINO
229,RICHARD WAGNER,1951-12-13,TRISTANO E ISOTTA
230,RICHARD WAGNER,1951-12-15,TRISTANO E ISOTTA
231,RICHARD WAGNER,1951-12-18,TRISTANO E ISOTTA
232,RICHARD WAGNER,1951-12-20,TRISTANO E ISOTTA
233,RICHARD WAGNER,1951-12-23,TRISTANO E ISOTTA
234,,1951-12-26,LA SERVA PADRONA
235,,1951-12-26,L'OSTERIA
236,,1951-12-26,IL CREDULO
237,,1951-12-31,LA SERVA PADRONA
238,,1951-12-31,L'OSTERIA
239,,1951-12-31,IL CREDULO
240,,1952-01-05,LA SERVA PADRONA
241,,1952-01-05,L'OSTERIA
242,,1952-01-05,IL CREDULO
243,,1952-01-08,LA SERVA PADRONA
244,,1952-01-08,L'OSTERIA
245,,1952-01-08,IL CREDULO
246,,1951-12-26,LA SERVA PADRONA
247,,1951-12-26,L'OSTERIA
248,,1951-12-26,IL CREDULO
249,,1951-12-31,LA SERVA PADRONA
250,,1951-12-31,L'OSTERIA
251,,1951-12-31,IL CREDULO
252,,1952-01-05,LA SERVA PADRONA
253,,1952-01-05,L'OSTERIA
254,,1952-01-05,IL CREDULO
255,,1952-01-08,LA SERVA PADRONA
256,,1952-01-08,L'OSTERIA
257,,1952-01-08,IL CREDULO
258,,1951-12-26,LA SERVA PADRONA
259,,1951-12-26,L'OSTERIA
260,,1951-12-26,IL CREDULO
261,,1951-12-31,LA SERVA PADRONA
262,,1951-12-31,L'OSTERIA
263,,1951-12-31,IL CREDULO
264,,1952-01-05,LA SERVA PADRONA
265,,1952-01-05,L'OSTERIA
266,,1952-01-05,IL CREDULO
267,,1952-01-08,LA SERVA PADRONA
268,,1952-01-08,L'OSTERIA
269,,1952-01-08,IL CREDULO
270,LUDWIG VAN BEETHOVEN,1952-01-09,FIDELIO
271,LUDWIG VAN BEETHOVEN,1952-01-12,FIDELIO
272,LUDWIG VAN BEETHOVEN,1952-01-15,FIDELIO
273,LUDWIG VAN BEETHOVEN,1952-01-20,FIDELIO
274,LUDWIG VAN BEETHOVEN,1952-01-22,FIDELIO
275,ENGELBERT HUMPERDINCK,1952-01-13,HÄNSEL E GRETEL
276,VINCENZO BELLINI,1952-01-16,NORMA
277,VINCENZO BELLINI,1952-01-19,NORMA
278,VINCENZO BELLINI,1952-01-23,NORMA
279,VINCENZO BELLINI,1952-01-27,NORMA
280,VINCENZO BELLINI,1952-01-29,NORMA
281,VINCENZO BELLINI,1952-02-02,NORMA
282,VINCENZO BELLINI,1952-02-07,NORMA
283,VINCENZO BELLINI,1952-02-10,NORMA
284,VINCENZO BELLINI,1952-04-14,NORMA
285,RICHARD STRAUSS,1952-01-26,IL CAVALIERE DELLA ROSA
286,RICHARD STRAUSS,1952-01-31,IL CAVALIERE DELLA ROSA
287,RICHARD STRAUSS,1952-02-03,IL CAVALIERE DELLA ROSA
288,RICHARD STRAUSS,1952-02-06,IL CAVALIERE DELLA ROSA
289,RICHARD STRAUSS,1952-02-13,IL CAVALIERE DELLA ROSA
290,RICHARD STRAUSS,1952-02-17,IL CAVALIERE DELLA ROSA
291,LODOVICO ROCCA,1952-02-09,L'URAGANO
292,LODOVICO ROCCA,1952-02-12,L'URAGANO
293,LODOVICO ROCCA,1952-02-19,L'URAGANO
294,LODOVICO ROCCA,1952-02-23,L'URAGANO
295,,1952-02-16,CAVALLERIA RUSTICANA
296,,1952-02-16,LA VITA BREVE
297,,1952-02-21,CAVALLERIA RUSTICANA
298,,1952-02-21,LA VITA BREVE
299,,1952-02-24,CAVALLERIA RUSTICANA
300,,1952-02-24,LA VITA BREVE
301,,1952-02-28,CAVALLERIA RUSTICANA
302,,1952-02-28,LA VITA BREVE
303,,1952-03-01,CAVALLERIA RUSTICANA
304,,1952-03-01,LA VITA BREVE
305,,1952-03-05,CAVALLERIA RUSTICANA
306,,1952-03-05,LA VITA BREVE
307,,1952-03-08,CAVALLERIA RUSTICANA
308,,1952-03-08,LA VITA BREVE
309,,1952-03-11,CAVALLERIA RUSTICANA
310,,1952-03-11,LA VITA BREVE
311,,1952-03-20,CAVALLERIA RUSTICANA
312,,1952-03-20,LA VITA BREVE
313,,1952-03-23,CAVALLERIA RUSTICANA
314,,1952-03-23,LA VITA BREVE
315,,1952-02-16,CAVALLERIA RUSTICANA
316,,1952-02-16,LA VITA BREVE
317,,1952-02-21,CAVALLERIA RUSTICANA
318,,1952-02-21,LA VITA BREVE
319,,1952-02-24,CAVALLERIA RUSTICANA
320,,1952-02-24,LA VITA BREVE
321,,1952-02-28,CAVALLERIA RUSTICANA
322,,1952-02-28,LA VITA BREVE
323,,1952-03-01,CAVALLERIA RUSTICANA
324,,1952-03-01,LA VITA BREVE
325,,1952-03-05,CAVALLERIA RUSTICANA
326,,1952-03-05,LA VITA BREVE
327,,1952-03-08,CAVALLERIA RUSTICANA
328,,1952-03-08,LA VITA BREVE
329,,1952-03-11,CAVALLERIA RUSTICANA
330,,1952-03-11,LA VITA BREVE
331,,1952-03-20,CAVALLERIA RUSTICANA
332,,1952-03-20,LA VITA BREVE
333,,1952-03-23,CAVALLERIA RUSTICANA
334,,1952-03-23,LA VITA BREVE
335,RICHARD WAGNER,1952-02-29,I MAESTRI CANTORI DI NORIMBERGA
336,RICHARD WAGNER,1952-03-04,I MAESTRI CANTORI DI NORIMBERGA
337,RICHARD WAGNER,1952-03-06,I MAESTRI CANTORI DI NORIMBERGA
338,RICHARD WAGNER,1952-03-09,I MAESTRI CANTORI DI NORIMBERGA
339,RICHARD WAGNER,1952-03-12,I MAESTRI CANTORI DI NORIMBERGA
340,RICHARD WAGNER,1952-03-16,I MAESTRI CANTORI DI NORIMBERGA
341,JUAN JOSE' CASTRO,1952-03-17,PROSERPINA E LO STRANIERO
342,JUAN JOSE' CASTRO,1952-03-19,PROSERPINA E LO STRANIERO
343,JUAN JOSE' CASTRO,1952-03-26,PROSERPINA E LO STRANIERO
344,JUAN JOSE' CASTRO,1952-03-29,PROSERPINA E LO STRANIERO
345,WOLFGANG AMADEUS MOZART,1952-04-02,IL RATTO DAL SERRAGLIO
346,WOLFGANG AMADEUS MOZART,1952-04-05,IL RATTO DAL SERRAGLIO
347,WOLFGANG AMADEUS MOZART,1952-04-07,IL RATTO DAL SERRAGLIO
348,WOLFGANG AMADEUS MOZART,1952-04-09,IL RATTO DAL SERRAGLIO
349,ARRIGO BOITO,1952-04-12,MEFISTOFELE
350,ARRIGO BOITO,1952-04-16,MEFISTOFELE
351,ARRIGO BOITO,1952-04-18,MEFISTOFELE
352,ARRIGO BOITO,1952-04-20,MEFISTOFELE
353,ARRIGO BOITO,1952-04-29,MEFISTOFELE
354,ARRIGO BOITO,1952-05-05,MEFISTOFELE
355,ARRIGO BOITO,1952-05-11,MEFISTOFELE
356,ARRIGO BOITO,1952-05-18,MEFISTOFELE
357,CAMILLE SAINT SAENS,1952-04-17,SANSONE E DALILA
358,CAMILLE SAINT SAENS,1952-04-19,SANSONE E DALILA
359,CAMILLE SAINT SAENS,1952-04-21,SANSONE E DALILA
360,CAMILLE SAINT SAENS,1952-04-23,SANSONE E DALILA
361,GIOACHINO ROSSINI,1952-04-24,IL BARBIERE DI SIVIGLIA
362,GIOACHINO ROSSINI,1952-04-26,IL BARBIERE DI SIVIGLIA
363,GIOACHINO ROSSINI,1952-05-03,IL BARBIERE DI SIVIGLIA
364,GIOACHINO ROSSINI,1952-05-04,IL BARBIERE DI SIVIGLIA
365,GIOACHINO ROSSINI,1952-05-07,IL BARBIERE DI SIVIGLIA
366,ILDEBRANDO PIZZETTI,1952-05-06,DÈBORA E JAÉLE
367,ILDEBRANDO PIZZETTI,1952-05-08,DÈBORA E JAÉLE
368,ILDEBRANDO PIZZETTI,1952-05-10,DÈBORA E JAÉLE
369,ILDEBRANDO PIZZETTI,1952-05-14,DÈBORA E JAÉLE
370,GAETANO DONIZETTI,1952-05-13,DON PASQUALE
371,GAETANO DONIZETTI,1952-05-15,DON PASQUALE
372,GAETANO DONIZETTI,1952-05-17,DON PASQUALE
373,GAETANO DONIZETTI,1952-05-25,DON PASQUALE
374,GIUSEPPE VERDI,1952-05-22,DON CARLO
375,GIUSEPPE VERDI,1952-05-24,DON CARLO
376,GIUSEPPE VERDI,1952-05-28,DON CARLO
377,GIUSEPPE VERDI,1952-05-30,DON CARLO
378,GIUSEPPE VERDI,1952-05-26,FALSTAFF
379,GIUSEPPE VERDI,1952-05-29,FALSTAFF
380,ALBAN BERG,1952-06-05,WOZZECK
381,ALBAN BERG,1952-06-07,WOZZECK
382,ALBAN BERG,1952-06-09,WOZZECK
383,ALBAN BERG,1952-06-11,WOZZECK
384,,1952-07-05,LA SERVA PADRONA
385,,1952-07-05,MANON LESCAUT
386,,1952-07-05,G. SCHICCHI
387,,1952-07-05,LA SERVA PADRONA
388,,1952-07-05,MANON LESCAUT
389,,1952-07-05,G. SCHICCHI
390,,1952-07-05,LA SERVA PADRONA
391,,1952-07-05,MANON LESCAUT
392,,1952-07-05,G. SCHICCHI
393,GIUSEPPE VERDI,1952-12-07,MACBETH
394,GIUSEPPE VERDI,1952-12-09,MACBETH
395,GIUSEPPE VERDI,1952-12-11,MACBETH
396,GIUSEPPE VERDI,1952-12-14,MACBETH
397,GIUSEPPE VERDI,1952-12-17,MACBETH
398,RICHARD STRAUSS,1952-12-08,L'AMORE DI DANAE
399,RICHARD STRAUSS,1952-12-13,L'AMORE DI DANAE
400,RICHARD STRAUSS,1952-12-16,L'AMORE DI DANAE
401,RICHARD STRAUSS,1952-12-20,L'AMORE DI DANAE
402,GIACOMO PUCCINI,1952-12-15,LA BOHEME
403,GIACOMO PUCCINI,1952-12-18,LA BOHEME
404,GIACOMO PUCCINI,1952-12-21,LA BOHEME
405,GIACOMO PUCCINI,1952-12-27,LA BOHEME
406,GIACOMO PUCCINI,1953-03-01,LA BOHEME
407,GIACOMO PUCCINI,1953-03-05,LA BOHEME
408,GIACOMO PUCCINI,1953-03-08,LA BOHEME
409,GIACOMO PUCCINI,1953-03-21,LA BOHEME
410,GIACOMO PUCCINI,1953-04-17,LA BOHEME
411,GIACOMO PUCCINI,1953-04-21,LA BOHEME
412,GIACOMO PUCCINI,1953-04-26,LA BOHEME
413,AMILCARE PONCHIELLI,1952-12-26,LA GIOCONDA
414,AMILCARE PONCHIELLI,1952-12-28,LA GIOCONDA
415,AMILCARE PONCHIELLI,1952-12-30,LA GIOCONDA
416,AMILCARE PONCHIELLI,1953-01-01,LA GIOCONDA
417,AMILCARE PONCHIELLI,1953-01-03,LA GIOCONDA
418,AMILCARE PONCHIELLI,1953-01-06,LA GIOCONDA
419,AMILCARE PONCHIELLI,1953-01-11,LA GIOCONDA
420,AMILCARE PONCHIELLI,1953-01-14,LA GIOCONDA
421,AMILCARE PONCHIELLI,1953-01-21,LA GIOCONDA
422,AMILCARE PONCHIELLI,1953-02-19,LA GIOCONDA
423,,1953-01-04,SERVA PADRONA
424,,1953-01-04, ITALIANA IN LONDRA
425,,1953-01-04, OSTERIA
426,,1953-02-27,SERVA PADRONA
427,,1953-02-27, ITALIANA IN LONDRA
428,,1953-02-27, OSTERIA
429,,1953-03-02,SERVA PADRONA
430,,1953-03-02, ITALIANA IN LONDRA
431,,1953-03-02, OSTERIA
432,,1953-03-03,SERVA PADRONA
433,,1953-03-03, ITALIANA IN LONDRA
434,,1953-03-03, OSTERIA
435,,1953-03-04,SERVA PADRONA
436,,1953-03-04, ITALIANA IN LONDRA
437,,1953-03-04, OSTERIA
438,,1953-03-06,SERVA PADRONA
439,,1953-03-06, ITALIANA IN LONDRA
440,,1953-03-06, OSTERIA
441,,1953-03-07,SERVA PADRONA
442,,1953-03-07, ITALIANA IN LONDRA
443,,1953-03-07, OSTERIA
444,,1953-01-04,SERVA PADRONA
445,,1953-01-04, ITALIANA IN LONDRA
446,,1953-01-04, OSTERIA
447,,1953-02-27,SERVA PADRONA
448,,1953-02-27, ITALIANA IN LONDRA
449,,1953-02-27, OSTERIA
450,,1953-03-02,SERVA PADRONA
451,,1953-03-02, ITALIANA IN LONDRA
452,,1953-03-02, OSTERIA
453,,1953-03-03,SERVA PADRONA
454,,1953-03-03, ITALIANA IN LONDRA
455,,1953-03-03, OSTERIA
456,,1953-03-04,SERVA PADRONA
457,,1953-03-04, ITALIANA IN LONDRA
458,,1953-03-04, OSTERIA
459,,1953-03-06,SERVA PADRONA
460,,1953-03-06, ITALIANA IN LONDRA
461,,1953-03-06, OSTERIA
462,,1953-03-07,SERVA PADRONA
463,,1953-03-07, ITALIANA IN LONDRA
464,,1953-03-07, OSTERIA
465,,1953-01-04,SERVA PADRONA
466,,1953-01-04, ITALIANA IN LONDRA
467,,1953-01-04, OSTERIA
468,,1953-02-27,SERVA PADRONA
469,,1953-02-27, ITALIANA IN LONDRA
470,,1953-02-27, OSTERIA
