,date,work,composer
10714,1929-11-05,The Bartered Bride,Bedřich Smetana
10715,1929-08-28,The Bartered Bride,Bedřich Smetana
10716,1929-08-29,Carmen,Georges Bizet
10717,1929-08-31,Rusalka,Antonín Dvořák
10718,1929-09-01,Madama Butterfly,Giacomo Puccini
10719,1929-09-01,The Marriage of Figaro,Wolfgang Amadeus Mozart
10720,1929-09-02,Cavalleria rusticana,Pietro Mascagni
10721,1929-09-02,I Pagliacci,Ruggiero Leoncavallo
10722,1929-09-04,The Kiss,Bedřich Smetana
10723,1929-09-07,Šárka,Zdeněk Fibich
10724,1929-09-08,Židovka,Jacques Fromental Elie Halévy
10725,1929-09-09,The Secret,Bedřich Smetana
10726,1929-09-11,Psohlavci,Karel Kovařovic
10727,1929-09-13,Eugen Onegin,Pyotr Ilyich Tchaikovsky
10728,1929-09-14,The Two Widows,Bedřich Smetana
10729,1929-09-15,La Traviata,Giuseppe Verdi
10730,1929-09-15,Tannhäuser,Richard Wagner
10731,1929-09-16,Král a uhlíř,Antonín Dvořák
10732,1929-09-18,The Jacobin,Antonín Dvořák
10733,1929-09-18,The Bartered Bride,Bedřich Smetana
10734,1929-09-20,Rigoletto,Giuseppe Verdi
10735,1929-09-22,Čarostřelec,Carl Maria von Weber
10736,1929-09-24,Tvrdé palice,Antonín Dvořák
10737,1929-09-24,V studni,Vilém Blodek
10738,1929-09-25,Hedy,Zdeněk Fibich
10739,1929-09-30,Šárka,Zdeněk Fibich
10740,1929-10-02,Král a uhlíř,Antonín Dvořák
10741,1929-10-04,Jenůfa,Leoš Janáček
10742,1929-10-05,Jenůfa,Leoš Janáček
10743,1929-10-05,Bludný Holanďan,Richard Wagner
10744,1929-10-06,The Devil’s Wall,Bedřich Smetana
10745,1929-10-08,Dalibor,Bedřich Smetana
10746,1929-10-09,Oberon,Carl Maria von Weber
10747,1929-10-10,Psohlavci,Karel Kovařovic
10748,1929-10-13,The Bartered Bride,Bedřich Smetana
10749,1929-10-13,Oberon,Carl Maria von Weber
10750,1929-10-14,Messinská nevěsta,Zdeněk Fibich
10751,1929-10-16,Rusalka,Antonín Dvořák
10752,1929-10-16,Oberon,Carl Maria von Weber
10753,1929-10-18,Tvrdé palice,Antonín Dvořák
10754,1929-10-18,V studni,Vilém Blodek
10755,1929-10-19,Tannhäuser,Richard Wagner
10756,1929-10-20,Manon,Jules Massenet
10757,1929-10-20,Les contes dHoffmann,Jacques Offenbach
10758,1929-10-21,Čarostřelec,Carl Maria von Weber
