,date,work,composer
11087,1930-06-06,Pytlák,Gustav Albert Lortzing
11088,1930-06-07,Pytlák,Gustav Albert Lortzing
11089,1930-06-10,Pytlák,Gustav Albert Lortzing
11090,1930-06-12,Pytlák,Gustav Albert Lortzing
11091,1930-06-13,Madama Butterfly,Giacomo Puccini
11092,1930-06-16,Pytlák,Gustav Albert Lortzing
11093,1930-06-18,V studni,Vilém Blodek
11094,1930-06-22,Mignon,Ambroise Thomas
11095,1930-06-24,Pytlák,Gustav Albert Lortzing
11096,1930-06-26,Madama Butterfly,Giacomo Puccini
11097,1930-06-28,Les contes dHoffmann,Jacques Offenbach
11098,1930-07-01,Troubadour,Giuseppe Verdi
11099,1930-07-03,Pytlák,Gustav Albert Lortzing
11100,1930-07-05,La Traviata,Giuseppe Verdi
11101,1930-07-06,The Bartered Bride,Bedřich Smetana
