,Work,Theatre,City,country,date
1893,The Turn of the Screw,Lyric Theatre,South Brisbane,QLD,1988-08-13
1894,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-08-12
1895,Otello,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-07-19
1896,The Rake's Progress,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-07-01
1897,Andrea Chenier,State Theatre,Melbourne,VIC,1988-07-01
1898,Manon,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-06-24
1899,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-06-17
1900,Orpheus and Eurydice,Her Majesty's Theatre,Adelaide,SA,1988-06-11
1901,L'Incoronazione di Poppea,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-06-08
1902,La Forza del Destino,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-06-07
1903,Madama Butterfly,The Botanic Gardens Theatre,Darwin,NT,1988-06-04
1904,Die Walkure (Act One) / Siegfried Idyll,Festival Theatre,Adelaide,SA,1988-05-28
1905,Lake Lost,Key Studios,Melbourne,VIC,1988-05-14
1906,La Forza del Destino,State Theatre,Melbourne,VIC,1988-05-02
1907,La Cenerentola,State Theatre,Melbourne,VIC,1988-04-30
1908,Tosca,State Theatre,Melbourne,VIC,1988-04-20
1909,Manon,State Theatre,Melbourne,VIC,1988-04-08
1910,L'Incoronazione di Poppea,State Theatre,Melbourne,VIC,1988-03-24
1911,The Magic Flute,State Theatre,Melbourne,VIC,1988-03-16
1912,Carmen,State Theatre,Melbourne,VIC,1988-03-12
1913,The Fiery Angel,Festival Theatre,Adelaide,SA,1988-03-05
1914,Fascinating Aida,Playhouse,Melbourne,VIC,1988-03-01
1915,The Water Puppets of Vietnam,Royal Botanic Gardens Melbourne,Melbourne,VIC,1988-03-01
1916,L'Incoronazione di Poppea,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-02-19
1917,The Coronation of Poppea,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-02-19
1918,Turandot,Concert Hall (Sydney Opera House),Sydney,NSW,1988-02-16
1919,Don Giovanni,His Majesty's Theatre,Perth,WA,1988-02-11
1920,Salome,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-02-01
1921,The Emperor of Atlantis,The Space,Adelaide,SA,1988-02-01
1922,Rigoletto,Sidney Myer Music Bowl,Melbourne,VIC,1988-01-31
1923,La Traviata,Parramatta Park,Parramatta,NSW,1988-01-16
1924,Don Giovanni,Theatre Royal,Hobart,TAS,1988-01-11
1925,La Traviata,Domain,Sydney,NSW,1988-01-09
1926,La Clemenza di Tito,Concert Hall (Sydney Opera House),Sydney,NSW,1988-01-08
1927,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-01-07
1928,Carmen,Opera Theatre (Sydney Opera House),Sydney,NSW,1988-01-02
1929,Fascinating Aida,Playhouse (Sydney Opera House),Sydney,NSW,1987-12-31
1930,La Belle Helene,State Theatre,Melbourne,VIC,1987-12-02
1931,La Boheme,Civic Theatre,Newcastle,NSW,1987-12-01
1932,The Czardas Princess,Her Majesty's Theatre,Adelaide,SA,1987-11-20
1933,Carmen,Lyric Theatre,South Brisbane,QLD,1987-11-13
1934,Don Giovanni,Lyric Theatre,South Brisbane,QLD,1987-11-09
1935,La Cenerentola,Lyric Theatre,South Brisbane,QLD,1987-11-07
1936,Carmen,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-10-08
1937,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-09-28
1938,La Calisto,Guild Theatre,Parkville,VIC,1987-09-17
1939,Sweeney Todd,Opera Theatre,Adelaide,SA,1987-09-11
1940,Don Giovanni / The Lulu Plays,Union Theatre,Parkville,VIC,1987-09-09
1941,Lohengrin,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-08-28
1942,Medee,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-08-20
1943,Don Giovanni,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-08-04
1944,"Il Trittico : Il Tabarro, Suor Angelica, Gianni Schicchi",Opera Theatre (Sydney Opera House),Sydney,NSW,1987-07-21
1945,La Cenerentola (Cinderella),Opera Theatre (Sydney Opera House),Sydney,NSW,1987-07-10
1946,Simon Boccanegra,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-07-03
1947,The Turn of the Screw,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-06-18
1948,Alcina,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-06-10
1949,Carmen,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-06-05
1950,Cho Cho San,Canberra Theatre,Canberra,ACT,1987-06-02
1951,The Mikado,Various Venues Around Brisbane,Brisbane area,QLD,1987-05-15
1952,Sandrina's Secret,Opera Theatre,Adelaide,SA,1987-05-14
1953,Manon Lescaut,State Theatre,Melbourne,VIC,1987-05-01
1954,Alcina,State Theatre,Melbourne,VIC,1987-04-24
1955,Cho Cho San,Belvoir Street Theatre,Surry Hills,NSW,1987-04-22
1956,La Fille du Regiment,State Theatre,Melbourne,VIC,1987-04-18
1957,Peter Grimes,State Theatre,Melbourne,VIC,1987-03-26
1958,La Traviata,State Theatre,Melbourne,VIC,1987-03-16
1959,Voss,State Theatre,Melbourne,VIC,1987-03-14
1960,Madama Butterfly,Festival Theatre,Adelaide,SA,1987-03-12
1961,Eugene Onegin,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-02-13
1962,Cho Cho San,Studio Theatre,Melbourne,VIC,1987-02-09
1963,I Masnadieri,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-02-06
1964,Medee,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-02-06
1965,La Traviata,Sidney Myer Music Bowl,Melbourne,VIC,1987-01-31
1966,Madama Butterfly,Domain,Sydney,NSW,1987-01-17
1967,La Fille du Regiment,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-01-15
1968,Daughter Of Regiment,Opera Theatre (Sydney Opera House),Sydney,NSW,1987-01-15
1969,Zoggy The Time Traveller,Victoria,,VIC,1987-01-01
1970,The Flying Dutchman,State Theatre,Melbourne,VIC,1987-01-01
1971,Turandot,State Theatre,Melbourne,VIC,1987-01-01
1972,La Boheme,State Theatre,Melbourne,VIC,1987-01-01
1973,A Night in Vienna,Melbourne Concert Hall,Melbourne,VIC,1987-01-01
1974,The Marriage of Figaro,State Theatre,Melbourne,VIC,1987-01-01
1975,The Snow Queen,National Theatre,St Kilda,VIC,1987-01-01
1976,Chorus Concert Program,South Australia,,SA,1986-11-28
1977,Sweeney Todd - the Demon Barber of Fleet Street,Canberra Theatre,Canberra,ACT,1986-11-21
1978,Il Trovatore,Lyric Theatre,South Brisbane,QLD,1986-11-14
1979,The Magic Flute,Lyric Theatre,South Brisbane,QLD,1986-11-13
1980,La Fille du Regiment,Lyric Theatre,South Brisbane,QLD,1986-11-12
1981,The Marriage of Figaro,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-10-15
1982,Australian Opera: A Singer Prepares - A Bennelong Programme,Broadwalk Studio (Sydney Opera House),Sydney,NSW,1986-10-15
1983,Eugene Onegin,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-10-06
1984,Maralyn Richardson and James Christiansen,Opera Theatre,Adelaide,SA,1986-10-04
1985,Macbeth,Opera Theatre,Adelaide,SA,1986-09-25
1986,Die Fledermaus,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-09-25
1987,Orfeo,Guild Theatre,Parkville,VIC,1986-09-19
1988,Rigoletto,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-09-12
1989,Manon Lescaut,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-09-06
1990,Orff's Carmina Burana,Concert Hall (Sydney Opera House),Sydney,NSW,1986-08-24
1991,The Consul,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-08-15
1992,Macbeth,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-08-14
1993,The Marriage of Figaro,Opera Theatre,Adelaide,SA,1986-08-07
1994,Falstaff,His Majesty's Theatre,Perth,WA,1986-07-30
1995,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-07-28
1996,La Fille du Regiment,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-07-22
1997,Aida,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-07-16
1998,Peter Grimes,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-07-02
1999,Madama Butterfly,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-06-19
2000,Boris Godunov,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-06-14
2001,The Barber of Seville,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-06-06
2002,Voss,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-06-05
2003,Salome,State Theatre,Melbourne,VIC,1986-04-26
2004,Macbeth,State Theatre,Melbourne,VIC,1986-04-25
2005,Boris Godunov,State Theatre,Melbourne,VIC,1986-04-11
2006,Don Pasquale,State Theatre,Melbourne,VIC,1986-04-10
2007,The Magic Flute,State Theatre,Melbourne,VIC,1986-03-21
2008,The Glittering Gate / The Transposed Heads,Dunstan Playhouse,Adelaide,SA,1986-03-20
2009,Falstaff,State Theatre,Melbourne,VIC,1986-03-15
2010,Ballo in Maschera,State Theatre,Melbourne,VIC,1986-03-14
2011,Voss,Festival Theatre,Adelaide,SA,1986-03-01
2012,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-02-17
2013,Falstaff,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-02-03
2014,Carmen,Sidney Myer Music Bowl,Melbourne,VIC,1986-02-01
2015,Verdi Requiem,St Mary's Cathedral,Sydney,NSW,1986-01-30
2016,Lucia di Lammermoor,Concert Hall (Sydney Opera House),Sydney,NSW,1986-01-28
2017,Rigoletto,Domain,Sydney,NSW,1986-01-20
2018,Fascinating Aida,Everest Theatre,Chippendale,NSW,1986-01-13
2019,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-01-13
2020,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-01-08
2021,Ballo in Maschera,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-01-04
2022,Un Ballo in Maschera,Opera Theatre (Sydney Opera House),Sydney,NSW,1986-01-04
2023,The Magic Flute,Victoria,,VIC,1986-01-01
2024,Castlemaine Festival Concert,Castlemaine Town Hall,Castlemaine,VIC,1986-01-01
2025,I Puritani,State Theatre,Melbourne,VIC,1986-01-01
2026,Babar the Elephant,Victoria,,VIC,1986-01-01
2027,A Night of Gilbert and Sullivan,State Theatre,Melbourne,VIC,1986-01-01
2028,Countess Maritza,State Theatre,Melbourne,VIC,1986-01-01
2029,Eugene Onegin,State Theatre,Melbourne,VIC,1986-01-01
2030,Verdi Requiem,Melbourne Concert Hall,Melbourne,VIC,1986-01-01
2031,Madam Butterfly,State Theatre,Melbourne,VIC,1986-01-01
2032,Don Giovanni,State Theatre,Melbourne,VIC,1986-01-01
2033,The Rime of the Ancient Mariner,State Theatre,Melbourne,VIC,1985-11-28
2034,Elektra,Concert Hall (Sydney Opera House),Sydney,NSW,1985-11-23
2035,Lohengrin,State Theatre,Melbourne,VIC,1985-11-20
2036,Elektra,Melbourne Concert Hall,Melbourne,VIC,1985-11-13
2037,Ballo in Maschera,Lyric Theatre,South Brisbane,QLD,1985-11-09
2038,Verdi Requiem,Concert Hall (Sydney Opera House),Sydney,NSW,1985-11-02
2039,Antigone / The Bamboo Flute / Poe,Recording Hall (Sydney Opera House),Sydney,NSW,1985-11-01
2040,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-10-16
2041,Katya Kabanova,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-10-11
2042,Orff's Carmina Burana,Concert Hall (Sydney Opera House),Sydney,NSW,1985-09-21
2043,Medea,The Open Stage ,Parkville,VIC,1985-09-17
2044,Don Pasquale,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-09-16
2045,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-09-11
2046,The Little Mermaid (Boyd),Recording Hall (Sydney Opera House),Sydney,NSW,1985-08-28
2047,Madama Butterfly,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-08-27
2048,The Little Mermaid - Bennelong Programme,Recording Hall (Sydney Opera House),Sydney,NSW,1985-08-26
2049,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-08-07
2050,The Barber of Seville,State Theatre,Melbourne,VIC,1985-07-27
2051,Cosi Fan Tutte,His Majesty's Theatre,Perth,WA,1985-07-26
2052,Un Ballo in Maschera - A Masked Ball,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-07-18
2053,Don Giovanni,Opera Theatre,Adelaide,SA,1985-07-18
2054,Cosi Fan Tutte,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-07-05
2055,I Puritani,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-06-24
2056,Romeo et Juliette,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-06-07
2057,The Coronation of Poppea,Anthill Theatre,South Melbourne,VIC,1985-05-28
2058,Aida,Festival Theatre,Adelaide,SA,1985-05-16
2059,Tosca,Festival Theatre,Adelaide,SA,1985-05-15
2060,The Snow Queen,Opera Theatre,Adelaide,SA,1985-05-13
2061,Romeo et Juliette,State Theatre,Melbourne,VIC,1985-04-26
2062,Tosca,State Theatre,Melbourne,VIC,1985-04-25
2063,Rigoletto,Opera Theatre,Adelaide,SA,1985-04-18
2064,Aida,State Theatre,Melbourne,VIC,1985-04-17
2065,Dialogues of the Carmelites,State Theatre,Melbourne,VIC,1985-03-30
2066,Die Walkure,State Theatre,Melbourne,VIC,1985-03-16
2067,Il Trovatore,State Theatre,Melbourne,VIC,1985-03-12
2068,Capriccio,Opera Theatre,Adelaide,SA,1985-03-09
2069,Tales of Hoffmann,State Theatre,Melbourne,VIC,1985-03-07
2070,The Life and Adventures of Nicholas Nickleby,Festival Theatre,Adelaide,SA,1985-02-23
2071,Die Walkure,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-02-19
2072,The Coronation of Poppea,La Mama,Carlton,VIC,1985-02-08
2073,Don Pasquale,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-02-08
2074,The Abduction from the Seraglio,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-02-05
2075,Norma,Concert Hall (Sydney Opera House),Sydney,NSW,1985-01-22
2076,Jenufa,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-01-21
2077,Tales of Hoffmann,Domain,Sydney,NSW,1985-01-12
2078,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,1985-01-07
2079,Metamorphosis,Recording Hall (Sydney Opera House),Sydney,NSW,1985-01-03
2080,Gala Concert with Dame Kiri te Kanawa,Melbourne Concert Hall,Melbourne,VIC,1985-01-01
2081,La Boheme,State Theatre,Melbourne,VIC,1985-01-01
2082,The Barry Skelton Memorial Concert,State Theatre,Melbourne,VIC,1985-01-01
2083,Rigoletto,State Theatre,Melbourne,VIC,1985-01-01
2084,The Consul,State Theatre,Melbourne,VIC,1985-01-01
2085,The Little Sweep,Melbourne Concert Hall,Melbourne,VIC,1985-01-01
2086,Twice Upon a Time,Victoria,,VIC,1985-01-01
2087,Opera Concert in the Bowl,Sidney Myer Music Bowl,Melbourne,VIC,1985-01-01
2088,Cosi Fan Tutte,Raheen,Kew,VIC,1985-01-01
2089,The Life and Adventures of Nicholas Nickleby,State Theatre,Melbourne,VIC,1984-12-29
2090,The Good Soldier Schweik,Canberra Theatre,Canberra,ACT,1984-12-11
2091,The Lighthouse,Everest Theatre,Chippendale,NSW,1984-11-30
2092,Il Trovatore,Opera Theatre,Adelaide,SA,1984-10-25
2093,The Flying Dutchman,Canberra Theatre,Canberra,ACT,1984-10-19
2094,Fidelio,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-10-09
2095,A Midsummer Night's Dream,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-10-01
2096,A Joyous and exciting Evening of Rameau Opera,Concert Hall (Sydney Opera House),Sydney,NSW,1984-09-27
2097,The Threepenny Opera,Playhouse,Melbourne,VIC,1984-09-20
2098,The Marriage of Figaro,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-09-14
2099,Dialogues of the Carmelites,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-09-01
2100,Fly,State Theatre,Melbourne,VIC,1984-08-25
2101,Aida,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-08-22
2102,Nelly Miricioiu,State Theatre,Melbourne,VIC,1984-08-16
2103,Introduction to Opera: Dialogues of the Carmelites,Recording Hall (Sydney Opera House),Sydney,NSW,1984-08-14
2104,Don Carlos,State Theatre,Melbourne,VIC,1984-08-01
2105,Les Contes d'Hoffmann (The Tales of Hoffmann),Opera Theatre (Sydney Opera House),Sydney,NSW,1984-07-20
2106,Introduction to Opera: Aida,Recording Hall (Sydney Opera House),Sydney,NSW,1984-07-16
2107,Triple Bill - Trial by Jury / Papillon / Ba-ta-clan,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-07-14
2108,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-07-13
2109,The Consul,Canberra Theatre,Canberra,ACT,1984-07-11
2110,"Introduction to Opera: An Evening with Gilbert, Offenbach & Sullivan",Recording Hall (Sydney Opera House),Sydney,NSW,1984-07-04
2111,Das Rheingold,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-06-23
2112,Fidelio,Opera Theatre,Adelaide,SA,1984-06-21
2113,Nabucco,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-06-13
2114,1984 Opera Season,Mount Nelson Theatre,Mount Nelson,TAS,1984-06-06
2115,Siegfried,Melbourne Concert Hall,Melbourne,VIC,1984-06-02
2116,"Inside Opera - The Opera Designer, The Administrators, Chorus Voices Concert ",Recording Hall (Sydney Opera House),Sydney,NSW,1984-05-28
2117,Concerts,Recording Hall (Sydney Opera House),Sydney,NSW,1984-05-27
2118,Introduction to Opera: Das Rhinegold,Recording Hall (Sydney Opera House),Sydney,NSW,1984-05-15
2119,The Abduction from Seraglio,Opera Theatre,Adelaide,SA,1984-05-10
2120,Nabucco,Princess Theatre,Melbourne,VIC,1984-05-05
2121,Madama Butterfly,Opera Theatre,Adelaide,SA,1984-04-28
2122,Der Rosenkavalier,Princess Theatre,Melbourne,VIC,1984-04-26
2123,Lucia di Lammermoor,Princess Theatre,Melbourne,VIC,1984-04-16
2124,The Rime of the Ancient Mariner,Opera Theatre,Adelaide,SA,1984-04-14
2125,Adriana Lecouvreur,Princess Theatre,Melbourne,VIC,1984-04-07
2126,Orpheus in the Underworld,Canberra Theatre,Canberra,ACT,1984-04-04
2127,Julius Caesar,Opera Theatre,Adelaide,SA,1984-03-02
2128,The Lady Macbeth of Mtsenk,Festival Theatre,Adelaide,SA,1984-02-29
2129,Die Walkure,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-02-21
2130,Adriana Lecouvreur,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-01-27
2131,Otello,Concert Hall (Sydney Opera House),Sydney,NSW,1984-01-20
2132,Lucia di Lammermoor,Domain,Sydney,NSW,1984-01-14
2133,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-01-11
2134,Rigoletto,Opera Theatre (Sydney Opera House),Sydney,NSW,1984-01-07
2135,Faust,State Theatre,Melbourne,VIC,1984-01-01
2136,Julius Caesar,State Theatre,Melbourne,VIC,1984-01-01
2137,Opera Concert in the Bowl,Sidney Myer Music Bowl,Melbourne,VIC,1984-01-01
2138,The Magic Flute,State Theatre,Melbourne,VIC,1984-01-01
2139,Sid the Serpent Who Wanted to Sing,Victoria,,VIC,1984-01-01
2140,Cosi Fan Tutte,State Theatre,Melbourne,VIC,1984-01-01
2141,Rigoletto,Her Majesty's Theatre,Adelaide,SA,1984-01-01
2142,Don Giovanni,Festival Theatre,Adelaide,SA,1984-01-01
2143,The Life and Adventures of Nicholas Nickleby,Sydney,Sydney,NSW,1983-12-10
2144,Carmen,Canberra Theatre,Canberra,ACT,1983-12-08
2145,Lucia di Lammermoor,Her Majesty's Theatre,Brisbane,QLD,1983-11-10
2146,Don Giovanni,Her Majesty's Theatre,Brisbane,QLD,1983-11-05
2147,Don Giovanni,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-10-15
2148,The Magic Flute,Opera Theatre,Adelaide,SA,1983-10-13
2149,La Fanciulla del West,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-10-07
2150,Der Rosenkavalier,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-10-06
2151,Die Walkure,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-10-04
2152,Introduction to Opera: Die Walkure,Recording Hall (Sydney Opera House),Sydney,NSW,1983-09-20
2153,Don Giovanni,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-09-08
2154,Der Rosenkavalier,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-09-03
2155,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-09-03
2156,Il Barbiere di Siviglia (The Barber of Seville),Opera Theatre (Sydney Opera House),Sydney,NSW,1983-09-02
2157,Childhead's Doll,Coorparoo High School Hall,Coorparoo,QLD,1983-09-01
2158,Der Rosenkavalier,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-29
2159,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-24
2160,The Rake's Progress,Opera Theatre,Adelaide,SA,1983-08-20
2161,Introduction to Opera: Der Rosenkavalier,Recording Hall (Sydney Opera House),Sydney,NSW,1983-08-16
2162,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-11
2163,Semiramide,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-05
2164,Otello,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-04
2165,Il Barbiere di Siviglia (The Barber of Seville),Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-03
2166,The Barber of Seville,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-08-03
2167,Introduction to Opera: Semiramide,Recording Hall (Sydney Opera House),Sydney,NSW,1983-07-26
2168,Otello,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-07-23
2169,Eugene Onegin,Palais Theatre,St Kilda,VIC,1983-07-11
2170,Lucia di Lammermoor,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-07-04
2171,The Pearl Fishers,Opera Theatre,Adelaide,SA,1983-07-02
2172,Die Fledermaus,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-07-02
2173,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-07-02
2174,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-07-01
2175,Die Fledermaus,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-06-30
2176,Il Trovatore,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-06-25
2177,The Twenty Ninth Shell Aria National Final,Canberra Theatre,Canberra,ACT,1983-06-18
2178,Lucia di Lammermoor,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-06-15
2179,Norma,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-06-04
2180,Les Noces / Oresteia,Melbourne Concert Hall,Melbourne,VIC,1983-06-03
2181,La Traviata,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-06-03
2182,The Three Lives of Penny Paper,Melbourne,Melbourne,VIC,1983-06-01
2183,Tosca,Princess Theatre,Melbourne,VIC,1983-05-04
2184,Madame Butterfly,Opera Theatre,Adelaide,SA,1983-04-30
2185,Orchestral Concert 5,Concert Hall (Sydney Opera House),Sydney,NSW,1983-04-23
2186,Don Giovanni,Princess Theatre,Melbourne,VIC,1983-04-20
2187,La Boheme,Sidney Myer Music Bowl,Melbourne,VIC,1983-04-02
2188,The Jiangsu Peking Opera Theatre Company,Canberra Theatre,Canberra,ACT,1983-04-02
2190,Cosi Fan Tutte,Princess Theatre,Melbourne,VIC,1983-03-28
2191,Manon,Princess Theatre,Melbourne,VIC,1983-03-26
2192,Inner Voices,Balcony Theatre,Adelaide,SA,1983-03-19
2193,Manon,Canberra Theatre,Canberra,ACT,1983-03-16
2194,The Jiangsu Peking Opera Theatre Company,Princess Theatre,Melbourne,VIC,1983-03-15
2195,La Boheme,Parliament House Lawns,Canberra,ACT,1983-03-12
2196,Cosi Fan Tutte,Canberra Theatre,Canberra,ACT,1983-03-11
2197,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-02-10
2198,Alcina,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-02-05
2199,Romeo et Juliette,Concert Hall (Sydney Opera House),Sydney,NSW,1983-01-29
2200,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-01-27
2201,Joan Sutherland and Luciano Pavarotti in Concert,Concert Hall (Sydney Opera House),Sydney,NSW,1983-01-23
2202,Tosca,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-01-19
2203,Midday Music 3,Recording Hall (Sydney Opera House),Sydney,NSW,1983-01-16
2204,Die Fledermaus,Domain,Sydney,NSW,1983-01-15
2205,Cosi Fan Tutte,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-01-13
2206,Die Fledermaus,Opera Theatre (Sydney Opera House),Sydney,NSW,1983-01-10
2207,The Pearl Fishers,Victoria,,VIC,1983-01-01
2208,Die Fledermaus,Palais Theatre,St Kilda,VIC,1983-01-01
2209,Samson and Delilah,Melbourne Concert Hall,Melbourne,VIC,1983-01-01
2210,Opera Concert in the Bowl,Sidney Myer Music Bowl,Melbourne,VIC,1983-01-01
2211,Metamorphosis,St Martins Theatre,South Yarra,VIC,1983-01-01
2212,Rigoletto,Palais Theatre,St Kilda,VIC,1983-01-01
2213,The Childhood of Christ,Adelaide Town Hall,Adelaide,SA,1982-12-16
2214,Die Fledermaus,Canberra Theatre,Canberra,ACT,1982-11-06
2215,La Boheme,Canberra Theatre,Canberra,ACT,1982-11-05
2216,Falstaff,Opera Theatre,Adelaide,SA,1982-10-30
2217,The Magic Flute,His Majesty's Theatre,Perth,WA,1982-10-17
2218,Madam Butterfly,Canberra Theatre,Canberra,ACT,1982-10-09
2219,Salome,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-10-08
2220,Boris Godunov,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-09-23
2221,Tales of Hoffmann,Opera Theatre,Adelaide,SA,1982-09-11
2222,Falstaff,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-09-08
2223,Madama Butterfly,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-08-19
2224,Les Noces / Oresteia,Melbourne Concert Hall,Melbourne,VIC,1982-08-18
2225,The Magic Flute,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-08-13
2226,Tristan and Isolde,Melbourne Concert Hall,Melbourne,VIC,1982-08-12
2227,Tristan and Isolde,Concert Hall (Sydney Opera House),Sydney,NSW,1982-08-05
2228,Cosi Fan Tutte,Opera Theatre,Adelaide,SA,1982-07-31
2229,Carmen,Princess Theatre,Melbourne,VIC,1982-07-24
2230,Manon,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-07-17
2231,Idomeneo,Princess Theatre,Melbourne,VIC,1982-07-15
2232,Die Fledermaus,Sydney Opera House,Sydney,NSW,1982-07-10
2233,The Rise and Fall of the City of Mahagonny,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-07-09
2234,Die Fledermaus,Opera Theatre (Sydney Opera House),Sydney,NSW,1982-06-25
2235,The Twenty Eighth Shell Aria National Final,Canberra Theatre,Canberra,ACT,1982-06-19
2236,Les Noces / Oresteia,Llewellyn Hall,Acton,ACT,1982-06-11
