,Work,Theatre,City,country,date
88,Voyage to the Moon,Llewellyn Hall,Acton,ACT,2016-03-04
89,Voyage to the Moon,Conservatorium Theatre,South Bank,QLD,2016-02-29
90,Voyage to the Moon,City Recital Hall,Sydney,NSW,2016-02-22
91,Voyage to the Moon,Elisabeth Murdoch Hall,Southbank,VIC,2016-02-15
92,Luisa Miller,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-02-11
93,Opera in the Park: Gianni Schicchi,Langley Park,Perth,WA,2016-02-06
94,The Barber of Seville,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-01-28
95,Gentleman's Island / The Telephone,Independent Theatre,North Sydney,NSW,2016-01-23
96,The Pearlfishers,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-01-15
97,La Bohème,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2016-01-02
99,Melba,Roundhouse Theatre,Mount Lawley,WA,2015-11-13
101,The Grumpiest Boy in the World,Malthouse Theatre,Southbank,VIC,2015-10-02
102,Renée Fleming,Concert Hall,South Bank,QLD,2015-09-07
103,Mary Stuart (Maria Stuarda),Athenaeum Theatre,Melbourne,VIC,2015-09-02
104,La Traviata,Belvoir Street Downstairs Theatre,Surry Hills,NSW,2015-08-27
105,Requiem,Festival Theatre,Adelaide,SA,2015-08-26
106,Faust,Festival Theatre,Adelaide,SA,2015-08-22
108,Cavalleria Rusticana with The Contrabandista,Knox Community Arts Centre,Bayswater,VIC,2015-07-16
109,Cosi Fan Tutte,Independent Theatre,North Sydney,NSW,2015-07-02
110,The Magic Flute,The Opera Studio,Netley,SA,2015-06-13
111,Don Giovanni,Festival Theatre,Adelaide,SA,2015-05-23
112,Cosi Fan Tutte,Rymill Hall,Penola,SA,2015-05-21
113,Madama Butterfly,His Majesty's Theatre,Perth,WA,2015-02-24
114,Madama Butterfly,The Opera Studio,Netley,SA,2015-02-22
115,Opera In The Domain,Domain,Sydney,NSW,2015-01-24
116,La Boheme,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2015-01-04
118,Floods,Conservatorium Theatre,South Bank,QLD,2014-09-18
119,The Perfect American,Concert Hall,South Bank,QLD,2014-09-15
120,Soap,The Courier-Mail Piazza,South Brisbane,QLD,2014-09-10
121,The Elixir of Love,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2014-08-11
122,Philip Glass Trilogy,Her Majesty's Theatre,Adelaide,SA,2014-08-05
123,Pecan Summer,Her Majesty's Theatre,Adelaide,SA,2014-07-03
124,Rigoletto,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2014-06-26
125,The Turk In Italy,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2014-01-22
127,Dido and Aeneas,Sydney Lyric Theatre,Pyrmont,NSW,2014-01-16
128,La Boheme,Joan Sutherland Theatre (Sydney Opera House),Sydney,NSW,2013-12-31
129,The Melbourne Ring Cycle 2013,State Theatre,Melbourne,VIC,2013-11-18
131,La Boheme,His Majesty's Theatre,Perth,WA,2013-10-29
132,Stars of Pacific Opera,Brentwood Village,Kincumber,NSW,2013-10-27
133,Opera on the Riverstage,Riverstage,Brisbane,QLD,2013-09-21
