Julian Bleach
Julian Evans
Julian Grant
Julian Joseph
Julian Philips
Jurgen Simpson
KS Lewkowicz
Kaija Saariaho
Karl Amadeus Hartmann (Karl Amadeus Hartmann (based on the novel by Hans Jakob Christoffel von Grimmelshausen)
Karlheinz Stockhausen
Karol Szymanowski
Katarzyna Brochocka
Kate Pearson
Kate Whitley
Kazimir Malevich
Kazuko Hara
Keith Burstein
Kenneth Pai
Kim B Ashton
Kim B. Ashton
Kit Hesketh Harvey (after Offenbach's La Belle Helene)
Kurt Weill
Laka D
Laka Daisical
Laura Bowler
Laurence Roman
Lee Hall
Lennox Berkley
Leo Butler
Leo Delibes
Leonard Bernstein
Leonard Bernstein (1952)
Leonard Bernstein (Trouble in Tahiti)
Leoncavallo
Leos Janacek
Lewis Coenen-Rowe
Lionel Monckton
Lorenzo Ferrero
Louis Mander
Louis d'Heudieres
Luca Francesconi (based on Heiner Muller's vision of Les Liaisons dangereuses)
Lucy Powell
Luigi Nono
Luigi Rossi
Luke Bedford
Luke Styles
Lynne Plowman
Malanie Wilson
Malcolm Williamson
Manfred Troahn
Manuel De Falla (1913)
Mario Ferraro
Mark Simpson
Mark Wirtz
Mark-Anthony Turnage
Mark-Antony Turnage
Martin Bauer
Martin Butler
Martin Lynch
Martin Read
Martin Ward
Martinu
Mascagni
Massenet
Matt Rogers
Matt Rogers (The Raven)
Matthew Brown
Matthew Herbert
Matthew Lenton
Matthew Locke
Maurice Ravel
Max Richter
Menotti
Menotti (The Telephone)
Mercadante
Michael Berkeley
Michael Berkley
Michael Birch
Michael Finnissy
Michael Marra
Michael Nyman
Michael Oliva
Michael Tippett
Michael Zev Gordon
Michel van der Aa
Mieczyslaw Weinberg
Miika Hyytiainen
Mike Christie
Mike Westbrook
Miko Keleman
Mischa Spoliansky
Moliere
Monteverdi
Monteverdi (L'incoronazione di Poppea)
Mozart
Mozart (Bastien and Bastienna)
Mozart (Bastien and Bastienne)
Mozart (and Henneberg. Schack. Gerl. Schikaneder)
Musorgsky
Musorgsky (in a version by [Shostakovich])
Mussorsky
Ned Rorem
Neil Hannon (Sevastopol)
Neyire Ashworth
Nia Williams
Niccolo Athens
Nick Till
Nicky Brown
Nico Muhly
Nicola Campogrande
Nicola LeFanu
Nicolai
Nigel Osborne
Nikolai Rimsky-Korsakov
Offenbach
Olga Neuwirth
Ondrej Soukup
Orlando Gough
Osnat Schmool
Otto Nicolai
Param Vir
Pasatieri
Paul Clark
Paul Englishby
Paul Frehner
Paul Sand
Paul Shapera
Paul Weir
Paula Kimper
Pedro Calderon
Per Norgard
Pergolesi
Pete Wyer
Peter Cowdrey
Peter Eotvos
Peter Longworth
Peter Maxwell Davies
Peter Maxwell-Davies
Phil Cashian
Philip Glass
Philip Glass (Waiting for the Barbarians)
Philip Glass (from the novel by Franz Kafka)
Philip Hagemann
Philip Venables
Philippe Boesman (a re-telling of [August Stindberg]'s classic drama)
Pietro Mascagni
Pietro Mascagni (1889)
Poul Ruder
Poulenc
Prokfiev
Prokofiev
Puccini
Puccini (1918)
Purcell
R Strauss
R. Schumann
Rachel Leach
Rachmaninov
Rachmaninov (Aleko)
Ralph Vaughan Williams
Rameau
Raskatov
Ravel
Ravel (1925)
Ravi Shankar
Rebecca Applin
Reinhard Keiser
Reynaldo Hahn
Riccardo Zandonai
Richard Angas (Angelotti)
Richard Ayres
Richard Chew
Richard Knight
Richard Lewis
Richard Strauss
Richard Thomas
Richard Wagner
Rimsky Korsakov
Rimsky-Korsakov
Rinde Eckert
Robert Ashley
Robert Hugill
Robert Schumann
Robin Norton-Hale
Roderick Watkins
Rodion Shchedrin
Roger Mortimer
Roger Mortimer-Smith
Roland Schimmelpfennig
Rolf Hind
Romani (after Hugo)
Ronan O'Donnell
Ross Lorraine
Rossini
Roxana Panufnik
Roxanna Panufnik
Rufus Wainwright
Ruggero Leoncavalio
Ruggiero Leoncavallo (1892)
Russell Pascoe
Ruth Mariner
Saint-Saens
Salieri
Sallinen
Sally Beamish
Sally Rodgers
Salvatore Sciarrino
Samantha Newton
Samuel Barber
Saverio Mercadante
Scarlatti
Schoenberg
Schubert
Scott Joplin
Sergey Prokofiev
Seymour Barab
Shakespeare
Shirley Thompson
Shostakovich
Shostakovich (Lady Macbeth of Mtsensk)
Simon Fraser
Simon Holt
Simon Vosecek (based on the play by Max Frisch)
Siobhan Knox
Sir Peter Maxwell Davies
Smetana
Smetana (The Bartered Bride)
Soren Nils Eichberg
Spontini
Stanislaw Moniuszko
Stanley Glasser
Stef Conner
Stephen Buckman
Stephen Crowe
Stephen Hyde
Stephen Jeffreys
Stephen McNeff
Stephen Storace
Stephen Warbeck
Stephn McNeff
Steve Chandra Savale
Steven Sloane
