,composer,date_of_birth,date_of_death,country,composer_url
2031,Gian Francesco de Majo,1732-03-24,1770-11-17,Italy,http://www.wikidata.org/entity/Q721351
2032,Gian Francesco de Majo,1732-03-27,1770-11-17,Italy,http://www.wikidata.org/entity/Q721351
2035,Gioacchino Cocchi,1715-01-01,1804-01-01,Italy,http://www.wikidata.org/entity/Q658767
2036,Gioacchino Cocchi,1720-01-01,1804-01-01,Italy,http://www.wikidata.org/entity/Q658767
2039,Gioachino Rossini,1792-02-29,1868-11-13,Italy,http://www.wikidata.org/entity/Q9726
2082,Giorgio Battistelli,1953-04-25,2200-01-01,Italy,http://www.wikidata.org/entity/Q174223
2085,Giovanni Alberto Ristori,1692-01-01,1753-02-07,Italy,http://www.wikidata.org/entity/Q174633
2088,Giovanni Battista Bassani,1650-01-01,1716-10-01,Italy,http://www.wikidata.org/entity/Q465565
2090,Giovanni Battista Bononcini,1670-07-18,1747-07-09,Italy,http://www.wikidata.org/entity/Q315241
2092,Giovanni Battista Borghi,1738-08-25,1796-02-25,Italy,http://www.wikidata.org/entity/Q664913
2095,Giovanni Battista Ferrandini,1709-10-12,1791-11-25,Italy,http://www.wikidata.org/entity/Q174355
2096,Giovanni Battista Lampugnani,1708-01-01,1788-06-02,Italy,http://www.wikidata.org/entity/Q739019
2099,Giovanni Battista Pergolesi,1710-01-04,1736-03-16,Italy,http://www.wikidata.org/entity/Q185312
2109,Giovanni Battista Pescetti,1704-01-01,1766-03-20,Italy,http://www.wikidata.org/entity/Q1526310
2110,Giovanni Pacini,1796-02-17,1867-12-06,Italy,http://www.wikidata.org/entity/Q357022
2120,Giovanni Paisiello,1740-05-09,1816-06-05,Italy,http://www.wikidata.org/entity/Q202303
2134,Giovanni Porta,1675-01-01,1755-06-21,Italy,http://www.wikidata.org/entity/Q571407
2135,Girolamo Abos,1715-11-15,1760-10-01,Malta,http://www.wikidata.org/entity/Q1397669
2136,Girolamo Abos,1715-11-16,1760-10-01,Malta,http://www.wikidata.org/entity/Q1397669
2151,Giselher Klebe,1925-06-28,2009-10-05,Germany,http://www.wikidata.org/entity/Q690846
2154,Giulio Alary,1814-03-16,1890-04-17,Italy,http://www.wikidata.org/entity/Q28466067
2155,Giulio Alary,1814-03-16,1891-04-17,Italy,http://www.wikidata.org/entity/Q28466067
2166,Giuseppe Aldrovandini,1671-06-08,1707-02-08,Italy,http://www.wikidata.org/entity/Q711931
2167,Giuseppe Aldrovandini,1671-06-08,1707-02-09,Italy,http://www.wikidata.org/entity/Q711931
2202,Giuseppe Amendola,1750-01-01,1808-01-01,Italy,http://www.wikidata.org/entity/Q3107973
2205,Giuseppe Apolloni,1822-04-08,1889-12-31,Italy,http://www.wikidata.org/entity/Q3107980
2214,Giuseppe Arena,1713-01-01,1784-11-06,Malta,http://www.wikidata.org/entity/Q3770016
2215,Giuseppe Bonno,1711-01-29,1788-04-15,Austria,http://www.wikidata.org/entity/Q700798
2217,Giuseppe Curcio,1752-07-17,1832-08-09,Italy,http://www.wikidata.org/entity/Q3770379
2218,Giuseppe Farinelli,1769-05-07,1836-12-12,Italy,http://www.wikidata.org/entity/Q1411581
2226,Giuseppe Gazzaniga,1743-10-05,1818-02-01,Italy,http://www.wikidata.org/entity/Q951575
2231,Giuseppe Giordani,1751-12-19,1798-01-04,Italy,http://www.wikidata.org/entity/Q1387662
2234,Giuseppe Lillo,1814-02-26,1863-02-04,Italy,http://www.wikidata.org/entity/Q926580
2235,Giuseppe Maria Buini,1680-01-01,1739-05-13,Italy,http://www.wikidata.org/entity/Q16571741
2240,Giuseppe Maria Orlandini,1676-04-04,1760-10-24,Italy,http://www.wikidata.org/entity/Q594181
2243,Giuseppe Mosca,1772-01-01,1839-09-14,Italy,http://www.wikidata.org/entity/Q592278
2247,Giuseppe Sarti,1729-12-01,1802-07-28,Italy,http://www.wikidata.org/entity/Q455199
2256,Giuseppe Scarlatti,1723-01-01,1777-08-17,Italy,http://www.wikidata.org/entity/Q795584
2257,Giuseppe Scolari,1720-01-01,1774-01-01,Italy,http://www.wikidata.org/entity/Q457364
2258,Giuseppe Verdi,1813-10-10,1901-01-27,Italy,http://www.wikidata.org/entity/Q7317
2288,Gottfried von Einem,1918-01-24,1996-07-12,Switzerland,http://www.wikidata.org/entity/Q434389
2294,Grażyna Bacewicz,1909-02-05,1969-01-17,Poland,http://www.wikidata.org/entity/Q230978
2295,Gregorio Sciroli,1722-10-05,1781-01-01,Italy,http://www.wikidata.org/entity/Q3776540
2296,Grigory Frid,1915-09-22,2012-09-22,Russia,http://www.wikidata.org/entity/Q945038
2297,Grégoire Hetzel,1972-01-01,2200-01-01,France,http://www.wikidata.org/entity/Q1551537
2298,Gustav Ernesaks,1908-12-12,1993-01-24,Estonia,http://www.wikidata.org/entity/Q1346593
2299,Gustav Holst,1874-09-21,1934-05-25,United Kingdom,http://www.wikidata.org/entity/Q200867
2302,Gustave Charpentier,1860-06-25,1956-02-18,France,http://www.wikidata.org/entity/Q311663
2304,Gustave Kerker,1857-02-28,1923-06-29,Germany,http://www.wikidata.org/entity/Q113876
2310,Guy Ropartz,1864-06-15,1955-11-22,France,http://www.wikidata.org/entity/Q1379409
2311,György Ligeti,1923-05-28,2006-06-12,Romania,http://www.wikidata.org/entity/Q154331
2312,Günter Kochan,1930-10-02,2009-02-22,Germany,http://www.wikidata.org/entity/Q896425
2313,Hakon Børresen,1876-06-02,1954-10-06,Denmark,http://www.wikidata.org/entity/Q563337
2314,Hans Krása,1899-11-30,1944-10-17,Czech Republic,http://www.wikidata.org/entity/Q695501
2316,Hans Pfitzner,1869-05-05,1949-05-21,Russia,http://www.wikidata.org/entity/Q57358
2317,Hans Pfitzner,1869-05-05,1949-05-22,Russia,http://www.wikidata.org/entity/Q57358
2324,Hans Sommer,1837-07-20,1922-04-26,Germany,http://www.wikidata.org/entity/Q741034
2325,Hans Vogt,1911-05-14,1992-05-19,Poland,http://www.wikidata.org/entity/Q1582893
2326,Hans Werner Henze,1926-07-01,2012-10-27,Germany,http://www.wikidata.org/entity/Q76915
2341,Harrison Birtwistle,1934-07-15,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q354335
2351,Harry Lawrence Freeman,1869-10-09,1954-03-24,United States of America,http://www.wikidata.org/entity/Q15998505
2354,Harry Somers,1925-09-11,1999-03-09,Canada,http://www.wikidata.org/entity/Q2312732
2355,Hector Berlioz,1803-12-11,1869-03-08,France,http://www.wikidata.org/entity/Q1151
2360,Heinrich Biber,1644-08-12,1704-05-03,Czech Republic,http://www.wikidata.org/entity/Q153455
2361,Heinrich Marschner,1795-08-16,1861-12-14,Germany,http://www.wikidata.org/entity/Q160063
2362,Heinrich Marschner,1797-08-16,1861-12-14,Germany,http://www.wikidata.org/entity/Q160063
2367,Heinrich Reinhardt,1865-04-13,1922-01-31,Slovakia,http://www.wikidata.org/entity/Q876833
2368,Heinrich Schütz,1585-10-14,1672-11-06,Germany,http://www.wikidata.org/entity/Q153643
2369,Heinrich Schütz,1585-10-18,1672-11-06,Germany,http://www.wikidata.org/entity/Q153643
2370,Heinrich Sutermeister,1910-08-12,1995-03-16,Switzerland,http://www.wikidata.org/entity/Q123588
2375,Heinz Holliger,1939-05-21,2200-01-01,Switzerland,http://www.wikidata.org/entity/Q123359
2376,Heitor Villa-Lobos,1887-03-05,1959-11-17,Brazil,http://www.wikidata.org/entity/Q203514
2379,Henri Christiné,1867-12-27,1941-11-25,Switzerland,http://www.wikidata.org/entity/Q676562
2380,Henri Desmarets,1661-02-01,1741-09-07,France,http://www.wikidata.org/entity/Q1345283
2382,Henri Montan Berton,1767-09-17,1844-04-22,France,http://www.wikidata.org/entity/Q1605961
2384,Henri Sauguet,1901-05-18,1989-06-22,France,http://www.wikidata.org/entity/Q708863
2386,Henry Bishop,1786-11-18,1855-04-30,United Kingdom,http://www.wikidata.org/entity/Q1200639
2389,Henry Février,1875-10-02,1957-07-06,France,http://www.wikidata.org/entity/Q3100982
2391,Henry Kimball Hadley,1871-12-20,1937-09-06,United States of America,http://www.wikidata.org/entity/Q707340
2394,Henry Purcell,1659-09-10,1695-11-21,United Kingdom,http://www.wikidata.org/entity/Q9695
2400,Heorhiy Maiboroda,1913-12-01,1992-12-06,Ukraine,http://www.wikidata.org/entity/Q4274697
2403,Herman Severin Løvenskiold,1815-07-30,1870-12-05,Norway,http://www.wikidata.org/entity/Q1610355
2404,Hermann Goetz,1840-12-07,1876-12-03,Germany,http://www.wikidata.org/entity/Q61841
2405,Hermann Reutter,1900-06-17,1985-01-01,Germany,http://www.wikidata.org/entity/Q314867
2406,Hippolyte André Jean Baptiste Chélard,1789-02-01,1861-02-12,France,http://www.wikidata.org/entity/Q924686
2407,Hjalmar Borgstrøm,1864-03-23,1925-07-05,Norway,http://www.wikidata.org/entity/Q1350367
2409,Horatio Parker,1863-09-15,1919-12-18,United States of America,http://www.wikidata.org/entity/Q957738
2410,Hugo Weisgall,1912-10-13,1997-03-11,Czech Republic,http://www.wikidata.org/entity/Q5934607
2411,Hugo Wolf,1860-03-13,1903-02-22,Slovenia,http://www.wikidata.org/entity/Q215747
2412,Hynek Vojáček,1825-12-04,1916-02-09,Czech Republic,http://www.wikidata.org/entity/Q12021136
2413,Iain Bell,1980-01-01,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q15101007
2416,Iain Hamilton,1922-06-06,2000-07-21,United Kingdom,http://www.wikidata.org/entity/Q1655371
2419,Ignacy Jan Paderewski,1860-11-18,1941-06-29,Poland,http://www.wikidata.org/entity/Q191957
2420,Ignaz Brüll,1846-11-07,1907-09-17,Czech Republic,http://www.wikidata.org/entity/Q78703
2421,Ignaz Holzbauer,1711-09-17,1783-04-07,Austria,http://www.wikidata.org/entity/Q697238
2422,Ignaz Holzbauer,1711-09-18,1783-04-07,Austria,http://www.wikidata.org/entity/Q697238
2427,Igor Stravinsky,1882-06-17,1971-04-06,Russia,http://www.wikidata.org/entity/Q7314
2433,Ikuma Dan,1924-04-07,2001-05-17,Japan,http://www.wikidata.org/entity/Q2381947
2436,Ildebrando Pizzetti,1880-09-20,1968-02-13,Italy,http://www.wikidata.org/entity/Q379267
2450,Ilja Hurník,1922-11-25,2013-09-07,Czech Republic,http://www.wikidata.org/entity/Q324401
2457,Ilja Zeljenka,1932-12-21,2007-07-13,Slovakia,http://www.wikidata.org/entity/Q1658643
2458,Inglis Gundry,1905-05-08,2000-04-13,United Kingdom,http://www.wikidata.org/entity/Q16014894
2459,Isaac Albéniz,1860-05-29,1909-05-18,Spain,http://www.wikidata.org/entity/Q185812
2460,Isaac Albéniz,1861-05-29,1909-05-18,Spain,http://www.wikidata.org/entity/Q185812
2465,Isabelle Aboulker,1938-10-23,2200-01-01,France,http://www.wikidata.org/entity/Q278710
2468,Italo Brancucci,1904-01-01,1958-01-01,Italy,http://www.wikidata.org/entity/Q3155884
2469,Italo Montemezzi,1875-08-04,1952-05-15,Italy,http://www.wikidata.org/entity/Q507789
2472,Ivan Dzerzhinsky,1909-04-22,1978-01-18,Russia,http://www.wikidata.org/entity/Q2474615
2474,Ivan Zajc,1832-08-03,1914-12-16,Croatia,http://www.wikidata.org/entity/Q380547
2476,Ivar Hallström,1826-06-05,1901-04-11,Sweden,http://www.wikidata.org/entity/Q1675681
2477,J. E. P. Aldous,1853-12-08,1934-01-23,Canada,http://www.wikidata.org/entity/Q15436993
2481,Jack Beeson,1921-07-15,2010-06-06,United States of America,http://www.wikidata.org/entity/Q323757
2489,Jacob Niclas Ahlström,1805-06-05,1857-05-14,Sweden,http://www.wikidata.org/entity/Q704614
2490,Jacopo Peri,1561-08-30,1633-08-12,Italy,http://www.wikidata.org/entity/Q205519
2492,Jacques Aubert,1689-09-30,1753-05-19,France,http://www.wikidata.org/entity/Q1677889
2498,Jacques Ibert,1890-08-15,1962-02-05,France,http://www.wikidata.org/entity/Q296828
2500,Jacques Offenbach,1819-06-20,1880-10-05,Germany,http://www.wikidata.org/entity/Q41555
2576,Jake Heggie,1961-03-31,2200-01-01,United States of America,http://www.wikidata.org/entity/Q1378415
2579,Jakov Gotovac,1895-10-11,1982-10-16,Croatia,http://www.wikidata.org/entity/Q361122
2580,Jan Bach,1937-12-11,2200-01-01,United States of America,http://www.wikidata.org/entity/Q6148517
2582,Jan Brandts Buys,1868-09-12,1933-12-07,Netherlands,http://www.wikidata.org/entity/Q331494
2583,Jan Dismas Zelenka,1679-10-16,1745-12-23,Czech Republic,http://www.wikidata.org/entity/Q157777
2584,Jan Evangelista Zelinka,1893-01-13,1969-06-30,Czech Republic,http://www.wikidata.org/entity/Q12022503
2588,Jan Frank Fischer,1921-09-15,2006-01-27,Czech Republic,http://www.wikidata.org/entity/Q12022526
2590,Jan Kalivoda,1801-02-21,1866-12-03,Czech Republic,http://www.wikidata.org/entity/Q642243
2591,Jan Malát,1843-06-16,1915-12-02,Czech Republic,http://www.wikidata.org/entity/Q12022810
2593,Jan Nepomuk Škroup,1811-09-15,1892-05-05,Czech Republic,http://www.wikidata.org/entity/Q338874
2596,Jan Zdeněk Bartoš,1908-06-04,1981-06-01,Czech Republic,http://www.wikidata.org/entity/Q1682387
2597,Jarmil Burghauser,1921-10-21,1997-02-19,Czech Republic,http://www.wikidata.org/entity/Q1378596
2599,Jaromír Weinberger,1896-01-08,1967-08-08,Czech Republic,http://www.wikidata.org/entity/Q215828
2600,Jaroslav Vogel,1894-01-11,1970-02-02,Czech Republic,http://www.wikidata.org/entity/Q3492835
2603,Jaume Pahissa,1880-10-07,1969-10-27,Spain,http://www.wikidata.org/entity/Q4892960
2607,Jean Absil,1893-10-23,1974-02-02,Belgium,http://www.wikidata.org/entity/Q364121
2608,Jean Gilbert,1879-02-11,1942-12-20,Germany,http://www.wikidata.org/entity/Q68038
2611,Jean Roger-Ducasse,1873-04-18,1954-07-19,France,http://www.wikidata.org/entity/Q649959
2612,Jean Sibelius,1865-12-08,1957-09-20,Finland,http://www.wikidata.org/entity/Q45682
2614,Jean-Baptiste Cardonne,1730-06-30,1792-08-01,France,http://www.wikidata.org/entity/Q1684620
2615,Jean-Baptiste Lully,1632-11-28,1687-03-22,Italy,http://www.wikidata.org/entity/Q1192
2630,Jean-Benjamin de La Borde,1734-09-05,1794-07-22,France,http://www.wikidata.org/entity/Q932694
2632,Jean-Claude Amiot,1939-10-18,2200-01-01,France,http://www.wikidata.org/entity/Q1684736
2634,Jean-Féry Rebel,1666-04-18,1747-01-02,France,http://www.wikidata.org/entity/Q954589
2635,Jean-Joseph Mouret,1682-04-11,1738-12-20,France,http://www.wikidata.org/entity/Q960766
2636,Jean-Joseph de Mondonville,1711-12-25,1772-10-08,France,http://www.wikidata.org/entity/Q371862
2640,Jean-Philippe Rameau,1683-09-25,1764-09-12,France,http://www.wikidata.org/entity/Q1145
2655,Jean-Pierre Solié,1755-01-01,1812-08-06,France,http://www.wikidata.org/entity/Q537540
2656,Jenő Hubay,1858-09-15,1937-03-12,Hungary,http://www.wikidata.org/entity/Q709178
2657,Jenő Ádám,1896-12-12,1982-05-15,Hungary,http://www.wikidata.org/entity/Q716160
2659,Jesús Guridi Bidaola,1886-09-25,1961-04-07,Spain,http://www.wikidata.org/entity/Q978147
2662,Jewgeni Karlowitsch Tikoski,1893-12-26,1970-11-24,Russia,http://www.wikidata.org/entity/Q516905
2664,Jiří Antonín Benda,1722-06-30,1795-11-06,Czech Republic,http://www.wikidata.org/entity/Q213535
2669,Jiří Bárta,1935-06-19,2012-01-04,Czech Republic,http://www.wikidata.org/entity/Q10607470
2670,Joachim Albertini,1748-11-30,1811-04-18,Italy,http://www.wikidata.org/entity/Q2058127
2676,Joan Lamote de Grignon,1872-07-07,1949-03-11,Spain,http://www.wikidata.org/entity/Q587631
2678,Joaquín Rodrigo,1901-11-22,1999-07-06,Spain,http://www.wikidata.org/entity/Q151084
2679,Joaquín Turina,1882-12-09,1949-01-14,Spain,http://www.wikidata.org/entity/Q318077
2681,Johann Adam Hiller,1728-12-25,1804-06-16,Germany,http://www.wikidata.org/entity/Q432299
2683,Johann Adolph Hasse,1699-03-15,1783-12-16,Germany,http://www.wikidata.org/entity/Q164732
2684,Johann Adolph Hasse,1699-03-25,1783-12-16,Germany,http://www.wikidata.org/entity/Q164732
2729,Johann Andreas Amon,1763-08-24,1825-03-29,Germany,http://www.wikidata.org/entity/Q528064
2730,Johann Andreas Amon,1763-10-18,1825-03-29,Germany,http://www.wikidata.org/entity/Q528064
2731,Johann André,1741-03-24,1799-06-13,Germany,http://www.wikidata.org/entity/Q69258
2732,Johann André,1741-03-24,1799-06-18,Germany,http://www.wikidata.org/entity/Q69258
2733,Johann André,1741-03-28,1799-06-13,Germany,http://www.wikidata.org/entity/Q69258
2734,Johann André,1741-03-28,1799-06-18,Germany,http://www.wikidata.org/entity/Q69258
2767,Johann Augustin Kobelius,1674-02-21,1731-08-17,Germany,http://www.wikidata.org/entity/Q1692473
2768,Johann Caspar Aiblinger,1779-02-23,1867-05-06,Germany,http://www.wikidata.org/entity/Q69691
2770,Johann Christian Bach,1735-09-05,1782-01-01,Germany,http://www.wikidata.org/entity/Q106641
2779,Johann Christoph Pepusch,1667-01-01,1752-07-31,Germany,http://www.wikidata.org/entity/Q371825
2780,Johann Friedrich Agricola,1720-01-04,1774-12-02,Germany,http://www.wikidata.org/entity/Q60965
2785,Johann Friedrich Kittl,1806-05-08,1868-07-20,Czech Republic,http://www.wikidata.org/entity/Q1565717
2788,Johann Joseph Abert,1832-09-20,1915-04-01,Czech Republic,http://www.wikidata.org/entity/Q550772
2795,Johann Joseph Fux,1660-01-01,1741-02-13,Austria,http://www.wikidata.org/entity/Q311378
2796,Johann Mattheson,1681-09-28,1764-04-17,Germany,http://www.wikidata.org/entity/Q170333
2797,Johann Philipp Förtsch,1652-05-14,1732-12-14,Germany,http://www.wikidata.org/entity/Q878238
2798,Johann Strauss II,1825-10-25,1899-06-03,Austria,http://www.wikidata.org/entity/Q83309
2811,Johann Vogel,1756-03-18,1788-06-26,Germany,http://www.wikidata.org/entity/Q551526
2812,Johann Vogel,1756-03-18,1788-06-28,Germany,http://www.wikidata.org/entity/Q551526
2813,Johanna Doderer,1969-09-18,2200-01-01,Austria,http://www.wikidata.org/entity/Q86409
2814,John Adams,1947-02-15,2200-01-01,United States of America,http://www.wikidata.org/entity/Q84114
2822,John Barnett,1802-07-15,1890-04-16,United Kingdom,http://www.wikidata.org/entity/Q4992209
2825,John Blow,1649-01-01,1708-10-01,United Kingdom,http://www.wikidata.org/entity/Q311110
2826,John Burge,1961-01-02,2200-01-01,Canada,http://www.wikidata.org/entity/Q6223885
2827,John Cage,1912-09-05,1992-08-12,United States of America,http://www.wikidata.org/entity/Q180727
2828,John Corigliano,1938-02-16,2200-01-01,United States of America,http://www.wikidata.org/entity/Q450620
2829,John Frederick Lampe,1703-01-01,1751-07-25,Germany,http://www.wikidata.org/entity/Q480487
2830,John Gardner,1917-03-02,2011-12-12,United Kingdom,http://www.wikidata.org/entity/Q3245055
2831,John Philip Sousa,1854-11-06,1932-03-06,United States of America,http://www.wikidata.org/entity/Q295935
2832,Jonathan Battishill,1738-05-01,1801-12-10,United Kingdom,http://www.wikidata.org/entity/Q6272532
2833,Jonathan Dove,1959-07-18,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q1333954
2835,Jorma Panula,1930-08-10,2200-01-01,Finland,http://www.wikidata.org/entity/Q718059
2836,Josef Bartovský,1884-12-03,1964-11-19,Czech Republic,http://www.wikidata.org/entity/Q12025865
2842,Josef Berg,1927-03-08,1971-02-26,Czech Republic,http://www.wikidata.org/entity/Q6279696
2846,Josef Bohuslav Foerster,1859-12-30,1951-05-29,Czech Republic,http://www.wikidata.org/entity/Q450803
2852,Josef Dessauer,1798-05-28,1876-07-08,Czech Republic,http://www.wikidata.org/entity/Q322065
2855,Josef Leopold Zvonař,1824-01-22,1865-01-23,Czech Republic,http://www.wikidata.org/entity/Q1705143
2856,Josef Mysliveček,1737-03-09,1781-02-04,Czech Republic,http://www.wikidata.org/entity/Q313974
2883,Josef Nešvera,1842-10-24,1914-04-12,Czech Republic,http://www.wikidata.org/entity/Q1705377
2884,Josef Richard Rozkošný,1833-09-21,1913-06-03,Czech Republic,http://www.wikidata.org/entity/Q2332211
2892,Josef Schreier,1718-01-02,2200-01-01,Czech Republic,http://www.wikidata.org/entity/Q12026587
2893,Josep Duran,1730-01-01,1802-01-24,Spain,http://www.wikidata.org/entity/Q3810161
2894,Joseph Beer,1908-01-01,1987-01-01,Ukraine,http://www.wikidata.org/entity/Q88552
2895,Joseph Bodin de Boismortier,1689-12-23,1755-10-28,France,http://www.wikidata.org/entity/Q512133
2896,Joseph François Salomon,1649-04-01,1732-03-05,France,http://www.wikidata.org/entity/Q3083472
2897,Joseph Gehot,1756-04-07,1820-01-01,Belgium,http://www.wikidata.org/entity/Q1707085
2898,Joseph Haydn,1732-03-31,1809-05-31,Spain,http://www.wikidata.org/entity/Q7349
2913,Joseph Holbrooke,1878-07-05,1958-08-05,United Kingdom,http://www.wikidata.org/entity/Q1358354
2915,Joseph Parry,1841-05-21,1903-02-17,United Kingdom,http://www.wikidata.org/entity/Q3395608
2917,Joseph Weigl,1766-03-28,1846-02-03,Austria,http://www.wikidata.org/entity/Q78798
2918,Joseph Weigl,1766-03-29,1846-02-03,Austria,http://www.wikidata.org/entity/Q78798
2919,José María Usandizaga,1887-03-31,1915-10-05,Spain,http://www.wikidata.org/entity/Q2280662
2921,José Serrano Simeón,1873-10-14,1941-03-08,Spain,http://www.wikidata.org/entity/Q2762665
2922,José Ángel Montero,1832-10-02,1881-08-24,Venezuela,http://www.wikidata.org/entity/Q974138
2923,João de Sousa Carvalho,1745-02-22,1799-01-01,Portugal,http://www.wikidata.org/entity/Q2247998
2924,Juan Manuel Abras,1975-02-01,2200-01-01,Sweden,http://www.wikidata.org/entity/Q15726312
2925,Juan Manén,1883-03-14,1971-06-26,Spain,http://www.wikidata.org/entity/Q2701684
2929,Judith Weir,1954-05-11,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q2411818
2932,Jules Massenet,1842-05-12,1912-08-13,France,http://www.wikidata.org/entity/Q194436
2958,Julian Edwards,1855-12-11,1910-09-05,United Kingdom,http://www.wikidata.org/entity/Q1711977
2959,Julian Grant,1960-10-03,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q6307210
2960,Julius Benedict,1804-11-27,1885-06-05,Germany,http://www.wikidata.org/entity/Q510435
2963,Julius Bittner,1874-04-09,1939-01-09,Austria,http://www.wikidata.org/entity/Q668969
2964,Julius Eichberg,1824-06-13,1893-01-18,Germany,http://www.wikidata.org/entity/Q6309774
2966,Julius Kalaš,1902-08-18,1967-05-12,Czech Republic,http://www.wikidata.org/entity/Q1712730
2967,Julián Carrillo,1875-01-28,1965-09-09,Mexico,http://www.wikidata.org/entity/Q681634
2968,Junsang Bahk,1937-06-02,2200-01-01,South Korea,http://www.wikidata.org/entity/Q6314321
2969,Ján Cikker,1911-07-29,1989-12-21,Slovakia,http://www.wikidata.org/entity/Q692171
2978,Ján Levoslav Bella,1843-09-04,1936-05-25,Slovakia,http://www.wikidata.org/entity/Q964103
2979,Jörg Widmann,1973-06-19,2200-01-01,Germany,http://www.wikidata.org/entity/Q462746
2980,Jürg Baur,1918-11-11,2010-01-31,Germany,http://www.wikidata.org/entity/Q896872
2981,Kaija Saariaho,1952-10-14,2200-01-01,Finland,http://www.wikidata.org/entity/Q241432
2984,Karel Bendl,1838-04-16,1897-09-20,Czech Republic,http://www.wikidata.org/entity/Q961474
2993,Karel Kovařovic,1862-12-09,1920-12-06,Czech Republic,http://www.wikidata.org/entity/Q2099524
2998,Karel Moor,1873-12-26,1945-03-30,Czech Republic,http://www.wikidata.org/entity/Q12028407
2999,Karel Weis,1862-02-13,1944-04-04,Czech Republic,http://www.wikidata.org/entity/Q778555
3004,Karel Šebor,1843-08-13,1903-05-18,Czech Republic,http://www.wikidata.org/entity/Q721518
3009,Karl Amadeus Hartmann,1905-08-02,1963-12-05,Germany,http://www.wikidata.org/entity/Q366100
3010,Karl Anton Eckert,1820-12-17,1879-10-14,Germany,http://www.wikidata.org/entity/Q551438
3011,Karl Christian Agthe,1762-06-16,1797-11-27,Germany,http://www.wikidata.org/entity/Q88856
3016,Karl Goldmark,1830-05-18,1915-01-02,Hungary,http://www.wikidata.org/entity/Q239214
3018,Karl Michael Ziehrer,1843-05-02,1922-11-14,Austria,http://www.wikidata.org/entity/Q696576
3019,Karl-Birger Blomdahl,1916-10-19,1968-06-14,Sweden,http://www.wikidata.org/entity/Q1208405
3021,Karol Kurpiński,1785-03-06,1857-09-18,Poland,http://www.wikidata.org/entity/Q1734181
3024,Karol Szymanowski,1882-10-03,1937-03-29,Ukraine,http://www.wikidata.org/entity/Q295400
3025,Karol Szymanowski,1882-10-06,1937-03-29,Ukraine,http://www.wikidata.org/entity/Q295400
3028,Karólína Eiríksdóttir,1951-01-01,2200-01-01,Iceland,http://www.wikidata.org/entity/Q3480142
3030,Kirke Mechem,1925-08-16,2200-01-01,United States of America,http://www.wikidata.org/entity/Q6415644
3031,Konstantyn Dankevych,1905-12-24,1984-02-26,Ukraine,http://www.wikidata.org/entity/Q4154930
3032,Kosaku Yamada,1886-06-09,1965-12-29,Japan,http://www.wikidata.org/entity/Q947908
3033,Krzysztof Meyer,1943-08-11,2200-01-01,Poland,http://www.wikidata.org/entity/Q652558
3034,Krzysztof Penderecki,1933-11-23,2200-01-01,Poland,http://www.wikidata.org/entity/Q153469
3036,Kurt Atterberg,1887-12-12,1974-02-15,Sweden,http://www.wikidata.org/entity/Q440388
3041,Kurt Schwertsik,1935-06-25,2200-01-01,Austria,http://www.wikidata.org/entity/Q86557
3042,Kurt Weill,1900-03-02,1950-04-03,Germany,http://www.wikidata.org/entity/Q55004
3054,Károly Aggházy,1855-10-30,1918-10-08,Hungary,http://www.wikidata.org/entity/Q516349
3055,Ladislav Holoubek,1913-08-13,1994-09-04,Czech Republic,http://www.wikidata.org/entity/Q24449220
3061,Ladislav Prokop Procházka,1872-05-01,1955-10-12,Czech Republic,http://www.wikidata.org/entity/Q12032585
3063,Lauro Rossi,1812-02-19,1885-05-05,Italy,http://www.wikidata.org/entity/Q1541765
3064,Lee Hoiby,1926-02-17,2011-03-28,United States of America,http://www.wikidata.org/entity/Q1811830
3065,Leevi Madetoja,1887-02-17,1947-10-06,Finland,http://www.wikidata.org/entity/Q713467
3066,Lennox Randal Francis Berkeley,1903-05-12,1989-12-26,United Kingdom,http://www.wikidata.org/entity/Q514975
3068,Leo Ascher,1880-08-17,1942-02-25,Austria,http://www.wikidata.org/entity/Q214530
3069,Leo Blech,1871-04-21,1958-08-24,Germany,http://www.wikidata.org/entity/Q66190
3070,Leo Blech,1871-04-21,1958-08-25,Germany,http://www.wikidata.org/entity/Q66190
3073,Leo Fall,1873-02-02,1925-09-15,Czech Republic,http://www.wikidata.org/entity/Q78585
3074,Leo Fall,1873-02-02,1925-09-16,Czech Republic,http://www.wikidata.org/entity/Q78585
3087,Leon Jessel,1871-01-22,1942-01-04,Poland,http://www.wikidata.org/entity/Q571212
3089,Leonard Kastle,1929-02-11,2011-05-18,United States of America,http://www.wikidata.org/entity/Q4216885
3090,Leonardo Balada,1933-09-22,2200-01-01,Spain,http://www.wikidata.org/entity/Q712049
3091,Leonardo Leo,1694-08-05,1744-10-31,Italy,http://www.wikidata.org/entity/Q316735
3092,Leonardo Vinci,1690-01-01,1730-05-27,Italy,http://www.wikidata.org/entity/Q29577
3100,Leonid Desyatnikov,1955-10-16,2200-01-01,Ukraine,http://www.wikidata.org/entity/Q1986248
3102,Leopold Eugen Měchura,1804-02-02,1870-02-11,Czech Republic,http://www.wikidata.org/entity/Q1682166
