,composer,date_of_birth,date_of_death,country,composer_url
1055,David Bruce,1970-01-01,2200-01-01,United Kingdom,http://www.wikidata.org/entity/Q5231835
1057,David Carlson,1952-03-13,2200-01-01,United States of America,http://www.wikidata.org/entity/Q550513
1058,David DiChiera,1935-04-08,2200-01-01,United States of America,http://www.wikidata.org/entity/Q8354090
1059,Davide Perez,1711-01-01,1778-10-30,Italy,http://www.wikidata.org/entity/Q2274080
1061,Deborah Drattell,1956-01-01,2200-01-01,United States of America,http://www.wikidata.org/entity/Q436343
1064,Deems Taylor,1885-12-22,1966-07-03,United States of America,http://www.wikidata.org/entity/Q284386
1065,Denis Gougeon,1951-11-16,2200-01-01,Canada,http://www.wikidata.org/entity/Q1187398
1066,Derek Bourgeois,1941-10-16,2017-09-06,United Kingdom,http://www.wikidata.org/entity/Q523706
1069,Detlev Glanert,1960-09-06,2200-01-01,Germany,http://www.wikidata.org/entity/Q1201437
1071,Dieter Lehnhoff,1955-05-27,2200-01-01,Guatemala,http://www.wikidata.org/entity/Q669869
1072,Dmitri Kabalevsky,1904-12-30,1987-02-14,Russia,http://www.wikidata.org/entity/Q153776
1073,Dmitri Shostakovich,1906-09-25,1975-08-09,Russia,http://www.wikidata.org/entity/Q80135
1080,Dmitry Bortniansky,1751-10-28,1825-10-10,Ukraine,http://www.wikidata.org/entity/Q316505
1084,Domenico Alberti,1710-01-01,1746-10-14,Italy,http://www.wikidata.org/entity/Q319766
1086,Domenico Cimarosa,1749-12-17,1801-01-11,Italy,http://www.wikidata.org/entity/Q191775
1132,Domenico Fischietti,1725-01-01,1810-01-01,Italy,http://www.wikidata.org/entity/Q1237146
1133,Domenico Monleone,1875-01-04,1942-01-15,Italy,http://www.wikidata.org/entity/Q5290114
1134,Domenico Sarro,1679-12-24,1744-01-25,Italy,http://www.wikidata.org/entity/Q1237262
1137,Dominick Argento,1927-10-27,2200-01-01,United States of America,http://www.wikidata.org/entity/Q2630943
1150,Domènec Terradellas,1713-02-13,1751-05-20,Spain,http://www.wikidata.org/entity/Q960294
1151,Domènec Terradellas,1713-02-13,1751-05-25,Spain,http://www.wikidata.org/entity/Q960294
1154,Don Davis,1957-02-04,2200-01-01,United States of America,http://www.wikidata.org/entity/Q207859
