,composer,complete_name,dates,uri,work
1663,Kraus,Joseph Martin Kraus,(1756–1792),http://operabase.com/visual.cgi??lang=en&is=opera&by=Kraus,Silverskeppet 
1664,Kraus,Joseph Martin Kraus,(1756–1792),http://operabase.com/visual.cgi??lang=en&is=opera&by=Kraus,Drottningens juvelsmycke 
1665,Kraus,Joseph Martin Kraus,(1756–1792),http://operabase.com/visual.cgi??lang=en&is=opera&by=Kraus,Proserpina 
1666,Eggert,Moritz Eggert,(b.1965),http://operabase.com/visual.cgi??lang=en&is=opera&by=Eggert,Freax 
1667,Eggert,Moritz Eggert,(b.1965),http://operabase.com/visual.cgi??lang=en&is=opera&by=Eggert,Terra Nova 
1668,Eggert,Moritz Eggert,(b.1965),http://operabase.com/visual.cgi??lang=en&is=opera&by=Eggert,Tragedy of a Friendship 
1669,Wulff-Woesten,Johannes Wulff-Woesten,(b.1966),http://operabase.com/visual.cgi??lang=en&is=opera&by=Wulff-Woesten,Prinz Bussel [c]
1670,Javori,Ferenc Jávori,"
 Hungarian composer and +. compositeur et + hongrois. compositore e + ungherese. ungarischer Komponist und +.",http://operabase.com/visual.cgi??lang=en&is=opera&by=Javori,Wedding Dance 
1671,"Williams,G",Gareth Williams,(b.1977),"http://operabase.com/visual.cgi??lang=en&is=opera&by=Williams,G",Last One Out 
1672,"Williams,G",Gareth Williams,(b.1977),"http://operabase.com/visual.cgi??lang=en&is=opera&by=Williams,G",Rocking Horse Winner 
1673,"Williams,G",Gareth Williams,(b.1977),"http://operabase.com/visual.cgi??lang=en&is=opera&by=Williams,G",The Elephant Angel 
1674,Wuorinen,Charles Wuorinen,(b.1938),http://operabase.com/visual.cgi??lang=en&is=opera&by=Wuorinen,Brokeback Mountain 
1675,Scartazzini,Andrea Lorenzo Scartazzini,(b.1971),http://operabase.com/visual.cgi??lang=en&is=opera&by=Scartazzini,Der Sandmann 
1676,Scartazzini,Andrea Lorenzo Scartazzini,(b.1971),http://operabase.com/visual.cgi??lang=en&is=opera&by=Scartazzini,Edward II 
