,clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
1795,"Gaviniès, Pierre","Gaviniès [Gaviniés, Gaviniez, Gavigniès, Gavignès, Gabignet], Pierre",1728.0,1800.0,France,,opera.stanford,,"Gaviniès [Gaviniés, Gaviniez, Gavigniès, Gavignès, Gabignet], Pierre"
1796,"Gawronski, Adalbert","Gawronski [Rola-Gawronski], Adalbert (Wojciech)",1868.0,1910.0,Poland,,opera.stanford,,"Gawronski [Rola-Gawronski], Adalbert (Wojciech)"
1797,"Gaxie, ",Gaxie,1977.0,,France,Male,operabase,Gaxie,
1798,"Gaztambide, Joaquín",Gaztambide,1822.0,1870.0,Spain,Male,operabase,Gaztambide,"Gaztambide (y Garbayo), Joaquín (Romualdo)"
1799,"Gazzaniga, Giuseppe","Gazzaniga, Giuseppe",1743.0,1818.0,Italy,,opera.stanford,Gazzaniga,"Gazzaniga, Giuseppe"
1800,"Gebel, Georg","Gebel, Georg",1709.0,1753.0,Poland,,opera.stanford,,"Gebel, Georg"
1801,"Gebhardt, Rio","Gebhardt, Rio",1907.0,1944.0,Germany,,opera.stanford,,"Gebhardt, Rio"
1802,"Gedda, Giulio Cesare","Gedda, Giulio Cesare",1899.0,1970.0,Italy,,opera.stanford,,"Gedda, Giulio Cesare"
1803,"Gedike, Alexander","Gedike [Goedike], Alexander (Fyodorovich)",1877.0,1957.0,Russia,,opera.stanford,,"Gedike [Goedike], Alexander (Fyodorovich)"
1804,"Gedzhadze, Irakly","Gedzhadze, Irakly",1925.0,,Georgia,,opera.stanford,,"Gedzhadze, Irakly"
1805,Gefors. Hans,Gefors,1952.0,,Sweden,Male,operabase,Gefors,Gefors. Hans
1806,"Gehot, Joseph","Gehot, [Jean] Joseph",1756.0,1820.0,Belgium,,opera.stanford,,"Gehot, [Jean] Joseph"
1807,"Geisler, Paul","Geisler, Paul",1856.0,1919.0,Poland,,opera.stanford,,"Geisler, Paul"
1808,"Geissler, Fritz","Geissler, Fritz",1921.0,1984.0,Germany,,opera.stanford,,"Geissler, Fritz"
1809,"Genee, ",Genee,1823.0,1895.0,Germany,Male,operabase,Genee,"Genée, (Franz Friedrich) Richard"
1810,"Generali, Pietro","Generali [Mercandetti], Pietro",1773.0,1832.0,Italy,,opera.stanford,,"Generali [Mercandetti], Pietro"
1811,"Genishta, Josif Josifovich","Genishta, Josif Josifovich",1795.0,1853.0,Russia,,opera.stanford,,"Genishta, Josif Josifovich"
1812,"Genovés y Lapetra, Tomás","Genovés y Lapetra, Tomás",1805.0,1861.0,Spain,,opera.stanford,,"Genovés y Lapetra, Tomás"
1813,"George, Earl","George, Earl",1924.0,,United States,,opera.stanford,,"George, Earl"
1814,"Georges, Alexandre","Georges, Alexandre",1850.0,1938.0,France,,opera.stanford,,"Georges, Alexandre"
1815,"Gerber, René","Gerber, René",1908.0,,Switzerland,,opera.stanford,,"Gerber, René"
1816,"Gerbic, Fran","Gerbic, Fran",1840.0,1917.0,Slovenia,,opera.stanford,,"Gerbic, Fran"
1817,"Gerhard, Roberto","Gerhard, Roberto",1896.0,1970.0,Spain,,opera.stanford,,"Gerhard, Roberto"
1818,"Gericke, Wilhelm","Gericke, Wilhelm",1845.0,1925.0,Germany,,opera.stanford,,"Gericke, Wilhelm"
1819,"Gerl, Franz Xaver","Gerl [Görl], Franz Xaver",1764.0,1827.0,Austria,,opera.stanford,,"Gerl [Görl], Franz Xaver"
1820,"Gerlach, Theodor","Gerlach, Theodor",1861.0,1940.0,Germany,,opera.stanford,,"Gerlach, Theodor"
1821,"German Reed, Thomas","German Reed, Thomas",1817.0,1888.0,United Kingdom,,opera.stanford,,"German Reed, Thomas"
1822,"German,","German [Jones, German Edward],",,,United Kingdom,,opera.stanford,,"German [Jones, German Edward],"
1823,"Gershfeld, David","Gershfeld, David",1911.0,,Ukraine,,opera.stanford,,"Gershfeld, David"
1824,"Gershwin, George",Gershwin,1898.0,1937.0,United States,Male,operabase,Gershwin,"Gershwin [Gershvin], George [Jacob]"
1825,"Gerster, Ottmar","Gerster, Ottmar",1897.0,1969.0,Germany,,opera.stanford,,"Gerster, Ottmar"
1826,"Gervais, Charles-Hubert","Gervais, Charles-Hubert",1671.0,1744.0,France,,opera.stanford,Gervais,"Gervais, Charles-Hubert"
1827,"Gervasoni, ",Gervasoni,1962.0,,Italy,Male,operabase,Gervasoni,
1828,"Gesseney-Rappo, ",Gesseney-Rappo,1953.0,,Switzerland,Male,operabase,Gesseney-Rappo,
1829,"Gestewitz, Friedrich Christoph","Gestewitz, Friedrich Christoph",1753.0,1805.0,Germany,,opera.stanford,,"Gestewitz, Friedrich Christoph"
1830,"Getty, Gordon","Getty, Gordon",1933.0,,United States,,opera.stanford,Getty,"Getty, Gordon"
1831,"Gevaert, François-Auguste","Gevaert, François-Auguste",1828.0,1908.0,Belgium,,opera.stanford,,"Gevaert, François-Auguste"
1832,"Ghedini, Giorgio Federico","Ghedini, Giorgio Federico",1892.0,1965.0,Italy,,opera.stanford,,"Ghedini, Giorgio Federico"
1833,"Gheluwe, Leon van","Gheluwe, Leon van",1837.0,1914.0,Belgium,,opera.stanford,,"Gheluwe, Leon van"
1834,"Gherardeschi, Filippo Maria","Gherardeschi, Filippo Maria",1738.0,1808.0,Italy,,opera.stanford,,"Gherardeschi, Filippo Maria"
1835,"Ghisi, Federico","Ghisi, Federico",1901.0,1975.0,China,,opera.stanford,,"Ghisi, Federico"
1836,"Giacobbe, Juan Francisco","Giacobbe, Juan Francisco",1907.0,1990.0,Argentina,,opera.stanford,,"Giacobbe, Juan Francisco"
1837,"Giacobbi, Giordano","Giacobbi, Giordano",1567.0,1629.0,Italy,,opera.stanford,,"Giacobbi, Giordano"
1838,"Giacomelli, Geminiano","Giacomelli [Jacomelli], Geminiano",1692.0,1740.0,Italy,,opera.stanford,,"Giacomelli [Jacomelli], Geminiano"
1839,"Giai, Giovanni Antonio","Giai [Giaii, Giaij, Giay], Giovanni Antonio",1690.0,1764.0,Italy,,opera.stanford,,"Giai [Giaii, Giaij, Giay], Giovanni Antonio"
1840,"Gialdini, Gialdino","Gialdini, Gialdino",1843.0,1919.0,Italy,,opera.stanford,,"Gialdini, Gialdino"
1841,"Gianella, Louis","Gianella, Louis [Ludovico, Luigi]",1778.0,1817.0,France,,opera.stanford,,"Gianella, Louis [Ludovico, Luigi]"
1842,"Giannetti, Giovanni","Giannetti, Giovanni",1869.0,1934.0,Italy,,opera.stanford,,"Giannetti, Giovanni"
1843,"Giannettini, Antonio","Giannettini [Gianettini, Zanettini, Zannettini], Antonio",1648.0,1721.0,Italy,,opera.stanford,,"Giannettini [Gianettini, Zanettini, Zannettini], Antonio"
1844,"Giannini, Vittorio","Giannini, Vittorio",1903.0,1966.0,United States,,opera.stanford,,"Giannini, Vittorio"
1845,"Giarda, Luigi Stefano","Giarda, Luigi Stefano",1868.0,1953.0,Italy,,opera.stanford,,"Giarda, Luigi Stefano"
1846,"Giardini, Felice","Giardini [Degiardino], Felice (de')",1716.0,1796.0,Italy,,opera.stanford,,"Giardini [Degiardino], Felice (de')"
1847,"Gibbons, Christopher","Gibbons, Christopher",1615.0,1676.0,United Kingdom,,opera.stanford,,"Gibbons, Christopher"
1848,"Gibbs, Cecil Armstrong","Gibbs, Cecil Armstrong",1889.0,1960.0,United Kingdom,,opera.stanford,,"Gibbs, Cecil Armstrong"
1849,"Gibelli, Lorenzo","Gibelli [Gibellone], Lorenzo",1719.0,1812.0,Italy,,opera.stanford,,"Gibelli [Gibellone], Lorenzo"
1850,"Gibert, Paul-César","Gibert, Paul-César",1717.0,1787.0,France,,opera.stanford,,"Gibert, Paul-César"
1851,"Gideon, Miriam","Gideon, Miriam",1906.0,1996.0,United States,,opera.stanford,,"Gideon, Miriam"
1852,"Gifford, Helen","Gifford, Helen (Margaret)",1935.0,,Australia,,opera.stanford,,"Gifford, Helen (Margaret)"
1853,"Gilardi, Gilardo","Gilardi, Gilardo",1889.0,1963.0,Italy,,opera.stanford,,"Gilardi, Gilardo"
1854,"Gilbert, Anthony","Gilbert, Anthony (John)",1934.0,,United Kingdom,,opera.stanford,,"Gilbert, Anthony (John)"
1855,"Gilbert, Henry F","Gilbert, Henry F(ranklin Belknap)",1868.0,,United States,,opera.stanford,,"Gilbert, Henry F(ranklin Belknap)"
1856,"Gilbert, Jean","Gilbert [Winterfield, Max], Jean",1879.0,1942.0,Germany,,opera.stanford,,"Gilbert [Winterfield, Max], Jean"
1857,"Gilfert, Charles H.","Gilfert, Charles H.",1787.0,1829.0,United States,,opera.stanford,,"Gilfert, Charles H."
1858,"Gill, ",Gill,1942.0,,Australia,Male,operabase,Gill,
1859,"Gille, Jacob Edvard","Gille, Jacob Edvard",1814.0,1880.0,Sweden,,opera.stanford,,"Gille, Jacob Edvard"
