"","work_x","composer_x","work_key"
"17002","From the House of the Dead","Janácek","Q777727"
"5789","Galileo Galilei","Glass","Q3094742"
"737","Gianni Schicchi","Puccini","Q727868"
"16006","Giasone","Cavalli","Q2245661"
"5555","Gilgamesh","Prestini","Q75502"
"5554","Gilgamesh","Prestini","Q75352"
"10426","Giovanna d'Arco","Verdi","Q55064202"
"10427","Giovanna d'Arco","Verdi","Q757134"
"2790","Girls of the Golden West","Adams","Q25218948"
"19653","Giulio Cesare in Egitto","Handel","Q389775"
"19654","Giulio Cesare in Egitto","Handel","Q875563"
"33197","Goyescas","Granados","Q3077271"
"13716","Griselda","Scarlatti","Q2330994"
"13714","Griselda","Scarlatti","Q5609623"
"13713","Griselda","Scarlatti","Q1547049"
"13715","Griselda","Scarlatti","Q1028221"
"45510","Guillaume Tell","Rossini","Q5616076"
"193","Götterdämmerung","Wagner","Q272029"
"1329","H.M.S. Pinafore","Sullivan","Q1197244"
"22846","Halka","Moniuszko","Q592291"
"3614","Hamlet","Thomas","Q631016"
"3615","Hamlet","Thomas","Q42306683"
"38","Hansel and Gretel","Humperdinck","Q1099668"
"5028","Hansel and Gretel","Bruce","Q1099668"
"47858","Harvey Milk","Wallace","Q3783582"
"3741","Hydrogen Jukebox","Glass","Q3143733"
"5146","Hérodiade","Massenet","Q1989023"
"8557","I Capuleti e i Montecchi","Bellini","Q1071307"
"20324","I due Foscari","Verdi","Q468112"
"14355","I lombardi alla prima crociata","Verdi","Q468625"
"25199","I masnadieri","Verdi","Q466338"
"2250","I puritani","Bellini","Q470886"
"28972","I vespri siciliani","Verdi","Q17082432"
"59323","Idiots First","Blitzstein","Q54992326"
"7091","Il Barbiere di Siviglia","Paisiello","Q3793081"
"9432","Il Corsaro","Verdi","Q467289"
"18014","Il Giuramento","Mercadante","Q1469058"
"24299","Il Maestro di Cappella","Cimarosa","Q467311"
"24300","Il Maestro di Cappella","Cimarosa","Q11926491"
"34803","Il Pirata","Bellini","Q467292"
"5762","Il Postino","Catán","Q9007961"
"892","Il barbiere di Siviglia","Rossini","Q3793081"
"11427","Il matrimonio segreto","Cimarosa","Q428319"
"17899","Il re pastore","Mozart","Q21086138"
"17901","Il re pastore","Mozart","Q470899"
"17898","Il re pastore","Mozart","Q18351026"
"17900","Il re pastore","Mozart","Q3795500"
"738","Il tabarro","Puccini","Q468235"
"32","Il trovatore","Verdi","Q203470"
"6116","Il turco in Italia","Rossini","Q477643"
"30507","Il viaggio a Reims","Rossini","Q470983"
"30035","Imeneo","Handel","Q1659804"
