"","work_x","composer_x","work_key"
"63","L'Enlèvement d'Europe","Milhaud","Q3064107"
"64","La mere coupable","Milhaud","Q3210943"
"65","The Love of Three Kings","Montemezzi","Q2342484"
"66","The Tale of Orpheus","Monteverdi","Q7103975"
"67","Die Entfuhrung aus dem Serail","Mozart","Q210711"
"68","Idomeneo, King of Crete","Mozart","Q723559"
"69","Le nozze di Figaro","Mozart","Q201873"
"70","Mitridate, King of Pontus","Mozart","Q62338"
"71","Cosi fan tutte","Mozart","Q207410"
"72","The Magic Flute (adapted)","Mozart","Q5064"
"73","Die Zauberflöte","Mozart","Q5064"
"74","Die Zauberflote","Mozart","Q5064"
"75","The Magic Flute (adapted)","Mozart, adapt. Pogue","Q5064"
"76","La Belle Helene","Offenbach","Q1219408"
"77","Orphée aux enfers","Offenbach","Q1137065"
"78","The Grand Duchess of Gerolstein","Offenbach","Q1213194"
"79","Christopher Columbus","Offenbach","Q2966173"
"80","Over the Tavern","Peters","Q2876719"
"81","Diary of an African American (Tour)","Peterson","Q2390578"
"82","Maria de Buenos Aires","Piazzolla","Q1422674"
"83","Dialogues des Carmelites","Poulenc","Q1208527"
"84","Dialogues des Carmélites","Poulenc","Q1208527"
"85","Les Mamelles de Tiresias","Poulenc","Q4692200"
"86","Madam Butterfly","Puccini","Q19005"
"87","La boheme","Puccini","Q188621"
"88","La boheme","Puccini","Q984983"
"89","Sister Angelica","Puccini","Q769394"
"90","Madame Butterfly","Puccini","Q19005"
"91","Don Quichotte à Dulcinée","Ravel","Q727793"
"92","L'Enfant et les sortileges","Ravel","Q267467"
"93","The Words and the Music: The Barber of Seville","Rossini","Q208659"
"94","The Words and the Music: The Barber of Seville","Rossini","Q1192391"
"95","The Turk in Italy","Rossini","Q477643"
"96","Figaro's Revenge","Rossini","Q201873"
"97","The Italian Girl in Algiers","Rossini","Q589932"
"98","Count Ory","Rossini","Q734560"
"99","Samson et Dalila","Saint-Saëns","Q753152"
"100","Harriet's Spirit","Shelby","Q168488"
"101","Lady Macbeth of Mtsensk","Shostakovich","Q48614"
"102","Passion","Sondheim","Q3133339"
"103","Here Be Sirens","Soper","Q560619"
"104","Triumph of Love","Stock","Q3204842"
"105","Die agyptische Helena","Strauss","Q1220040"
"106","Ariadne on Naxos","Strauss","Q654633"
"107","Le Rossignol (The Nightingale)","Stravinsky","Q2450365"
"108","An American Soldier's Tale","Stravinsky","Q7738734"
"109","HMS Pinafore","Sullivan","Q1197244"
"110","The Not Mikado","Sullivan","Q1195818"
"111","All Souls","Supko","Q21998451"
"112","Vampyr","Talbot","Q253866"
"113","Joan of Arc","Tchaikovsky","Q785557"
"114","Arshak II (Arsace II)","Tchoukhajian","Q4070994"
"115","Ladies in a Maze (working title)","Thomas","Q4266044"
"116","The Emperor of Atlantis","Ullmann","Q3773235"
"117","Der Zerbrochene Krug","Ullmann","Q15124217"
"118","Un Bal masqué","Verdi","Q221757"
"119","Macbeth (1847 original)","Verdi","Q320363"
"120","Macbeth (1847 original)","Verdi","Q21197472"
"121","Macbeth (1865 revised)","Verdi","Q320363"
"122","Macbeth (1865 revised)","Verdi","Q21197472"
"123","Don Carlo","Verdi","Q179110"
"124","The Rhinegold (Das Rheingold)","Wagner","Q327717"
"125","Gotterdammerung","Wagner","Q272029"
"126","Tristan and Isolde","Wagner","Q1324254"
"127","Der fliegende Holländer","Wagner","Q114640"
"128","Die Walküre (Act I) and Parsifal (Act II)","Wagner","Q220340"
"129","Die Walkure","Wagner","Q324319"
"130","Die Meistersinger von Nurnberg","Wagner","Q465540"
"131","Der fliegende Hollander","Wagner","Q114640"
"132","Twilight of the Gods","Wagner","Q272029"
"133","The Tsar Has His Photograph Taken","Weill","Q651505"
