country,city,theatre,work,date
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20140922
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20140924
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20140926
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Tosca,20141015
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Tosca,20141017
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Tosca,20141019
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Bohème,20141120
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Bohème,20141122
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Bohème,20141124
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Concert,20141210
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Concert,20150110
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Gianni Schicchi,20150214
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Suor Angelica,20150214
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Gianni Schicchi,20150216
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Suor Angelica,20150216
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Gianni Schicchi,20150218
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Suor Angelica,20150218
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Gianni Schicchi,20150220
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Suor Angelica,20150220
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Nozze,20150315
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Nozze,20150317
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Nozze,20150319
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Nozze,20150321
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Requiem,20150407
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Recital,20150415
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Concert,20150417
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Recital,20150507
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pagliacci,20150529
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pagliacci,20150531
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pagliacci,20150601
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pagliacci,20150602
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Ring of Fire,20140901
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141018
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141019
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141023
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141024
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141025
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141031
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141102
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141107
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141108
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141109
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141121
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141128
Austria,Baden bei Wien,Stadttheater Baden,Walzertraum,20141129
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20141213
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20141214
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20141226
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20141227
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20141231
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150102
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150103
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150110
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150111
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150117
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150118
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150124
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150125
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150129
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150207
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150208
Austria,Baden bei Wien,Stadttheater Baden,Csárdásfürstin,20150217
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150219
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150220
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150227
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150228
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150301
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150306
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150314
Austria,Baden bei Wien,Stadttheater Baden,Paganini,20150315
Austria,Baden bei Wien,Stadttheater Baden,Die schöne Müllerin,20150425
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150619
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150620
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150627
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150628
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150704
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150705
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150710
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150711
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150718
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150719
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150725
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150726
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150801
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150808
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150813
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150814
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150815
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150819
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150820
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150821
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150827
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150828
Austria,Baden bei Wien,Stadttheater Baden,Fledermaus,20150903
Austria,Baden bei Wien,Stadttheater Baden,Der fidele Bauer,20150904
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150127
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150129
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150131
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150202
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150204
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150206
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150208
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150215
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150222
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150301
Austria,Bregenz,Vorarlberger Landestheater,Carmen,20150303
Austria,Erl,Tiroler Festspiele Erl,Così fan tutte,20141226
Austria,Erl,Tiroler Festspiele Erl,Fidelio,20141227
