country,city,theatre,work,date
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Butterfly,20161002
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Butterfly,20161004
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Butterfly,20161006
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Zauberflöte,20161023
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Zauberflöte,20161025
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20161217
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20161218
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20161219
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Traviata,20161220
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20160915
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Carmen,20160929
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20161022
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20161024
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20161105
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Carmen,20161112
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20161113
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20161122
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20161203
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Cenerentola,20161213
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20161224
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20161229
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20170122
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20170201
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20170205
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Carmen,20170208
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aleko,20170224
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20170309
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Carmen,20170326
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20170331
