country,city,theatre,work,date
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20130920
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20130926
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Requiem,20131010
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Magic Flute,20131026
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20131031
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20131106
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aleko,20131113
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20131120
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20131128
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20131204
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Das Beben,20131212
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20131217
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Concert,20131220
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Norma,20131226
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20140118
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20140120
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Magic Flute,20140202
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Arshak II,20140206
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140210
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aleko,20140218
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140224
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20140304
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Concert,20140318
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Arshak II,20140320
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20140327
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aleko,20140331
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20140403
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20140409
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Sayat-Nova,20140417
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140423
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Arshak II,20140429
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20140506
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aleko,20140508
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140517
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20140520
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140526
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20140529
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20140610
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20140612
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140616
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20140619
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Almast,20140628
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140630
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Traviata,20140715
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20140717
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Arshak II,20140722
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131019
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131020
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131024
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131025
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131027
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131102
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131103
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131109
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131110
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131116
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131117
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131119
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131122
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131123
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131124
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131128
Austria,Baden bei Wien,Stadttheater Baden,Hochzeit des Figaro,20131129
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131130
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131201
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131207
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131208
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131214
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131215
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131217
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131221
Austria,Baden bei Wien,Stadttheater Baden,Aschenputtel,20131222
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131226
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131228
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20131231
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140104
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140105
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140111
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140112
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140118
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140119
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140124
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140125
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140126
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140130
Austria,Baden bei Wien,Stadttheater Baden,Feuerwerk,20140131
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140201
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140202
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140208
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140209
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140215
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140216
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140220
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140221
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140222
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140223
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140301
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140306
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140307
Austria,Baden bei Wien,Stadttheater Baden,Mann von La Mancha,20140308
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140314
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140315
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140316
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140320
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140321
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140327
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140328
Austria,Baden bei Wien,Stadttheater Baden,Zwei Herzen im Dreivierteltakt,20140329
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140620
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140621
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140628
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140629
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140711
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140719
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140720
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140731
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140802
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140803
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140806
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140808
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140813
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140816
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140817
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140821
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140823
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140824
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140828
Austria,Baden bei Wien,Stadttheater Baden,Giuditta,20140904
Austria,Baden bei Wien,Stadttheater Baden,Zirkusprinzessin,20140905
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140205
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140207
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140209
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140211
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140213
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140219
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140221
Austria,Bregenz,Vorarlberger Landestheater,Rigoletto,20140223
