country,city,theatre,work,date
Singapore,Singapore,Singapore Lyric Opera,Pagliacci,20150910
Singapore,Singapore,Singapore Lyric Opera,Gianni Schicchi,20150910
Singapore,Singapore,Singapore Lyric Opera,Pagliacci,20150911
Singapore,Singapore,Singapore Lyric Opera,Gianni Schicchi,20150911
Singapore,Singapore,Singapore Lyric Opera,Pagliacci,20150912
Singapore,Singapore,Singapore Lyric Opera,Gianni Schicchi,20150912
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Csárdásfürstin,20150903
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Hrnčiarsky bál,20150909
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Maria Stuarda,20150917
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Zigeunerliebe,20150919
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Macbeth,20150922
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Rusalka,20150924
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Rigoletto,20151016
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Rigoletto,20151017
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Zigeunerbaron,20151211
Slovakia,Banska Bystrica,State Opera Banská Bystrica,Zigeunerbaron,20151212
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20150912
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Pagliacci,20150918
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Cavalleria rusticana,20150918
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Nabucco,20150919
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20150922
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Traviata,20150923
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Il re Teodoro in Venezia,20150924
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Turandot,20150926
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Jewels of the Madonna,20150929
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Nabucco,20151001
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Romeo and Juliet,20151002
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Rigoletto,20151004
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Carmen,20151007
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Il re Teodoro in Venezia,20151008
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20151010
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Land des Lächelns,20151015
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Turandot,20151016
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Salome,20151018
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Jewels of the Madonna,20151020
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Traviata,20151021
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Carmen,20151023
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Romeo and Juliet,20151028
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Pagliacci,20151029
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Cavalleria rusticana,20151029
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Vec Makropulos,20151031
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Vec Makropulos,20151106
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20151108
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Nabucco,20151111
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Il re Teodoro in Venezia,20151112
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Land des Lächelns,20151114
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Traviata,20151118
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Vec Makropulos,20151120
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20151121
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,"Figaro here, Figaro there",20151124
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Carmen,20151125
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Jewels of the Madonna,20151201
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Barbiere,20151203
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Land des Lächelns,20151204
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Vec Makropulos,20151205
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Zauberflöte,20151206
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Pagliacci,20151210
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Cavalleria rusticana,20151210
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Romeo and Juliet,20151215
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Bohème,20151217
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Salome,20151218
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Barbiere,20151220
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Zauberflöte,20151227
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Rigoletto,20151228
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Nabucco,20151229
Slovakia,Bratislava,Slovenské národné divadlo / Slovak National Theatre,Barbiere,20151231
Slovakia,Kosice,Štátne divadlo Košice,Grófka Marica,20150921
Slovakia,Kosice,Štátne divadlo Košice,Grófka Marica,20150922
Slovakia,Kosice,Štátne divadlo Košice,Grófka Marica,20150923
