country,city,theatre,work,date
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pêcheurs de perles,20170922
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pêcheurs de perles,20170924
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Pêcheurs de perles,20170925
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Ein deutsches Requiem,20170930
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Zarzuela anthology,20171021
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Carmen,20180130
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Carmen,20180131
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Carmen,20180201
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Carmen,20180202
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Carmen,20180203
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Fledermaus,20180329
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Fledermaus,20180330
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Fledermaus,20180331
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Fledermaus,20180401
Albania,Tirana,Teatri Kombetar i Operas dhe Baletit / National Theatre of Opera and Ballet,Fledermaus,20180402
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20170905
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Requiem,20170914
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Poliuto,20171109
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20171126
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Arshak II,20171130
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Poliuto,20171212
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Il trovatore,20171220
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20171222
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Poliuto,20180104
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Poliuto,20180204
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Tosca,20180210
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Aida,20180228
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20180301
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Sayat-Nova,20180313
Armenia,Yerevan,Spendiarian Opera and Ballet Theatre,Anoush,20180321
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180202
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180204
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180206
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180213
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180215
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180217
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180219
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180221
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180223
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180225
Austria,Bregenz,Vorarlberger Landestheater,Don Pasquale,20180227
Austria,Graz,Oper Graz,Il trovatore,20170930
Austria,Graz,Oper Graz,Bohème,20171001
Austria,Graz,Oper Graz,Bohème,20171004
Austria,Graz,Oper Graz,Il trovatore,20171005
Austria,Graz,Oper Graz,Il trovatore,20171015
Austria,Graz,Oper Graz,Il trovatore,20171018
Austria,Graz,Oper Graz,Il trovatore,20171025
Austria,Graz,Oper Graz,Il trovatore,20171029
Austria,Graz,Oper Graz,Nozze,20171102
Austria,Graz,Oper Graz,Il trovatore,20171103
Austria,Graz,Oper Graz,Bohème,20171104
Austria,Graz,Oper Graz,Nozze,20171109
Austria,Graz,Oper Graz,Il trovatore,20171118
Austria,Graz,Oper Graz,Bohème,20171119
Austria,Graz,Oper Graz,Nozze,20171124
Austria,Graz,Oper Graz,Nacht in Venedig,20171125
Austria,Graz,Oper Graz,Nozze,20171126
Austria,Graz,Oper Graz,Nozze,20171129
Austria,Graz,Oper Graz,Il trovatore,20171201
Austria,Graz,Oper Graz,Nozze,20171203
Austria,Graz,Oper Graz,Nozze,20171206
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171210
Austria,Graz,Oper Graz,Nacht in Venedig,20171210
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171212
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171212
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171213
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171214
Austria,Graz,Oper Graz,Nozze,20171215
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171215
Austria,Graz,Oper Graz,Eugen Onegin,20171216
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171216
Austria,Graz,Oper Graz,Amahl und die nächtlichen Besucher,20171216
Austria,Graz,Oper Graz,Nacht in Venedig,20171217
Austria,Graz,Oper Graz,Eugen Onegin,20171221
Austria,Graz,Oper Graz,Bohème,20171223
Austria,Graz,Oper Graz,Bohème,20171226
Austria,Graz,Oper Graz,Nacht in Venedig,20171231
Austria,Graz,Oper Graz,Nozze,20180106
Austria,Graz,Oper Graz,Nacht in Venedig,20180110
Austria,Graz,Oper Graz,Eugen Onegin,20180117
Austria,Graz,Oper Graz,Nozze,20180118
Austria,Graz,Oper Graz,Die menschliche Stimme,20180120
Austria,Graz,Oper Graz,Die menschliche Stimme,20180121
Austria,Graz,Oper Graz,Die menschliche Stimme,20180123
Austria,Graz,Oper Graz,Nacht in Venedig,20180124
Austria,Graz,Oper Graz,Die menschliche Stimme,20180125
Austria,Graz,Oper Graz,Die menschliche Stimme,20180126
Austria,Graz,Oper Graz,Eugen Onegin,20180131
Austria,Graz,Oper Graz,Eugen Onegin,20180203
Austria,Graz,Oper Graz,Eugen Onegin,20180209
Austria,Graz,Oper Graz,Nacht in Venedig,20180215
Austria,Graz,Oper Graz,Nacht in Venedig,20180302
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180303
Austria,Graz,Oper Graz,Eugen Onegin,20180304
Austria,Graz,Oper Graz,Nozze,20180307
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180308
Austria,Graz,Oper Graz,Candide,20180310
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180311
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180314
Austria,Graz,Oper Graz,Candide,20180316
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180317
Austria,Graz,Oper Graz,Nozze,20180318
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180321
Austria,Graz,Oper Graz,Eugen Onegin,20180323
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180406
Austria,Graz,Oper Graz,Il viaggio a Reims,20180407
Austria,Graz,Oper Graz,Candide,20180408
Austria,Graz,Oper Graz,Il viaggio a Reims,20180412
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180413
Austria,Graz,Oper Graz,Il viaggio a Reims,20180414
Austria,Graz,Oper Graz,Eugen Onegin,20180415
Austria,Graz,Oper Graz,Il viaggio a Reims,20180418
Austria,Graz,Oper Graz,Il viaggio a Reims,20180420
Austria,Graz,Oper Graz,Ariane et Barbe-bleue,20180422
Austria,Graz,Oper Graz,Eugen Onegin,20180425
Austria,Graz,Oper Graz,Il viaggio a Reims,20180502
Austria,Graz,Oper Graz,Il viaggio a Reims,20180506
Austria,Graz,Oper Graz,Apollo e Dafne,20180515
Austria,Graz,Oper Graz,Il viaggio a Reims,20180516
Austria,Graz,Oper Graz,Apollo e Dafne,20180517
Austria,Graz,Oper Graz,Apollo e Dafne,20180518
Austria,Graz,Oper Graz,Apollo e Dafne,20180519
Austria,Graz,Oper Graz,Il trovatore,20180524
Austria,Graz,Oper Graz,Il viaggio a Reims,20180525
Austria,Graz,Oper Graz,Mirada antigua,20180527
Austria,Graz,Oper Graz,Antigone. Und kein Ende,20180527
Austria,Graz,Oper Graz,Mirada antigua,20180529
Austria,Graz,Oper Graz,Antigone. Und kein Ende,20180529
Austria,Graz,Oper Graz,Il trovatore,20180603
Austria,Graz,Oper Graz,Mirada antigua,20180605
Austria,Graz,Oper Graz,Antigone. Und kein Ende,20180605
Austria,Graz,Oper Graz,Il viaggio a Reims,20180606
Austria,Graz,Oper Graz,Mirada antigua,20180608
Austria,Graz,Oper Graz,Antigone. Und kein Ende,20180608
Austria,Graz,Oper Graz,Il viaggio a Reims,20180610
Austria,Graz,Oper Graz,María de Buenos Aires,20180614
Austria,Graz,Oper Graz,María de Buenos Aires,20180615
Austria,Graz,Oper Graz,María de Buenos Aires,20180616
Austria,Graz,Oper Graz,María de Buenos Aires,20180621
Austria,Graz,Oper Graz,María de Buenos Aires,20180622
Austria,Graz,Oper Graz,María de Buenos Aires,20180623
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20170923
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20170929
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20170930
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171001
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20171005
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171006
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20171014
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171019
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20171020
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171021
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171027
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171104
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20171104
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171105
Austria,Innsbruck,Tiroler Landestheater,Orphée et Eurydice,20171108
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171110
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171111
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171119
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171123
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171125
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171130
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171201
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171201
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171203
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171207
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171213
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171214
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171215
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20171216
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171217
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171217
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171220
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171221
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20171222
Austria,Innsbruck,Tiroler Landestheater,Hoffmann,20171226
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171228
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20171228
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20171229
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20171230
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171230
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20171231
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20171231
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20180103
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180105
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180107
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20180110
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180111
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180112
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20180113
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180121
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180125
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180127
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180128
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180131
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180203
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180207
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180208
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180209
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180210
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180215
Austria,Innsbruck,Tiroler Landestheater,Vetter aus Dingsda,20180216
Austria,Innsbruck,Tiroler Landestheater,Gioconda,20180216
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180217
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180218
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180225
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180301
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180302
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180304
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180308
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180309
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180311
Austria,Innsbruck,Tiroler Landestheater,West Side Story,20180321
Austria,Innsbruck,Tiroler Landestheater,Martha,20180324
Austria,Innsbruck,Tiroler Landestheater,Martha,20180404
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180405
Austria,Innsbruck,Tiroler Landestheater,Martha,20180406
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180407
Austria,Innsbruck,Tiroler Landestheater,Martha,20180408
Austria,Innsbruck,Tiroler Landestheater,Martha,20180419
Austria,Innsbruck,Tiroler Landestheater,Martha,20180420
Austria,Innsbruck,Tiroler Landestheater,Martha,20180422
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180425
Austria,Innsbruck,Tiroler Landestheater,Martha,20180426
Austria,Innsbruck,Tiroler Landestheater,Martha,20180429
Austria,Innsbruck,Tiroler Landestheater,Martha,20180511
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180519
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180527
Austria,Innsbruck,Tiroler Landestheater,Martha,20180530
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180601
Austria,Innsbruck,Tiroler Landestheater,Martha,20180602
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180603
Austria,Innsbruck,Tiroler Landestheater,Martha,20180606
Austria,Innsbruck,Tiroler Landestheater,Der Konsul,20180607
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180609
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180610
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180617
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180622
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180623
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180627
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180630
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180701
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180704
Austria,Innsbruck,Tiroler Landestheater,Martha,20180705
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180706
Austria,Innsbruck,Tiroler Landestheater,Rienzi,20180707
Austria,Innsbruck,Tiroler Landestheater,Stein der Weisen,20180708
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170914
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170916
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170919
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170921
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170923
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170927
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20170929
Austria,Klagenfurt,Stadttheater Klagenfurt,Traviata,20171006
