"","composer","work","work_url"
"371","Wagner","Das Liebesverbot","http://www.wikidata.org/entity/Q174392"
"372","Daugherty","Jackie O","http://www.wikidata.org/entity/Q3805719"
"373","Tchaikovsky","Joan of Arc","http://www.wikidata.org/entity/Q785557"
"374","Adams","I Was Looking at the Ceiling, and Then I Saw the Sky","http://www.wikidata.org/entity/Q953293"
"375","Marschner","Der Vampyr","http://www.wikidata.org/entity/Q253866"
"376","Blitzstein","Idiots First","http://www.wikidata.org/entity/Q54992311"
"377","Paisiello","Il Barbiere di Siviglia","http://www.wikidata.org/entity/Q1192391"
"378","Mercadante","Il Giuramento","http://www.wikidata.org/entity/Q1469058"
"379","Cimarosa","Il Maestro di Cappella","http://www.wikidata.org/entity/Q467311"
"380","Donizetti","Il campanello di notte","http://www.wikidata.org/entity/Q464664"
"381","Haydn","Il mondo della luna (Life on the Moon)","http://www.wikidata.org/entity/Q1037479"
"382","Ravel","L'Enfant et les sortileges","http://www.wikidata.org/entity/Q267467"
"383","Milhaud","L'Enlèvement d'Europe","http://www.wikidata.org/entity/Q3064107"
"384","Cesti","L'Orontea","http://www.wikidata.org/entity/Q3268790"
"385","Montemezzi","L'amore dei tre re","http://www.wikidata.org/entity/Q2342484"
"386","Donizetti","L'assedio di Calais","http://www.wikidata.org/entity/Q846737"
"387","Haydn","L'isola disabitata","http://www.wikidata.org/entity/Q468384"
"388","Offenbach","La Belle Helene","http://www.wikidata.org/entity/Q1219408"
"389","Meyerbeer","L'Africaine","http://www.wikidata.org/entity/Q784719"
"390","Sallinen","Kullervo","http://www.wikidata.org/entity/Q11873263"
"391","Humperdinck","Königskinder","http://www.wikidata.org/entity/Q1413471"
"392","Previn","Brief Encounter","http://www.wikidata.org/entity/Q4967023"
"393","Berlioz","Beatrice et Benedict","http://www.wikidata.org/entity/Q791661"
"394","Bellini","Beatrice di Tenda","http://www.wikidata.org/entity/Q791658"
"395","Hasse","Piramo e Tisbe","http://www.wikidata.org/entity/Q7197704"
"396","Rameau","Platée","http://www.wikidata.org/entity/Q1376222"
"397","Donizetti","Poliuto","http://www.wikidata.org/entity/Q240295"
"398","Argento","Postcard from Morocco","http://www.wikidata.org/entity/Q3909450"
"399","Adès","Powder Her Face","http://www.wikidata.org/entity/Q7235981"
"400","Salieri","Prima la musica e poi le parole","http://www.wikidata.org/entity/Q370008"
"401","Weill","Down in the Valley","http://www.wikidata.org/entity/Q5302976"
"402","Berlioz","Benvenuto Cellini","http://www.wikidata.org/entity/Q277846"
"403","Offenbach","Orphée aux enfers","http://www.wikidata.org/entity/Q1137065"
"404","Britten","Owen Wingrave","http://www.wikidata.org/entity/Q736246"
"405","Braunfels","Die Vogel","http://www.wikidata.org/entity/Q1217323"
"406","Adamo","Becoming Santa Claus","http://www.wikidata.org/entity/Q21775670"
"407","Wagner","Rienzi","http://www.wikidata.org/entity/Q689441"
"408","Davis","Rio de Sangre","http://www.wikidata.org/entity/Q24037997"
"409","Donizetti","Rita","http://www.wikidata.org/entity/Q838597"
"410","Handel","Rodrigo","http://www.wikidata.org/entity/Q1576427"
"411","Wagner","Die Walküre (Act I) and Parsifal (Act II)","http://www.wikidata.org/entity/Q220340"
"412","Offenbach","Barbe-bleue","http://www.wikidata.org/entity/Q373076"
"413","Haydn","Orlando Paladino","http://www.wikidata.org/entity/Q910595"
"414","Mozart","Die Entfuhrung aus dem Serail","http://www.wikidata.org/entity/Q210711"
"415","Mozart","Mitridate, King of Pontus","http://www.wikidata.org/entity/Q62338"
"416","Mozart","Mitridate, re di Ponto","http://www.wikidata.org/entity/Q62338"
"417","Rossini","Mosè in Egitto","http://www.wikidata.org/entity/Q583156"
"418","Vivaldi","Motezuma","http://www.wikidata.org/entity/Q1949643"
"419","Bolcom","McTeague","http://www.wikidata.org/entity/Q17064770"
"420","Rossini","Maometto II","http://www.wikidata.org/entity/Q1417349"
"421","Dun","Marco Polo","http://www.wikidata.org/entity/Q6757680"
"422","Donizetti","Maria di Rohan","http://www.wikidata.org/entity/Q732789"
"423","Donizetti","Marino Faliero","http://www.wikidata.org/entity/Q914165"
"424","von Flotow","Martha","http://www.wikidata.org/entity/Q168488"
"425","Mercadante","Orazi e Curiazi","http://www.wikidata.org/entity/Q3884892"
"426","Schreker","Die Gezeichneten","http://www.wikidata.org/entity/Q1213033"
"427","Drattell","Nicholas and Alexandra","http://www.wikidata.org/entity/Q48772833"
"428","Gershwin","Blue Monday","http://www.wikidata.org/entity/Q4929437"
"429","Verdi","Oberto","http://www.wikidata.org/entity/Q636873"
"430","Cavalli","Giasone","http://www.wikidata.org/entity/Q2245661"
"431","Orff","Die Kluge","http://www.wikidata.org/entity/Q1213962"
"432","Strauss, Jr.","Die Fledermaus","https://www.wikidata.org/wiki/Q464930"
"433","Gounod","Romeo and Juliet","https://www.wikidata.org/wiki/Q918714"
"434","Bizet","The Pearl Fishers","https://www.wikidata.org/wiki/Q56159"
"435","Mozart","The Abduction from the Seraglio","https://www.wikidata.org/wiki/Q210711"
"436","Offenbach","The Tales of Hoffmann","https://www.wikidata.org/wiki/Q335012"
"437","Janácek","Jenufa","http://www.wikidata.org/entity/Q1196783"
"438","Dvorák","Rusalka","http://www.wikidata.org/entity/Q729709"
"439","Janácek","The Cunning Little Vixen	","http://www.wikidata.org/entity/Q1171538"
"440","Puccini","The Girl of the Golden West","http://www.wikidata.org/entity/Q460319"
"441","Offenbach","Les contes d'Hoffmann","https://www.wikidata.org/wiki/Q335012"
"442","Gluck","Orfeo ed Euridice","http://www.wikidata.org/entity/Q3885615"
"443","Schönberg","Erwartung","http://www.wikidata.org/entity/Q1362653"
"444","Gluck","Orphée et Euridice","http://www.wikidata.org/entity/Q3885615"
"445","Janácek","The Makropulos Case","http://www.wikidata.org/entity/Q1142221"
"446","Wagner","The Valkyrie","http://www.wikidata.org/entity/Q324319"
"447","Massenet","Don Quixote","https://www.wikidata.org/wiki/Q727793"
"448","Schönberg","Moses und Aron","http://www.wikidata.org/entity/Q1661920"
"449","Verdi","Le Trouvère","http://www.wikidata.org/entity/Q203470"
"450","Floyd","Wuthering Heights","https://www.wikidata.org/wiki/Q8012887"
"451","Janácek","From the House of the Dead","https://www.wikidata.org/wiki/Q777727"
"452","Martin y Soler","L'arbore di Diana","http://www.wikidata.org/entity/Q6455890"
"453","Britten","Noah's Flood","http://www.wikidata.org/entity/Q1218977"
"454","Cimarosa","The Secret Marriage","http://www.wikidata.org/entity/Q428319"
"455","Massenet","Cinderella","https://www.wikidata.org/wiki/Q1371386"
"456","Lehár","Opera/Operetta Cabaret","http://www.wikidata.org/entity/Q478202"
"457","Janácek","Prihody Lisky Bystrousky","https://www.wikidata.org/wiki/Q1171538"
"458","Scarlatti","The Triumph of Honor","http://www.wikidata.org/entity/Q2296392"
"459","Monteverdi","The Tale of Orpheus","https://www.wikidata.org/wiki/Q724008"
"460","Martin y Soler","Una cosa rara","https://www.wikidata.org/wiki/Q3781653"
"461","Janácek","The Makropulos Affair","http://www.wikidata.org/entity/Q1142221"
"462","Martinu","Comedy on the Bridge","http://www.wikidata.org/entity/Q5151499"
"463","Nielsen","Masquerade","https://www.wikidata.org/wiki/Q1977730"
"464","Donizetti","La favorita","http://www.wikidata.org/entity/Q467394"
"465","Rossini","Le Barbier de Seville","http://www.wikidata.org/entity/Q208659"
"466","Mussorgsky","Khovanshchina","http://www.wikidata.org/entity/Q917711
"
"467","Janácek","Káta Kabanová	","http://www.wikidata.org/entity/Q1322339"
"468","Rossini","Cinderella","https://www.wikidata.org/wiki/Q176700"
"0","Bernstein","Candide","http://www.wikidata.org/wiki/Q1033015"
"1","Loewe","My Fair Lady","http://www.wikidata.org/wiki/Q591943"
"2","Puccini","Manon Lescaut","http://www.wikidata.org/wiki/Q459341"
"3","Sondheim","A Little Night Music","http://www.wikidata.org/wiki/Q2704917"
"4","Bernstein","West Side Story","http://www.wikidata.org/wiki/Q669010"
"5","Rodgers","Oklahoma!","http://www.wikidata.org/wiki/Q3305977"
"6","Menotti","The Consul","http://www.wikidata.org/wiki/Q593511"
"7","Rodgers","South Pacific","http://www.wikidata.org/wiki/Q1535240"
"8","Weill","The Threepenny Opera","http://www.wikidata.org/wiki/Q212495"
"9","Leigh","Man of La Mancha","http://www.wikidata.org/wiki/Q2318125"
"10","Monteverdi","L'incoronazione di Poppea","http://www.wikidata.org/wiki/Q615522"
"11","Berlin","Annie Get Your Gun","http://www.wikidata.org/wiki/Q2419754"
"12","Rodgers","The Sound of Music","http://www.wikidata.org/wiki/Q2414348"
"13","Handel","Giulio Cesare","http://www.wikidata.org/wiki/Q875563"
"14","Willson","The Music Man","http://www.wikidata.org/wiki/Q632027"
"15","Bizet","Les Pêcheurs de perles","http://www.wikidata.org/wiki/Q56159"
"16","Rodgers","The King and I","http://www.wikidata.org/wiki/Q6431690"
"17","Puccini","Il trittico","http://www.wikidata.org/wiki/Q899738"
"18","Bock","Fiddler on the Roof","http://www.wikidata.org/wiki/Q487330"
"19","Sondheim","Into the Woods","http://www.wikidata.org/wiki/Q1118244"
"20","Bernstein","Trouble in Tahiti","http://www.wikidata.org/wiki/Q377876"
"21","Menotti","The Medium","http://www.wikidata.org/wiki/Q1169743"
"22","Gluck","Iphigénie en Tauride","http://www.wikidata.org/wiki/Q687822"
"23","Loesser","The Most Happy Fella","http://www.wikidata.org/wiki/Q7752369"
"24","Brown","The Last Five Years","http://www.wikidata.org/wiki/Q1218921"
"25","Britten","Paul Bunyan","http://www.wikidata.org/wiki/Q736746"
"26","Schmidt","The Fantasticks","http://www.wikidata.org/wiki/Q7848436"
"27","Loewe","Camelot","http://www.wikidata.org/wiki/Q1028491"
"28","Porter","Kiss Me, Kate","http://www.wikidata.org/wiki/Q1330969"
"29","Wagner","Der Ring des Nibelungen (Ring Cycle)","http://www.wikidata.org/wiki/Q190237"
"30","Handel","Acis and Galatea","http://www.wikidata.org/wiki/Q341482"
"31","Berlin","White Christmas","http://www.wikidata.org/wiki/Q1131761"
"32","Kander","Cabaret","http://www.wikidata.org/wiki/Q1024739"
"33","von Weber","Der Freischütz","http://www.wikidata.org/wiki/Q156435"
"34","Herbert","Babes in Toyland","http://www.wikidata.org/wiki/Q1563380"
"35","Loesser","Guys and Dolls","http://www.wikidata.org/wiki/Q796988"
"36","Menotti","The Saint of Bleecker Street","http://www.wikidata.org/wiki/Q3989123"
"37","Kálmán","Countess Maritza","http://www.wikidata.org/wiki/Q1551462"
"38","Porter","Anything Goes","http://www.wikidata.org/wiki/Q4778332"
"39","Berlin","The Cocoanuts","http://www.wikidata.org/wiki/Q3986337"
"40","Brooks","The Producers","http://www.wikidata.org/wiki/Q1751433"
"41","Weill","Lady in the Dark","http://www.wikidata.org/wiki/Q1424307"
"42","Lloyd Webber","Jesus Christ Superstar","http://www.wikidata.org/wiki/Q242667"
"43","Kern","Show Boat","http://www.wikidata.org/wiki/Q2166879"
"44","Weill","Lost in the Stars","http://www.wikidata.org/wiki/Q1338894"
"45","Arlen","The Wizard of Oz","http://www.wikidata.org/wiki/Q161402"
"46","Friml","Rose-Marie","http://www.wikidata.org/wiki/Q2001175"
"47","Menken","Little Shop of Horrors","http://www.wikidata.org/wiki/Q1199246"
"48","Torroba","Luisa Fernanda","http://www.wikidata.org/wiki/Q3780609"
"49","Kurka","The Good Soldier Schweik","http://www.wikidata.org/wiki/Q54983382"
"50","Bock","She Loves Me","http://www.wikidata.org/wiki/Q2277615"
"51","Cherubini","Medea","http://www.wikidata.org/wiki/Q577758"
"52","Gluck","Iphigenie en Tauride","http://www.wikidata.org/wiki/Q687822"
"53","Simon","The Secret Garden","http://www.wikidata.org/wiki/Q7763013"
"54","Flaherty","Once on this Island","http://www.wikidata.org/wiki/Q913985"
"55","Lloyd Webber","Evita","http://www.wikidata.org/wiki/Q830549"
"56","Kander","The World Goes 'Round","http://www.wikidata.org/wiki/Q4753455"
"57","Sullivan","The Gondoliers","http://www.wikidata.org/wiki/Q3987314"
"58","Kimper","Patience and Sarah","http://www.wikidata.org/wiki/Q7144946"
"59","Sondheim","A Funny Thing Happened on the Way to the Forum","http://www.wikidata.org/wiki/Q862709"
"60","de Falla","La vida breve","http://www.wikidata.org/wiki/Q733839"
"61","Monteverdi","Il ritorno d'Ulisse in patria","http://www.wikidata.org/wiki/Q907047"
"62","Handel","Radamisto","http://www.wikidata.org/wiki/Q1713359"
"63","Lully","Armide","http://www.wikidata.org/wiki/Q1361941"
"64","Romberg","The New Moon","http://www.wikidata.org/wiki/Q2297573"
"65","Offenbach","La Vie Parisienne","http://www.wikidata.org/wiki/Q1807287"
"66","Mazzoli","Song from the Uproar: The Lives and Deaths of Isabelle Eberhardt","http://www.wikidata.org/wiki/Q29830100"
"67","Lang","the little match girl passion","http://www.wikidata.org/wiki/Q7747651"
"68","Argento","The Dream of Valentino","http://www.wikidata.org/wiki/Q54990714"
"69","Verdi","The Force of Destiny","http://www.wikidata.org/wiki/Q212451"
"70","Vivaldi","Cato in Utica","http://www.wikidata.org/wiki/Q2839289"
"71","Lehár","La Veuve joyeuse","http://www.wikidata.org/wiki/Q478202"
"73","Monteverdi","Il combattimento de Tancredi e Clorinda","http://www.wikidata.org/wiki/Q2541435"
"74","Verdi","La battaglia di Legnano","http://www.wikidata.org/wiki/Q468546"
"75","Waller","Ain't Misbehavin'","http://www.wikidata.org/wiki/Q406268"
"76","Sullivan","Trial by Jury","http://www.wikidata.org/wiki/Q250903"
"77","Loewe","Brigadoon","http://www.wikidata.org/wiki/Q611332"
"78","Foss","The Jumping Frog of Calaveras County","http://www.wikidata.org/wiki/Q54975111"
"79","Gluck","Orfeo y Euridice","http://www.wikidata.org/wiki/Q723776"
"80","Cilea","L'arlesiana","http://www.wikidata.org/wiki/Q2288398"
"81","Rossini","The Thieving Magpie","http://www.wikidata.org/wiki/Q472318"
"82","Sullivan","The Yeomen of the Guard","http://www.wikidata.org/wiki/Q499778"
"83","Herman","Hello, Dolly!","http://www.wikidata.org/wiki/Q1267483"
"84","Guettel","The Light in the Piazza","http://www.wikidata.org/wiki/Q7747285"
"85","Penella","El Gato Montés (The Wildcat)","http://www.wikidata.org/wiki/Q966132"
"86","Hammerstein II","Carmen Jones","http://www.wikidata.org/wiki/Q13424336"
"87","Rossini","Stabat Mater","http://www.wikidata.org/wiki/Q778788"
"88","Gluck","Orphee et Eurydice","http://www.wikidata.org/wiki/Q723776"
"89","Berger","Starmania","http://www.wikidata.org/wiki/Q924458"
"90","Bach","Mass in B Minor","http://www.wikidata.org/wiki/Q310549"
"91","Handel","La resurrezione","http://www.wikidata.org/wiki/Q1696593"
"92","Penella","El Gato Montes (The Wildcat)","http://www.wikidata.org/wiki/Q966132"
"93","Sousa","El Capitan","http://www.wikidata.org/wiki/Q5350925"
"94","Shore","The Fly","http://www.wikidata.org/wiki/Q549077"
"95","Wright","Song of Norway","http://www.wikidata.org/wiki/Q72047"
"96","von Weber","Der Freischutz","http://www.wikidata.org/wiki/Q156435"
"97","Keiser","Der hochmutige gesturzte un wieder erhabene Croesus","http://www.wikidata.org/wiki/Q3003178"
"98","de Falla","El amor brujo","http://www.wikidata.org/wiki/Q2609739"
"99","Gershwin","Of Thee I Sing","http://www.wikidata.org/wiki/Q7997179"
"100","Gershwin","Of Thee I Sing","http://www.wikidata.org/wiki/Q7997179"
"101","Walton","Troilus and Cressida","http://www.wikidata.org/wiki/Q3539889"
"102","Porter","Kiss Me Kate","http://www.wikidata.org/wiki/Q1330969"
"103","Gershwin","Lady Be Good","http://www.wikidata.org/wiki/Q1131715"
"104","Gershwin","Lady Be Good","http://www.wikidata.org/wiki/Q1131715"
"105","Coleman","Sweet Charity","http://www.wikidata.org/wiki/Q2164246"
"107","Sondheim","Company","http://www.wikidata.org/wiki/Q2915810"
"108","Monteverdi","Il Ballo delle ingrate","http://www.wikidata.org/wiki/Q5996683"
"109","Bach","The Coffee Cantata","http://www.wikidata.org/wiki/Q1145620"
"110","Rossini","The Journey to Rheims","http://www.wikidata.org/wiki/Q470983"
"111","Laitman","The Scarlet Letter","http://www.wikidata.org/wiki/Q48778780"
"112","Sondheim","Sunday in the Park with George","http://www.wikidata.org/wiki/Q3435285"
"113","Offenbach","The Grand Duchess of Helmsley-stein","http://www.wikidata.org/wiki/Q1213194"
"114","Lloyd Webber","The Phantom of the Opera","http://www.wikidata.org/wiki/Q1157267"
"115","Simon","Romulus Hunt","http://www.wikidata.org/wiki/Q7363384"
"116","Monteverdi","Lagrime d'amante al sepolcro dell'amata","http://www.wikidata.org/wiki/Q15990985"
"117","Bizet","Les Pecheurs de perles","http://www.wikidata.org/wiki/Q56159"
"118","Verdi","Messa da Requiem","http://www.wikidata.org/wiki/Q1356210"
"119","Schönberg","Miss Saigon","http://www.wikidata.org/wiki/Q653753"
"122","Ravel","Don Quichotte à Dulcinée","http://www.wikidata.org/wiki/Q3035889"
"123","Humperdinck","Hansel and Gretel (Small Scale)","http://www.wikidata.org/wiki/Q1099668"
"124","Brel","Jacques Brel is Alive and Well and Living in Paris","http://www.wikidata.org/wiki/Q1381579"
"125","Monteverdi","Il Combattimento di Tancredi et Clorinda","http://www.wikidata.org/wiki/Q2541435"
"126","Britten","Canticle II: Abraham and Isaac","http://www.wikidata.org/wiki/Q5455847"
"128","Thomas","Mignon","http://www.wikidata.org/wiki/Q657595"
"130","Orff","The Clever Woman (Die Kluge)","http://www.wikidata.org/wiki/Q1213962"
"131","Haydn","L'Anima del filosopho ossia Orfeo ed Euridice","http://www.wikidata.org/wiki/Q723776"
"132","Mozart","Mozart Requiem","http://www.wikidata.org/wiki/Q207875"
"133","Weill","Knickerbocker Holiday","http://www.wikidata.org/wiki/Q7452233"
"134","Hamlisch","A Chorus Line","http://www.wikidata.org/wiki/Q189427"
