,work,date,language,work_url
0,La Muette de Portici,1869-06-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24166
1,Guillaume Tell,1869-06-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31370
2,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-07-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33982
3,Guillaume Tell,1869-09-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32458
4,Il trovatore,1869-09-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43675
5,Guillaume Tell,1869-09-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32455
6,Il trovatore,1869-09-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43676
7,Guillaume Tell,1869-10-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32457
8,Il trovatore,1869-10-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43677
9,Guillaume Tell,1869-10-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32456
10,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-10-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33983
11,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-10-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33984
12,Guillaume Tell,1869-10-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34885
13,Il trovatore,1869-10-31,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43678
14,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-11-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33985
15,Guillaume Tell,1869-11-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32454
16,Armide,1869-11-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24043
17,Armide,1869-11-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42941
18,Armide,1869-11-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42942
19,Armide,1869-11-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42943
20,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-11-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33986
21,Il trovatore,1869-12-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43679
22,Armide,1869-12-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42944
23,Guillaume Tell,1869-12-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32453
24,Le Prophète,1869-12-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28707
25,Die Hugenotten / Les Huguenots / Gli Ugonotti,1869-12-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33988
26,Armide,1869-12-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42945
27,Il trovatore,1869-12-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43680
28,Armide,1870-01-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42946
29,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-01-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33989
30,Guillaume Tell,1870-01-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32452
31,Il trovatore,1870-01-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43681
32,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-02-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33990
33,Il trovatore,1870-02-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43697
34,Il trovatore,1870-02-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43682
35,Armide,1870-03-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42947
36,Il trovatore,1870-03-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43683
37,Faust,1870-03-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34307
38,Faust,1870-03-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34308
39,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-04-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33991
40,Faust,1870-04-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34311
41,Faust,1870-04-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34312
42,Faust,1870-04-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34313
43,Die Afrikanerin / L'Africaine,1870-04-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24424
44,Die Afrikanerin / L'Africaine,1870-04-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34837
45,Armide,1870-05-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42948
46,Die Afrikanerin / L'Africaine,1870-05-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34839
47,Faust,1870-05-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34314
48,Il trovatore,1870-05-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43684
49,Die Afrikanerin / L'Africaine,1870-05-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34840
50,Faust,1870-05-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34315
51,Un ballo in maschera,1870-05-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27132
52,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-05-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33992
53,Guillaume Tell,1870-05-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32451
54,Die Afrikanerin / L'Africaine,1870-05-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34841
55,Faust,1870-06-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34464
56,Guillaume Tell,1870-06-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32450
57,Die Afrikanerin / L'Africaine,1870-06-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34843
58,Faust,1870-06-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34316
59,Faust,1870-06-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34317
60,Faust,1870-09-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34320
61,Guillaume Tell,1870-09-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32448
62,Die Afrikanerin / L'Africaine,1870-09-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34844
63,Mignon,1870-09-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/25088
64,Faust,1870-09-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34321
65,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-09-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33993
66,Guillaume Tell,1870-09-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32449
67,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-10-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33994
68,Lohengrin,1870-10-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31379
69,Faust,1870-10-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34309
70,Lohengrin,1870-10-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32710
71,Lohengrin,1870-10-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32711
72,Die Afrikanerin / L'Africaine,1870-10-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34845
73,Lohengrin,1870-10-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32712
74,Armide,1870-10-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42949
75,Lohengrin,1870-10-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32713
76,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-10-31,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33995
77,Die Afrikanerin / L'Africaine,1870-11-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34846
78,Faust,1870-11-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34319
79,La Juive,1870-11-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28936
80,Die Afrikanerin / L'Africaine,1870-11-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34851
81,Lohengrin,1870-11-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32714
82,Die Hugenotten / Les Huguenots / Gli Ugonotti,1870-11-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33996
83,Guillaume Tell,1870-12-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32447
84,Lohengrin,1870-12-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32715
85,Faust,1870-12-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34318
86,Die Afrikanerin / L'Africaine,1870-12-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34847
87,Guillaume Tell,1871-01-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32444
88,Die Afrikanerin / L'Africaine,1871-01-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34848
89,Lohengrin,1871-01-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32716
90,Die Afrikanerin / L'Africaine,1871-01-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34849
91,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-01-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33997
92,Der fliegende Holländer,1871-01-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31918
93,Der fliegende Holländer,1871-01-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31916
94,Der fliegende Holländer,1871-02-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31915
95,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-02-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33998
96,Der fliegende Holländer,1871-02-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31919
97,Die Afrikanerin / L'Africaine,1871-02-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34850
98,Der fliegende Holländer,1871-02-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31920
99,Der fliegende Holländer,1871-03-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31906
100,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-03-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/33999
101,Belisar,1871-03-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/25283
102,Der fliegende Holländer,1871-03-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31907
103,Die Afrikanerin / L'Africaine,1871-03-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34852
104,Der fliegende Holländer,1871-03-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31908
105,Die Afrikanerin / L'Africaine,1871-03-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34853
106,Der fliegende Holländer,1871-04-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31909
107,Lohengrin,1871-04-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32717
108,Guillaume Tell,1871-04-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32445
109,Die Afrikanerin / L'Africaine,1871-04-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34854
110,Der fliegende Holländer,1871-04-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31910
111,Lohengrin,1871-05-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32718
112,Il trovatore,1871-05-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43685
113,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-05-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34000
114,Der fliegende Holländer,1871-05-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31911
115,Die Afrikanerin / L'Africaine,1871-05-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34855
116,Lohengrin,1871-05-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32719
117,Die Afrikanerin / L'Africaine,1871-05-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34856
118,Il trovatore,1871-08-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43698
119,Die Afrikanerin / L'Africaine,1871-09-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34857
120,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-09-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34001
121,Euryanthe,1871-09-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27599
122,Die Afrikanerin / L'Africaine,1871-10-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34858
123,Lohengrin,1871-10-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32720
124,Der fliegende Holländer,1871-10-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31903
125,Armide,1871-10-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42950
126,Die Afrikanerin / L'Africaine,1871-10-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34859
127,Lohengrin,1871-11-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32721
128,Armide,1871-11-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/42940
129,Die Afrikanerin / L'Africaine,1871-11-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34860
130,Il trovatore,1871-11-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43686
131,Der fliegende Holländer,1871-11-28,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31904
132,Hans Heiling,1871-12-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26312
133,Die Hugenotten / Les Huguenots / Gli Ugonotti,1871-12-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34002
134,Der fliegende Holländer,1871-12-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31922
135,Der fliegende Holländer,1871-12-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31905
136,Die Afrikanerin / L'Africaine,1871-12-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34861
137,Lohengrin,1872-01-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32722
138,Guillaume Tell,1872-01-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32446
139,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-01-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34003
140,La Juive,1872-01-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28939
141,Lohengrin,1872-01-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32723
142,Hans Heiling,1872-02-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26384
143,Guillaume Tell,1872-02-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31371
144,Die lustigen Weiber von Windsor,1872-02-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26983
145,Die lustigen Weiber von Windsor,1872-02-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27180
146,Der fliegende Holländer,1872-02-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31467
147,Lohengrin,1872-02-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32724
148,Die Afrikanerin / L'Africaine,1872-02-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34862
149,Armide,1872-02-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24079
150,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-03-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34004
151,Der Waffenschmied,1872-03-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23406
152,Der Waffenschmied,1872-03-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23667
153,Lohengrin,1872-04-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32725
154,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-04-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34005
155,Der fliegende Holländer,1872-04-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31914
156,Die lustigen Weiber von Windsor,1872-04-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27181
157,Hans Heiling,1872-04-14,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26385
158,Lohengrin,1872-04-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32727
159,Feramors,1872-04-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32859
160,Feramors,1872-04-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32860
161,Guillaume Tell,1872-04-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32286
162,Die Afrikanerin / L'Africaine,1872-04-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24425
163,Il trovatore,1872-05-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43687
164,Der fliegende Holländer,1872-05-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31471
165,La Muette de Portici,1872-05-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28063
166,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-05-24,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34006
167,Der Wasserträger,1872-05-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23579
168,Die Afrikanerin / L'Africaine,1872-05-31,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24426
169,La Juive,1872-06-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28940
170,Die Afrikanerin / L'Africaine,1872-06-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24427
171,Lohengrin,1872-06-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32728
172,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-08-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34007
173,Roméo et Juliette,1872-08-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21054
174,La Juive,1872-08-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28941
175,Guillaume Tell,1872-08-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32287
176,La Muette de Portici,1872-08-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28070
177,Der fliegende Holländer,1872-08-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31472
178,Die Afrikanerin / L'Africaine,1872-08-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24428
179,Hans Heiling,1872-08-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26389
180,Il trovatore,1872-08-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43688
181,Guillaume Tell,1872-09-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32288
182,Roméo et Juliette,1872-09-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21055
183,Il trovatore,1872-09-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43689
184,Die Afrikanerin / L'Africaine,1872-09-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24429
185,La Juive,1872-09-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28942
186,Der Waffenschmied,1872-09-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23668
187,Hans Heiling,1872-09-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26388
188,Der Waffenschmied,1872-10-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23669
189,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-10-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34008
190,Roméo et Juliette,1872-10-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21056
191,Lohengrin,1872-10-05,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32729
192,Rigoletto,1872-10-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23191
193,Lohengrin,1872-10-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32730
194,Die Afrikanerin / L'Africaine,1872-10-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24430
195,La Juive,1872-10-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28943
196,Così fan tutte,1872-10-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26607
197,Il trovatore,1872-10-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43699
198,Der fliegende Holländer,1872-10-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31473
199,Così fan tutte,1872-10-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26609
200,Guillaume Tell,1872-10-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32289
201,Die Afrikanerin / L'Africaine,1872-11-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24431
202,Roméo et Juliette,1872-11-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21057
203,Il trovatore,1872-11-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43700
204,Der fliegende Holländer,1872-11-13,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31474
205,Abu Hassan,1872-11-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24384
206,Die Verschworenen (Der häusliche Krieg),1872-11-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24484
207,Lohengrin,1872-11-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32731
208,Die Hugenotten / Les Huguenots / Gli Ugonotti,1872-11-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34009
209,Hans Heiling,1872-11-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26390
210,Abu Hassan,1872-11-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24401
211,Die Verschworenen (Der häusliche Krieg),1872-11-22,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24483
212,La Juive,1872-11-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/29412
213,Così fan tutte,1872-11-29,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26610
214,Die Afrikanerin / L'Africaine,1872-11-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24432
215,Abu Hassan,1872-12-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24402
216,Die Verschworenen (Der häusliche Krieg),1872-12-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24485
217,Roméo et Juliette,1872-12-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21058
218,Guillaume Tell,1872-12-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32290
219,Il trovatore,1872-12-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43701
220,Guillaume Tell,1872-12-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/34382
221,Dom Sebastian,1872-12-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/22969
222,Dom Sebastian,1872-12-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23157
223,Abu Hassan,1872-12-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24403
224,Die Verschworenen (Der häusliche Krieg),1872-12-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24486
225,Dom Sebastian,1872-12-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23158
226,Armide,1872-12-26,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24080
227,Dom Sebastian,1872-12-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23159
228,Dom Sebastian,1872-12-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23160
229,La Juive,1873-01-02,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28944
230,Der fliegende Holländer,1873-01-04,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/31913
231,Dom Sebastian,1873-01-07,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23161
232,Guillaume Tell,1873-01-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32375
233,Hans Heiling,1873-01-12,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/26391
234,Un ballo in maschera,1873-01-18,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27133
235,Dom Sebastian,1873-01-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23162
236,Die lustigen Weiber von Windsor,1873-01-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27182
237,Abu Hassan,1873-01-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24404
238,Die Verschworenen (Der häusliche Krieg),1873-01-23,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24487
239,Die Afrikanerin / L'Africaine,1873-01-25,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24433
240,Il trovatore,1873-01-30,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43702
241,Dom Sebastian,1873-02-01,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23163
242,Die lustigen Weiber von Windsor,1873-02-06,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27183
243,Dom Sebastian,1873-02-08,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23164
244,Die Afrikanerin / L'Africaine,1873-02-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24434
245,Lohengrin,1873-02-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/32732
246,La Muette de Portici,1873-02-17,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/28074
247,Die lustigen Weiber von Windsor,1873-02-19,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27184
248,Roméo et Juliette,1873-02-20,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21059
249,Dom Sebastian,1873-02-21,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23165
250,Il trovatore,1873-02-27,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/43703
251,Die Afrikanerin / L'Africaine,1873-03-03,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/24435
252,Der Waffenschmied,1873-03-09,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23670
253,Dom Sebastian,1873-03-10,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/23166
254,Roméo et Juliette,1873-03-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/21060
255,Die lustigen Weiber von Windsor,1873-03-16,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/27185
