,work,date,language,work_url
25051,Hérodiade,1999-12-03,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14069
25052,La traviata,1999-12-04,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6866
25053,Aida,1999-12-05,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/198
25054,La traviata,1999-12-07,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/6867
25055,Hérodiade,1999-12-08,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14071
25056,Die Frau ohne Schatten,1999-12-11,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/817
25057,Hérodiade,1999-12-12,in französischer Sprache,https://archiv.wiener-staatsoper.at/performances/14072
25058,La Bohème (Puccini),1999-12-13,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13367
25059,Die Frau ohne Schatten,1999-12-15,in deutscher Sprache,https://archiv.wiener-staatsoper.at/performances/819
25060,Ernani / Hernani,1999-12-16,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13634
25061,La Bohème (Puccini),1999-12-17,in italienischer Sprache,https://archiv.wiener-staatsoper.at/performances/13448
