,work,composer,librettist,theatre,date
8907,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","Cameo Picturehouse, Edinburgh",2014-03-15
8908,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann",Cineworld Falkirk,2014-03-15
8909,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","Pavilion Cinema, Galashiels",2014-03-15
8910,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann",Cineworld Glasgow Renfrew St,2014-03-15
8911,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","Playhouse, Perth",2014-03-15
8912,Werther,Jules Massenet,"Edouard Blau
				Paul Milliet
				Georges Hartmann","New Picture House, St Andrews",2014-03-15
8913,Aïda,Giuseppe Verdi,Antonio Ghislanzoni,"Playhouse Theatre, Edinburgh",2014-03-15
8914,Aïda,Giuseppe Verdi,Antonio Ghislanzoni,Caird Hall,2014-03-18
8915,General,,,Friends of Scottish Opera,2014-03-16
8916,General,,,Friends of Scottish Opera,2014-03-26
8917,General,,,Friends of Scottish Opera,2014-03-28
8918,General,,,Edinburgh Society of Musicians,2014-03-19
8919,General,,,Edinburgh Society of Musicians,2014-03-26
8920,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Citizens Theatre,2014-03-22
8921,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Citizens Theatre,2014-03-27
8922,Macbeth,Giuseppe Verdi,Francesco Maria  Piave,Citizens Theatre,2014-03-29
