,work,composer,librettist,theatre,date
9238,Carmen,Georges Bizet,"Henri Meilhac
				Ludovic Halévy",Adam Smith Theatre,2014-11-08
9239,Cenerentola,Gioachino Rossini,Jacopo Ferretti,"Festival Theatre, Edinburgh",2014-11-13
9240,Cenerentola,Gioachino Rossini,Jacopo Ferretti,"Festival Theatre, Edinburgh",2014-11-16
9241,Cenerentola,Gioachino Rossini,Jacopo Ferretti,"Festival Theatre, Edinburgh",2014-11-19
9242,Cenerentola,Gioachino Rossini,Jacopo Ferretti,"Festival Theatre, Edinburgh",2014-11-22
9243,Friends of Scottish Opera,,,Friends of Scottish Opera,2014-11-14
9244,Friends of Scottish Opera,,,Friends of Scottish Opera,2014-11-18
9245,Friends of Scottish Opera,,,Friends of Scottish Opera,2014-11-26
9246,Friends of Scottish Opera,,,Friends of Scottish Opera,2014-11-28
9247,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica",Duluch Leisure Centre Theatre,2014-11-20
9248,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","Memorial Hall, Lanark",2014-11-22
9249,Madama Butterfly,Giacomo Puccini,"Giuseppe Giacosa
				Luigi Illica","St Mary's Church, Haddington",2014-11-23
9250,General,,,Scottish Arts Club,2014-11-22
9251,General,,,Byre Theatre,2014-11-29
9252,General,,,Royal Conservatoire of Scotland,2014-11-26
9253,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-28
9254,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-28
9255,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-29
9256,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-29
9257,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-30
9258,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-11-30
9259,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-03
9260,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-03
9261,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-04
9262,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-04
9263,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-05
9264,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-05
9265,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-06
9266,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-06
9267,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-07
9268,Mister MacNeep has lost his Sheep!,,,Scottish Opera Production Studios,2014-12-07
9269,General,,,Edinburgh Society of Musicians,2014-11-30
9270,General,,,Alexander Gibson Opera Studio (RSAMD),2014-12-04
9271,General,,,Alexander Gibson Opera Studio (RSAMD),2014-12-06
9272,General,,,"Parish Church, Gatehouse",2014-12-04
9273,General,,,Dundee West Church,2014-12-05
9274,General,,,Friends of Scottish Opera,2014-12-06
9275,General,,,Friends of Scottish Opera,2014-12-07
9276,General,,,Friends of Scottish Opera,2014-12-07
9277,General,,,Friends of Scottish Opera,2014-12-10
9278,Carmina Burana,,,Perth Concert Hall,2014-12-07
9279,Mister MacNeep has lost his Sheep!,,,"Memorial Hall, Lanark",2014-12-13
9280,Mister MacNeep has lost his Sheep!,,,"Memorial Hall, Lanark",2014-12-13
9281,Mister MacNeep has lost his Sheep!,,,"Eastgate Arts Centre, Peebles",2014-12-20
9282,Mister MacNeep has lost his Sheep!,,,"Eastgate Arts Centre, Peebles",2014-12-20
9283,Mister MacNeep has lost his Sheep!,,,"Newlands Centre, Romanno Bridge",2014-12-21
9284,Mister MacNeep has lost his Sheep!,,,"Newlands Centre, Romanno Bridge",2014-12-21
9285,General,,,"Old Kirk, Kirkcaldy",2014-12-20
9286,Hansel and Gretel,Engelbert Humperdinck,Adelheid Wette,Glyndebourne,2014-12-27
9287,General,,,Friends of Scottish Opera,2014-01-10
9288,General,,,Friends of Scottish Opera,2014-01-11
9289,General,,,Friends of Scottish Opera,2014-01-11
9290,General,,,Royal Conservatoire of Scotland,2014-01-12
9291,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,2015-01-16
9292,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,2015-01-17
9293,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,2015-01-19
9294,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,New Athenaeum Theatre,2015-01-24
9295,Marriage of Figaro,Wolfgang Amadeus Mozart,Lorenzo da Ponte,Perth Concert Hall,2015-01-28
9296,General,,,"Community Centre, Beith",2015-01-18
9297,Meistersinger von Nürnberg,Richard Wagner,Richard Wagner,Edinburgh Society of Musicians,2015-01-18
9298,General,,,Friends of Scottish Opera,2015-01-22
9299,General,,,Friends of Scottish Opera,2015-01-28
9300,Inés de Castro,James MacMillan,John Clifford,"Theatre Royal, Glasgow",2015-01-22
9301,Inés de Castro,James MacMillan,John Clifford,"Theatre Royal, Glasgow",2015-01-24
9302,Inés de Castro,James MacMillan,John Clifford,"Festival Theatre, Edinburgh",2015-01-29
9303,Inés de Castro,James MacMillan,John Clifford,"Festival Theatre, Edinburgh",2015-01-31
9304,General,,,Scottish Arts Club,2015-01-27
9305,General,,,"Town Hall, Rutherglen",2015-01-29
9306,General,,,"City Hall, Brechin",2015-01-31
9307,General,,,"Victoria Hall, Campbeltown",2015-02-03
9308,General,,,"Village Hall, Bowmore ",2015-02-05
9309,General,,,"Victory Hall, Benderloch",2015-02-07
9310,General,,,"Village Hall, Durness",2015-02-10
9311,General,,,"Community Centre, Loch Torridon",2015-02-12
9312,General,,,Friends of Scottish Opera,2015-02-01
