clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Ábrányi, Emil","Ábrányi, Emil",1882,,Hungary,,opera.stanford,,"Ábrányi, Emil"
"Ádám, Jenö","Ádám, Jenö",1896,1982,Hungary,,opera.stanford,,"Ádám, Jenö"
"Ásgeirsson, Jón","Ásgeirsson, Jón",1928,,Iceland,,opera.stanford,,"Ásgeirsson, Jón"
"Ölander, Per August","Ölander, Per [Pehr] August",1824,1886,Sweden,,opera.stanford,,"Ölander, Per [Pehr] August"
"Åhlström, Olof","Åhlström, Olof",1756,1835,Sweden,,opera.stanford,,"Åhlström, Olof"
"Åkerberg, Erik","Åkerberg, (Carl) Erik (Emanuel)",1860,1938,Sweden,,opera.stanford,,"Åkerberg, (Carl) Erik (Emanuel)"
"Aav, Evald","Aav, Evald",1900,1939,Estonia,,opera.stanford,,"Aav, Evald"
"Abbà Cornaglia, Pietro","Abbà Cornaglia, Pietro",1851,1894,Italy,,opera.stanford,,"Abbà Cornaglia, Pietro"
"Abbadia, Natale","Abbadia, Natale",1792,1861,Italy,,opera.stanford,,"Abbadia, Natale"
"Abbatini, Antonio Maria","Abbatini, Antonio Maria",1597,1679,Italy,,opera.stanford,,"Abbatini, Antonio Maria"
"Abdullaev, ",Abdullaev,1947,,Uzbekistan,Male,operabase,Abdullaev,
"Abeille, Ludwig","Abeille, (Johann Christian) Ludwig",1761,1838,Germany,,opera.stanford,,"Abeille, (Johann Christian) Ludwig"
"Abert, Johann Joseph","Abert, Johann Joseph",1832,1915,Germany,,opera.stanford,,"Abert, Johann Joseph"
"Abos, Girolamo","Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]",1715,1760,Malta,,opera.stanford,,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"
"Aboulker, Isabelle",Aboulker Isabelle,1938,,France,Female,operabase,Aboulker,Aboulker Isabelle
"Abraham, ",Abraham,1892,1960,Hungary,Male,operabase,Abraham,"Abraham [Ábráham], Paul [Pál]"
"Abramsky, Alexander","Abramsky, Alexander",1898,1985,Ukraine,,opera.stanford,,"Abramsky, Alexander"
"Absil, Jean","Absil, Jean",1893,1974,Belgium,,opera.stanford,,"Absil, Jean"
"Abt, Franz","Abt, Franz (Wilhelm)",1819,1885,Germany,,opera.stanford,,"Abt, Franz (Wilhelm)"
"Acciaiuoli, Filippo","Acciaiuoli, Filippo",1637,1700,Italy,,opera.stanford,,"Acciaiuoli, Filippo"
"Accorimboni, Agostino","Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino",1739,1818,Italy,,opera.stanford,,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"
"Aceves y Lozano, Rafael","Aceves y Lozano, Rafael",1837,1876,Spain,,opera.stanford,,"Aceves y Lozano, Rafael"
"Acton, Carlo","Acton, Carlo [Charles]",1829,1909,Italy,,opera.stanford,,"Acton, Carlo [Charles]"
"Ada, ",Ada,1953,,Turkey,Male,operabase,Ada,
"Adalid y Gurréa, Marcial del","Adalid y Gurréa, Marcial del",1826,1881,Spain,,opera.stanford,,"Adalid y Gurréa, Marcial del"
"Adam, Adolphe ",AdamA,1803,1856,France,Male,operabase,AdamA,"Adam, Adolphe(-Charles)"
"Adamo, Mark","Adamo, Mark",1962,,United States,,opera.stanford,Adamo,"Adamo, Mark"
"Adams, John","Adams, John (Coolidge)",1947,,United Kingdom,,opera.stanford,Adams,"Adams, John (Coolidge)"
"Adams, Leslie","Adams, (Harrison) Leslie",1932,,United States,,opera.stanford,,"Adams, (Harrison) Leslie"
"Adaskin, Murray","Adaskin, Murray",1906,2002,Canada,,opera.stanford,,"Adaskin, Murray"
"Addison, John","Addison, John",1766,1844,United Kingdom,,opera.stanford,,"Addison, John"
"Adelburg, August","Adelburg, August",1830,1873,Austria,,opera.stanford,,"Adelburg, August"
"Aderhold, ",Aderhold,1966,,Germany,Male,operabase,Aderhold,
"Ades, ",Ades,1971,,United Kingdom,Male,operabase,Ades,
"Adigozalov, ",Adigozalov,1935,2006,Azerbaijan,Male,operabase,Adigozalov,
"Adler, Samuel","Adler, Samuel (Hans)",1928,,Germany,,opera.stanford,,"Adler, Samuel (Hans)"
"Adlgasser, Anton Cajetan","Adlgasser, Anton Cajetan",1729,1777,Austria,,opera.stanford,,"Adlgasser, Anton Cajetan"
"Adolfati, Andrea","Adolfati, Andrea",1721,1760,Italy,,opera.stanford,,"Adolfati, Andrea"
"Adomaitis, ",Adomaitis,1983,,Lithuania,Male,operabase,Adomaitis,
"Adomián, Lan","Adomián, Lan",1905,1979,Belarus,,opera.stanford,,"Adomián, Lan"
"Adrien, Ferdinand","Adrien, Ferdinand",1770,1830,Belgium,,opera.stanford,,"Adrien, Ferdinand"
"Adrien, Martin Joseph","Adrien, J.",1768,1824,Belgium,,opera.stanford,,"Adrien, J."
"Adwan, Moneim",Adwan Moneim,1970,,Palestinian Territory,Male,operabase,Adwan,
"Aeschbacher, Niklaus","Aeschbacher, Niklaus",1917,,Switzerland,,opera.stanford,,"Aeschbacher, Niklaus"
"Afanasyev, Nikolay Yakovlevich","Afanas'yev, Nikolay Yakovlevich",1821,1898,Russia,,opera.stanford,,"Afanas'yev, Nikolay Yakovlevich"
"Agazzari, Agostino","Agazzari, Agostino",1578,1640,Italy,,opera.stanford,,"Agazzari, Agostino"
"Aggházy, Károly","Aggházy, Károly",1855,,Hungary,,opera.stanford,,"Aggházy, Károly"
"Agnelli, Salvatore","Agnelli [Agnello], Salvatore",1817,1874,Italy,,opera.stanford,,"Agnelli [Agnello], Salvatore"
"Agnesi, Maria Teresa","Agnesi, Maria Teresa",1720,1795,Italy,,opera.stanford,,"Agnesi, Maria Teresa"
"Agostini, Mezio","Agostini, Mezio",1875,1944,Italy,,opera.stanford,,"Agostini, Mezio"
"Agostini, Pietro Simone","Agostini [Augustini], Pietro Simone [Piersimone]",1635,1680,Italy,,opera.stanford,,"Agostini [Augustini], Pietro Simone [Piersimone]"
"Agricola, Johann Friedrich","Agricola, Johann Friedrich",1720,1774,Germany,,opera.stanford,,"Agricola, Johann Friedrich"
"Agricola, Johann Paul","Agricola, Johann Paul",1638,1697,Germany,,opera.stanford,,"Agricola, Johann Paul"
"Agthe, Carl Christian","Agthe, Carl Christian",1762,1797,Germany,,opera.stanford,,"Agthe, Carl Christian"
"Aguiar, ",Aguiar,1950,,Brazil,Male,operabase,Aguiar,
"Ahlefeldt, Maria Theresia","Ahlefeldt,",,,Germany,,opera.stanford,,"Ahlefeldt,"
"Ahlström, Jacob Niclas","Ahlström, Jacob Niclas",1805,1857,Sweden,,opera.stanford,,"Ahlström, Jacob Niclas"
"Ahlstrom, David","Ahlstrom, David",1927,,United States,,opera.stanford,,"Ahlstrom, David"
"Aho, Kalevi","Aho, Kalevi",1949,,Finland,,opera.stanford,,"Aho, Kalevi"
"Aiblinger, Johann Kaspar","Aiblinger, Johann Kaspar",1779,1867,Germany,,opera.stanford,,"Aiblinger, Johann Kaspar"
"Aimon, François","Aimon, (Pamphile Léopold) François",1779,1866,France,,opera.stanford,,"Aimon, (Pamphile Léopold) François"
"Aints, ",Aints,1975,,Estonia,Male,operabase,Aints,
"Aitken, Hugh","Aitken, Hugh",1924,,United States,,opera.stanford,,"Aitken, Hugh"
"Akbasli, ",Akbasli,1962,,Turkey,Male,operabase,Akbasli,
"Akhiyarova, ",Akhiyarova,1956,,Russia,Female,operabase,Akhiyarova,
"Akhundova, ",Akhundova,1924,2013,Azerbaijan,Female,operabase,Akhundova,
"Akimenko, Fyodor Stepanovich","Akimenko [Yakimenko], Fyodor Stepanovich",1876,1945,France,,opera.stanford,,"Akimenko [Yakimenko], Fyodor Stepanovich"
"Akses, Necil Kâzim","Akses, Necil Kâzim",1908,1999,Turkey,,opera.stanford,,"Akses, Necil Kâzim"
"Akutagawa, Yasushi","Akutagawa, Yasushi",1925,1989,Japan,,opera.stanford,,"Akutagawa, Yasushi"
"Akyol, ",Akyol,1977,,Turkey,Male,operabase,Akyol,
"Alagna, ",Alagna,1975,,France,Male,operabase,Alagna,
"Alaleona, Domenico","Alaleona, Domenico",1881,1928,Italy,,opera.stanford,,"Alaleona, Domenico"
"Alary, Jules Eugène Abraham","Alary, Jules [Giulio] Eugène Abraham",1814,1891,Italy,,opera.stanford,,"Alary, Jules [Giulio] Eugène Abraham"
"Albéniz y Basanta, Pedro","Albéniz y Basanta, Pedro",1795,1855,Spain,,opera.stanford,,"Albéniz y Basanta, Pedro"
"Albeniz, ",Albeniz,1860,1909,Spain,Male,operabase,Albeniz,"Albéniz, Isaac (Manuel Francisco"
"Albergati, Pirro","Albergati (Capacelli), Pirro",1663,1735,Italy,,opera.stanford,,"Albergati (Capacelli), Pirro"
"Albert, Karel","Albert, Karel",1901,1987,Belgium,,opera.stanford,,"Albert, Karel"
"Alberti, Domenico","Alberti, Domenico",1710,1740,Italy,,opera.stanford,,"Alberti, Domenico"
"Albertini, Joachim","Albertini, Joachim [Gioacchino]",1749,1812,Italy,,opera.stanford,,"Albertini, Joachim [Gioacchino]"
"Albertsen, Per","Albertsen, Per (Hjort)",1919,,Norway,,opera.stanford,,"Albertsen, Per (Hjort)"
"Albinoni, Tomaso Giovanni","Albinoni, Tomaso Giovanni [Zuane]",1671,1751,Italy,,opera.stanford,,"Albinoni, Tomaso Giovanni [Zuane]"
"Albrecht, George Alexander",Albrecht George Alexander,1935,,Germany,Male,operabase,Albrecht,
"Alday, François","Alday, François",,,France,,opera.stanford,,"Alday, François"
"Aldridge, ",Aldridge,1954,,United States,Male,operabase,Aldridge,
"Aldrovandini, Giuseppe","Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)",1671,1707,Italy,,opera.stanford,,"Aldrovandini [Aldovrandini, Aldrovandin, Aldrovandon, Altrobrandino], Giuseppe [Gioselfo] (Antonio Vincenzo)"
"Alenius, ",Alenius,1978,,Denmark,Female,operabase,Alenius,
"Alessandri, Felice","Alessandri, Felice",1747,1798,Italy,,opera.stanford,,"Alessandri, Felice"
"Alexandra, Liana","Alexandra, Liana",1947,,Romania,,opera.stanford,,"Alexandra, Liana"
"Alexandre, Charles-Guillaume","Alexandre [Alessandro], Charles-Guillaume",1735,1787,France,,opera.stanford,,"Alexandre [Alessandro], Charles-Guillaume"
"Alexandrov, Anatoly Nikolayevich","Alexandrov, Anatoly Nikolayevich",1888,1982,Russia,,opera.stanford,,"Alexandrov, Anatoly Nikolayevich"
"Alfano, Franco","Alfano, Franco",1875,1954,Italy,,opera.stanford,Alfano,"Alfano, Franco"
"Alferaki, Achilles","Alferaki, Achilles",1846,1919,Ukraine,,opera.stanford,,"Alferaki, Achilles"
"Alfiero, Giuseppe","Alfiero [Alfieri], Giuseppe",1630,1665,Italy,,opera.stanford,,"Alfiero [Alfieri], Giuseppe"
"Alfven, ",Alfven,1872,1960,Sweden,Male,operabase,Alfven,
"Alghisi, Paris Francesco","Alghisi [Algisi], Paris Francesco",1666,1733,Italy,,opera.stanford,,"Alghisi [Algisi], Paris Francesco"
"Ali-Zadeh, ",Ali-Zadeh,1947,,Azerbaijan,Female,operabase,Ali-Zadeh,
"Aliprandi, Bernardo","Aliprandi, Bernardo",1710,1792,Italy,,opera.stanford,,"Aliprandi, Bernardo"
"Allanbrook, Douglas","Allanbrook, Douglas",1921,,Mauritius,,opera.stanford,,"Allanbrook, Douglas"
"Allen, Paul Hastings","Allen, Paul Hastings",1883,1952,United States,,opera.stanford,,"Allen, Paul Hastings"
"Allende, Humberto","Allende(-Sarón), (Pedro) Humberto",1885,1959,Chile,,opera.stanford,,"Allende(-Sarón), (Pedro) Humberto"
"Allitsen, Frances","Allitsen [Bumpus], (Mary) Frances",1848,1912,United Kingdom,,opera.stanford,,"Allitsen [Bumpus], (Mary) Frances"
"Almeida, Francisco António de","Almeida, Francisco António de",1702,1755,Portugal,,opera.stanford,Almeida,"Almeida, Francisco António de"
"Alonso-Crespo, Eduardo","Alonso-Crespo, Eduardo",,,Argentina,,opera.stanford,,"Alonso-Crespo, Eduardo"
"Alonso, ",Alonso,1887,1948,Spain,Male,operabase,Alonso,
"Alpaerts, Flor","Alpaerts, Flor",1876,1954,Belgium,,opera.stanford,,"Alpaerts, Flor"
"Alsina, Carlos Roqué","Alsina, Carlos Roqué",1941,,Argentina,,opera.stanford,,"Alsina, Carlos Roqué"
"Altan, ",Altan,1985,,Turkey,Female,operabase,Altan,
"Altieri, ",Altieri,1745,1820,Italy,Male,operabase,Altieri,
"Alveri, Giovanni Battista","Alveri, Giovanni Battista",1660,1719,Italy,,opera.stanford,,"Alveri, Giovanni Battista"
"Alyabyev, Alexander Nilolaievich","Alyabyev [Aliabiyev], Alexander Nilolaievich",1787,1851,Russia,,opera.stanford,,"Alyabyev [Aliabiyev], Alexander Nilolaievich"
"Amadei, Filippo","Amadei [Mattei], Filippo",,,Italy,,opera.stanford,,"Amadei [Mattei], Filippo"
"Amalia Friederike,","Amalia Friederike,",,,Germany,,opera.stanford,,"Amalia Friederike,"
"Amato, Vincenzo","Amato [D'Amato. De Amato, Di Amato], Vincenzo",1629,1670,Italy,,opera.stanford,,"Amato [D'Amato. De Amato, Di Amato], Vincenzo"
"Ambros, Vladimir","Ambros, Vladimir",1890,1956,Czechia,,opera.stanford,,"Ambros, Vladimir"
"Amellér, André","Amellér, André (Charles Gabriel)",1912,1990,France,,opera.stanford,,"Amellér, André (Charles Gabriel)"
"Amendola, Giuseppe","Amendola, Giuseppe",1750,1808,Italy,,opera.stanford,,"Amendola, Giuseppe"
"Amirov, Fikret","Amirov, Fikret (Meshadi Dzhamil')",1922,1984,Azerbaijan,,opera.stanford,Amirov,"Amirov, Fikret (Meshadi Dzhamil')"
"Amodei, Cataldo","Amodei, Cataldo",1650,1695,Italy,,opera.stanford,,"Amodei, Cataldo"
"Amon, Johannes Andreas","Amon, Johannes Andreas",1763,1825,Germany,,opera.stanford,,"Amon, Johannes Andreas"
"Amram, David","Amram, David (Werner, III)",1930,,United States,,opera.stanford,,"Amram, David (Werner, III)"
"Anderberg, Carl-Olof","Anderberg, Carl-Olof",1914,1972,Sweden,,opera.stanford,,"Anderberg, Carl-Olof"
"Anders, Hendrik","Anders, Hendrik",1657,1714,Germany,,opera.stanford,,"Anders, Hendrik"
"Anderson, Beth","Anderson, Beth",1950,,United States,,opera.stanford,Anderson,"Anderson, Beth"
"Anderson, T J","Anderson, T(homas) J(efferson, Jr.)",1928,,United States,,opera.stanford,,"Anderson, T(homas) J(efferson, Jr.)"
"AnderssonBT, ",AnderssonBT,1964,,Sweden,Male,operabase,AnderssonBT,
"André, Johann {Jean","André, Johann {Jean]",1741,1799,Germany,,opera.stanford,,"André, Johann {Jean]"
"André, Johann Anton","André, Johann Anton",1775,1842,Germany,,opera.stanford,,"André, Johann Anton"
"Andrée, Elfrida","Andrée, Elfrida",1841,1929,Sweden,,opera.stanford,,"Andrée, Elfrida"
"Andrasovan, Tibor","Andrasovan, Tibor",1917,,Slovakia,,opera.stanford,,"Andrasovan, Tibor"
"Andreae, Volkmar","Andreae, Volkmar",1879,1962,Switzerland,,opera.stanford,,"Andreae, Volkmar"
"AndreM, ",AndreM,1964,,France,Male,operabase,AndreM,
"Andreozzi, Gaetano","Andreozzi, Gaetano",1755,1826,Italy,,opera.stanford,,"Andreozzi, Gaetano"
"Andries, Jean","Andries, Jean",1798,1872,Belgium,,opera.stanford,,"Andries, Jean"
"Andriessen, Hendrik","Andriessen, Hendrik",1892,1981,Netherlands,,opera.stanford,,"Andriessen, Hendrik"
"Andriessen, Jurriaan","Andriessen, Jurriaan",1925,,Netherlands,,opera.stanford,,"Andriessen, Jurriaan"
"Andriessen, Louis Hendrik",Andriessen Louis Hendrik,1939,,Netherlands,Male,operabase,Andriessen,
"Androsch, ",Androsch,1963,,Austria,Male,operabase,Androsch,
"Anfossi, Pasquale","Anfossi, Pasquale",1727,1797,Italy,,opera.stanford,,"Anfossi, Pasquale"
"Angelo, Gioacchino","Angelo, Gioacchino",1899,1971,Italy,,opera.stanford,,"Angelo, Gioacchino"
"Angeloni, Carlo","Angeloni, Carlo",1834,1901,Italy,,opera.stanford,,"Angeloni, Carlo"
"Angerer, Paul","Angerer, Paul",1927,,Austria,,opera.stanford,,"Angerer, Paul"
"Angermann, ",Angermann,1953,,Germany,Male,operabase,Angermann,
"Anna Amalia,","Anna Amalia [Amalie],",1739,1807,Germany,,opera.stanford,,"Anna Amalia [Amalie],"
"Antheil, George","Antheil, George [Georg] (Johann Carl)",1900,1959,United States,,opera.stanford,Antheil,"Antheil, George [Georg] (Johann Carl)"
"Antill, John","Antill, John (Henry)",1904,1986,Australia,,opera.stanford,,"Antill, John (Henry)"
"Antoine, Ferdinand d","Antoine [Anthoin], Ferdinand d'",,,Germany,,opera.stanford,,"Antoine [Anthoin], Ferdinand d'"
Anton,Anton (Clemens Theodor),1755,1836,Germany,,opera.stanford,,Anton (Clemens Theodor)
"Antoni, Antonio d","Antoni, Antonio d'",1801,1859,Italy,,opera.stanford,,"Antoni, Antonio d'"
"Antunes, Jorge","Antunes, Jorge",1942,,Brazil,,opera.stanford,Antunes,"Antunes, Jorge"
"Apell, David August von","Apell [Capelli], David August von",1754,1832,Germany,,opera.stanford,,"Apell [Capelli], David August von"
"Aperghis, Georges","Aperghis, Georges",1945,,Greece,,opera.stanford,Aperghis,"Aperghis, Georges"
"ApIvor, Denis","ApIvor, Denis",1916,2004,Ireland,,opera.stanford,,"ApIvor, Denis"
"Apolloni, Salvatore","Apolloni [Appoloni, Appolini], Salvatore [Salvadore]",1704,,Italy,,opera.stanford,,"Apolloni [Appoloni, Appolini], Salvatore [Salvadore]"
"Aprikian, Garbis",Aprikian Garbis,1926,,Armenia,Male,operabase,Aprikian,
"Arámbarri, Jesús","Arámbarri (y Gárate), Jesús",1902,1960,Spain,,opera.stanford,,"Arámbarri (y Gárate), Jesús"
"Araia, Francesco","Araia [Araja], Francesco",1709,1770,Italy,,opera.stanford,,"Araia [Araja], Francesco"
"Arakishvili, Dimitri","Arakishvili, Dimitri (Ignat'yevich)",1873,1953,Russia,,opera.stanford,,"Arakishvili, Dimitri (Ignat'yevich)"
"Aranaz y Vides, Pedro","Aranaz y Vides, Pedro",1740,,Spain,,opera.stanford,,"Aranaz y Vides, Pedro"
"Arapov, Boris","Arapov, Boris (Alexandrovich)",1905,1992,Russia,,opera.stanford,,"Arapov, Boris (Alexandrovich)"
"Arbós, Enrique Fernández","Arbós, Enrique Fernández",1863,1939,Spain,,opera.stanford,,"Arbós, Enrique Fernández"
Archer,Archer[,,,France,,opera.stanford,,Archer[
"Arditi, Luigi","Arditi, Luigi",1822,1903,Italy,,opera.stanford,,"Arditi, Luigi"
"Arena, Giuseppe","Arena, Giuseppe",1707,1784,Malta,,opera.stanford,,"Arena, Giuseppe"
"Arensky, Anton","Arensky, Anton (Stepanovich)",1861,1906,Russia,,opera.stanford,,"Arensky, Anton (Stepanovich)"
"Argento, Dominick Dominick",Argento Dominick Dominick,1927,,United States,Male,operabase,Argento,"Argento, Dominick"
"Ariosti, Attilio","Ariosti, Attilio (Malachia [Clemente]) [Frate Ottavio]",1666,1729,Italy,,opera.stanford,,"Ariosti, Attilio (Malachia [Clemente]) [Frate Ottavio]"
"Arizaga, Rodolfo","Arizaga, Rodolfo",1926,1985,Argentina,,opera.stanford,,"Arizaga, Rodolfo"
"Arkas, Nikolai","Arkas, Nikolai",1853,1909,Ukraine,,opera.stanford,Arkas,"Arkas, Nikolai"
"Armstrong, ",Armstrong,1959,,United Kingdom,Male,operabase,Armstrong,
"Arne, Michael","Arne, Michael",1740,1786,United Kingdom,,opera.stanford,Arne,"Arne, Michael"
"Arne, Thomas Augustine","Arne, Thomas Augustine",1710,1778,United Kingdom,,opera.stanford,,"Arne, Thomas Augustine"
"Arnecke, ",Arnecke,1973,,Germany,Male,operabase,Arnecke,
"Arnell, Richard","Arnell, Richard (Anthony Sayer)",1917,,United Kingdom,,opera.stanford,,"Arnell, Richard (Anthony Sayer)"
"Arnold,","Arnold,",,,United Kingdom,,opera.stanford,,"Arnold,"
"Arnold, György","Arnold, György",1781,1848,Hungary,,opera.stanford,Arnold,"Arnold, György"
"Arnold, Maurice","Arnold [Strothotte], Maurice",1865,1937,United States,,opera.stanford,,"Arnold [Strothotte], Maurice"
"Arnold, Samuel","Arnold, Samuel",1740,1802,United Kingdom,,opera.stanford,,"Arnold, Samuel"
"Arnold, Yuri","Arnold, Yuri (Karlovich) [Jurig von]",1811,1898,Russia,,opera.stanford,,"Arnold, Yuri (Karlovich) [Jurig von]"
"Aroca y Ortega, Jesús","Aroca y Ortega, Jesús",1877,1935,Spain,,opera.stanford,,"Aroca y Ortega, Jesús"
"Arregui Garay, Vicente","Arregui Garay, Vicente",1871,1925,Spain,,opera.stanford,,"Arregui Garay, Vicente"
"Arresti, Floriano","Arresti [Aresti], Floriano",1660,1719,Italy,,opera.stanford,,"Arresti [Aresti], Floriano"
"Arriaga, ",Arriaga,1806,1826,Spain,Male,operabase,Arriaga,"Arriaga (y Balzola), Juan Crisóstomo (Jacobo Antonio de)"
"Arrieta y Corera, Pascual Juan Emilio","Arrieta y Corera,",1821,1894,Spain,,opera.stanford,,"Arrieta y Corera,"
"Arrieta, ",Arrieta,1823,1894,Spain,Male,operabase,Arrieta,
"Arrieu, Claude","Arrieu, Claude",1903,1990,France,,opera.stanford,,"Arrieu, Claude"
"Arrigo, Girolamo","Arrigo, Girolamo",1930,,Italy,,opera.stanford,,"Arrigo, Girolamo"
"Arrigoni, Carlo","Arrigoni, Carlo",1697,1744,Italy,,opera.stanford,,"Arrigoni, Carlo"
"Arroyo, João Marcellino","Arroyo [Arroio], João Marcellino",1861,1930,Portugal,,opera.stanford,,"Arroyo [Arroio], João Marcellino"
"Arundell, Dennis","Arundell [Arundel], Dennis (Drew)",1898,1988,United Kingdom,,opera.stanford,,"Arundell [Arundel], Dennis (Drew)"
"Arutiunian, ",Arutiunian,1920,2012,Armenia,Male,operabase,Arutiunian,"Arutiunian [Harut'unyan], Alexander Grigori"
"Asaf'yev, ",Asaf'yev,1884,1949,Russia,Male,operabase,Asaf'yev,"Asafiev [Glebov, Igor], Boris (Vladimirovich)"
"Aschaffenburg, Walter","Aschaffenburg, Walter (Eugene)",1927,,Germany,,opera.stanford,,"Aschaffenburg, Walter (Eugene)"
"Ascher, Leo","Ascher, Leo",1880,1942,Austria,,opera.stanford,,"Ascher, Leo"
"Ascone, Vicente","Ascone, Vicente",1897,1979,Italy,,opera.stanford,,"Ascone, Vicente"
"Ashley, Robert","Ashley, Robert (Reynolds)",1940,2014,United States,,opera.stanford,Ashley,"Ashley, Robert (Reynolds)"
"Ashrafi, Mukhtar","Ashrafi, Mukhtar",1912,1975,Uzbekistan,,opera.stanford,,"Ashrafi, Mukhtar"
"Asioli, Bonifazio","Asioli, Bonifazio [Bonifacio]",1769,1832,Italy,,opera.stanford,,"Asioli, Bonifazio [Bonifacio]"
"Aslund, Viktor",Aslund Viktor,,,Sweden,Male,operabase,Aslund,
"Aspa, Mario","Aspa, Mario",1799,1868,Italy,,opera.stanford,,"Aspa, Mario"
"Aspestrand, Sigwart","Aspestrand, Sigwart",1856,1941,Norway,,opera.stanford,,"Aspestrand, Sigwart"
"Asplmayr, Franz","Asplmayr [Aspelmayr, Aspelmeier, Asplmyer, Aschpellmayr, Appelmeyer], Franz",1728,1786,Austria,,opera.stanford,,"Asplmayr [Aspelmayr, Aspelmeier, Asplmyer, Aschpellmayr, Appelmeyer], Franz"
"Astarita, Gennaro","Astarita [Astaritta], Gennaro",1745,1803,Italy,,opera.stanford,,"Astarita [Astaritta], Gennaro"
"Aston, Peter","Aston, Peter (George)",1938,,United Kingdom,,opera.stanford,,"Aston, Peter (George)"
"Atanasov, ",Atanasov,1882,1931,Bulgaria,Male,operabase,Atanasov,"Atanasov [Athanassov], Georgi"
"Atterberg, Kurt","Atterberg, Kurt (Magnus)",1887,1974,Sweden,,opera.stanford,Atterberg,"Atterberg, Kurt (Magnus)"
"Attwood, Thomas","Attwood, Thomas",1765,1838,United Kingdom,,opera.stanford,,"Attwood, Thomas"
"Aubéry du Boulley, Prudent-Louis","Aubéry du Boulley, Prudent-Louis",1796,1869,France,,opera.stanford,,"Aubéry du Boulley, Prudent-Louis"
"Auber, Daniel François Esprit","Auber, Daniel François Esprit",1782,1871,France,,opera.stanford,Auber,"Auber, Daniel François Esprit"
"Aubert, Jacques","Aubert, Jacques",,,France,,opera.stanford,,"Aubert, Jacques"
"Aubert, Louis-François-Marie","Aubert, Louis-François-Marie",1877,1968,France,,opera.stanford,,"Aubert, Louis-François-Marie"
"Aubin, Tony","Aubin, Tony (Louis Alexandre)",1907,1981,France,,opera.stanford,,"Aubin, Tony (Louis Alexandre)"
"Audinot, Nicolas-Médard","Audinot, Nicolas-Médard",1732,1801,France,,opera.stanford,,"Audinot, Nicolas-Médard"
"Audran, Edmond","Audran, Edmond",1840,1901,France,,opera.stanford,Audran,"Audran, Edmond"
"Auer, Leopold",Auer Leopold,1845,1930,Germany,Male,operabase,Auer,
"Auerbach, ",Auerbach,1973,,Russia,Female,operabase,Auerbach,
"Augst, ",Augst,1962,,Germany,Male,operabase,Augst,
"Aulí, Juan","Aulí, Juan",1797,1869,Spain,,opera.stanford,,"Aulí, Juan"
"Auletta, Pietro","Auletta, Pietro",1698,1771,Italy,,opera.stanford,,"Auletta, Pietro"
"Aumann, Franz Josef","Aumann [Aumonn, Aumon, Auman], Franz Josef [Franz-Seraph, Johann, Leopold]",1728,1797,Austria,,opera.stanford,,"Aumann [Aumonn, Aumon, Auman], Franz Josef [Franz-Seraph, Johann, Leopold]"
"Auric, Georges","Auric, Georges ",1899,1983,France,,opera.stanford,,"Auric, Georges "
"Aurisicchio, Antonio","Aurisicchio [Eurisicchio, Eurisecchio, Orisecchio], Antonio",1710,1781,Italy,,opera.stanford,,"Aurisicchio [Eurisicchio, Eurisecchio, Orisecchio], Antonio"
"Austin, Frederic","Austin, Frederic",1872,1952,United Kingdom,,opera.stanford,,"Austin, Frederic"
"Auteri Manzocchi, Salvatore","Auteri Manzocchi, Salvatore",1845,1924,Italy,,opera.stanford,,"Auteri Manzocchi, Salvatore"
"Auzet, ",Auzet,1964,,France,Male,operabase,Auzet,
"Averkamp, Anton","Averkamp, Anton",1861,1934,Netherlands,,opera.stanford,,"Averkamp, Anton"
"Avidom, Menahem","Avidom [Mahler-Kalkstein], Menahem",1908,1995,Ukraine,,opera.stanford,,"Avidom [Mahler-Kalkstein], Menahem"
"Avondano, Pedro Pietro Antonio","Avondano, Pedro [Pietro[ Antonio",1714,1782,Portugal,,opera.stanford,,"Avondano, Pedro [Pietro[ Antonio"
