clean_name,other_names,year_of_birth,year_of_death,place_of_birth,gender,source,operabase_name,stanford_name
"Karoussos, Panayoti","Karoussos, Panayoti",1967,,Greece,,opera.stanford,,"Karoussos, Panayoti"
"Karrer, Paul","Karrer [Karreres], Paul [Paulos]",1829,1896,Greece,,opera.stanford,,"Karrer [Karreres], Paul [Paulos]"
"Kartsev, Alexander","Kartsev, Alexander",1883,1953,Russia,,opera.stanford,,"Kartsev, Alexander"
"Karyotakis, Theodore","Karyotakis, Theodore",1903,1978,Greece,,opera.stanford,,"Karyotakis, Theodore"
"Kashin, Daniil Nikitich","Kashin, Daniil Nikitich",1769,1841,Russia,,opera.stanford,,"Kashin, Daniil Nikitich"
"Kashperov, Vladimir","Kashperov, Vladimir (Nikitich)",1826,1894,Russia,,opera.stanford,,"Kashperov, Vladimir (Nikitich)"
"Kasianov, Alexander","Kasianov, Alexander",1891,1982,Russia,,opera.stanford,,"Kasianov, Alexander"
"Kaskel, Karl von","Kaskel, Karl von",1866,1943,Germany,,opera.stanford,,"Kaskel, Karl von"
"Kaslik, V√°clav","Kaslik, V√°clav",1917,1989,Czechia,,opera.stanford,Kaslik,"Kaslik, V√°clav"
"Kassel, André",Kassel André,1963,,Germany,Male,operabase,Kassel,
"Kassern, Tadeusz","Kassern, Tadeusz (Zygfrid)",1904,1957,Ukraine,,opera.stanford,Kassern,"Kassern, Tadeusz (Zygfrid)"
"Kastalski, Alexander","Kastalski, Alexander (Dimitrievich)",1856,1926,Russia,,opera.stanford,,"Kastalski, Alexander (Dimitrievich)"
"Kastle, Leonard","Kastle, Leonard (Gregory)",,,United States,,opera.stanford,,"Kastle, Leonard (Gregory)"
"Kastner, Jean-Georges","Kastner, Jean-Georges [Johann Georg]",1810,1867,France,,opera.stanford,,"Kastner, Jean-Georges [Johann Georg]"
"Kats-Chernin, ",Kats-Chernin,1957,,Uzbekistan,Female,operabase,Kats-Chernin,
"Katski, Antoni","Katski [de Kontski], Antoni [Antoine]",1817,1899,Poland,,opera.stanford,,"Katski [de Kontski], Antoni [Antoine]"
"Kattnigg, Rudolf","Kattnigg, Rudolf",1895,1955,Austria,,opera.stanford,,"Kattnigg, Rudolf"
"Katzer, Georg","Katzer, Georg",1935,,Germany,,opera.stanford,,"Katzer, Georg"
"Kauer, Ferdinand","Kauer, Ferdinand",1751,1831,Austria,,opera.stanford,,"Kauer, Ferdinand"
"Kauffmann, Fritz","Kauffmann, Fritz",1855,1934,Germany,,opera.stanford,,"Kauffmann, Fritz"
