,composer,composer_info,work
0,"Aav, Evald"," (7.3.1900 Reval - 21.3.1939 Tallinn)
  ",Vikerlased
1,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Isabella Spinola
2,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Maria di Warden
3,"Abbà Cornaglia, Pietro"," (20.3.1851 Alessandria - 2.5.1894 Alessandria)
  ",Una partita a scacchi
4,"Abbadia, Natale"," (11.3.1792 Genova - 25.12.1861 Milano)
  ",Giannina di Pontieu
5,"Abbadia, Natale"," (11.3.1792 Genova - 25.12.1861 Milano)
  ",L'imbroglione ed il castigamatti
6,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ",Dal male il bene
7,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ",Ione
8,"Abbatini, Antonio Maria"," (c.1597 Tiferno [Città di Castello], Umbria - c.1679 Tiferno)
  ","La comica del cielo,"
9,"Abeille, (Johann Christian) Ludwig"," (20.2.1761 Bayreuth - 2.3.1838 Stuttgart)
  ",Amor und Psyche
10,"Abeille, (Johann Christian) Ludwig"," (20.2.1761 Bayreuth - 2.3.1838 Stuttgart)
  ",Peter und Ännchen
11,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Anna von Landskron
12,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",König Enzio
13,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Astorga
14,"Abert, Johann Joseph"," (20.9.1832 Kochowitz - 1.4.1915 Stuttgart)
  ",Ekkehard
15,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Le due zingare simili
16,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Il geloso
17,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Le furbiere di Spilletto
18,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",La serva padrona
19,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",La moglie gelosa
20,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Ifigenia in Aulide
21,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Artaserse
22,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Pelopida
23,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Alessandro nelle Indie
24,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Arianna e Teseo
25,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Adriano in Siria
26,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Tito Manlio
27,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Erifile
28,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Lucio Vero
29,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Medo
30,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Andromeda
31,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Ezio
32,"Abos [Abosso, Avos, Avosso], Girolamo [Geronimo]"," (16.11.1715 Valetta - 10.1760 Napoli)
  ",Demofoonte
33,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Viktoria und ihr Husar
34,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Die Blume von Hawaii
35,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Ball im Savoy
36,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Märchen im Grand-Hotel
37,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Dschainah
38,"Abraham [Ábráham], Paul [Pál]"," (2.11.1892 Apatin - 9.5.1960 Hamburg)
  ",Roxy und ihr Wunderteam
39,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",A ködkirály
40,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Monna Vanna
41,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Paolo és Francesca
42,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Don Quijote
43,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Ave Maria: Májusi intermezzo
44,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",A vak katona
45,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Ay éneklö dervis
46,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Liliomos herceg
47,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Bizánc
48,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Éva boszorkány
49,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",Balatoni rege
50,"Ábrányi, Emil"," (22.9.1882 Budapest - 11.2.1970 Budapest)
  ",A Tamás-templom karnagya
51,"Absil, Jean"," (23.10.1893 Bonsecours, Hainaut - 2.2.1974 Uccle, Bruxelles)
  ",Les voix de la mer
52,"Abt, Franz (Wilhelm)"," (22.12.1819 Eilenburg - 31.3.1885 Wiesbaden)
  ",Des Königs Scharfschütz
53,"Abt, Franz (Wilhelm)"," (22.12.1819 Eilenburg - 31.3.1885 Wiesbaden)
  ",Die Hauptprobe
54,"Abt, Franz (Wilhelm)"," (22.12.1819 Eilenburg - 31.3.1885 Wiesbaden)
  ",Reisebekanntschaften
55,"Acciaiuoli, Filippo"," (1637 Roma - 8.2.1700 Roma)
  ",Chi è cagion del suo mal pianga se stesso
56,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Le scaltre contadine di Montegelato
57,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Le contadine astute
58,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",L'amante nel sacco
59,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Le finte zingarelle
60,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Nitteti
61,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Il finto cavaliere
62,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",L'amor artigiano
63,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Le virtuose bizzarre
64,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Il marchese di Castelverde
65,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ","Il podestà di Tufo antico,"
66,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ","Lo schiavo fortunato,"
67,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Il regno delle Amazzoni
68,"Accorimboni [Accoramboni, Accorimbeni, Accorrimboni], Agostino"," (28.8.1739 Roma - 13.8.1818 Roma)
  ",Il governatore delle Isole Canarie
69,"Aceves y Lozano, Rafael"," (20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)
  ",El puñal de misericordia
70,"Aceves y Lozano, Rafael"," (20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)
  ",Sensitiva
71,"Aceves y Lozano, Rafael"," (20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)
  ",El testamento azul
72,"Aceves y Lozano, Rafael"," (20.3.1837 La Granja de San Ildefonso, Segovia - 21.2.1876 Madrid)
  ",El trono de Escocia
73,"Acton, Carlo [Charles]"," (25.8.1829 Napoli - 2.2.1909 Portici)
  ",Una cena in convitto
74,"Adalid y Gurréa, Marcial del"," (24.8.1826 La Coruña - 16.10.1881 Lóngora, c. La Coruña)
  ",Inese e Bianca
75,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Le Mal du pays,"
76,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Pierre et Catherine
77,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Danilowa
78,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Trois jours en une heure
79,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Joséphine,"
80,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Morceau d'ensemble
81,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Le Grand prix,"
82,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Casimir,"
83,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",His First Campaign
84,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",The Dark Diamond
85,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Le Proscrit,"
86,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Une Bonne fortune
87,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Châlet
88,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",La Marquise
89,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Micheline,"
90,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Postillon de Lonjumeau
91,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Fidèle berger
92,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Brasseur de Preston
93,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Régine,"
94,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",La Reine d'un jour
95,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Brasseur de Preston
96,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",La Rose de Péronne
97,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","La Main de fer,"
98,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Roi d'Yvetot
99,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Lambert Simnel
100,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Cagliostro
101,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Richard en Palestine
102,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",La Bouquetière
103,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Les Premiers pas
104,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Le Toréador,"
105,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Fanal
106,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Giralda,"
107,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",La Poupée de Nuremberg
108,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Farfalet
109,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Si j'étais roi
110,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ","Le Sourd,"
111,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Roi des halles
112,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Bijou perdu
113,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Muletier de Tolède
114,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",À Clichy
115,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Le Houzard de Berchini
116,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Falstaff
117,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Mam'zelle Geneviève
118,"Adam, Adolphe(-Charles)"," (24.7.1803 Paris - 3.5.1856 Paris)
  ",Les Pantins de Violette
119,"Ádám, Jenö"," (12.12.1896 Szigetszentmiklós - 15.5.1982 Budapest)
  ",Magyar karácsony
120,"Ádám, Jenö"," (12.12.1896 Szigetszentmiklós - 15.5.1982 Budapest)
  ",Mária Veronika
121,"Adamo, Mark"," (1962 Philadelphia)
  ",Little Women
122,"Adamo, Mark"," (1962 Philadelphia)
  ","Lysistrata,"
123,"Adams, John (Coolidge)"," (15.2.1947 Worcester, Mass.)
  ",Nixon in China
124,"Adams, John (Coolidge)"," (15.2.1947 Worcester, Mass.)
  ",The Death of Klinghoffer
125,"Adams, John (Coolidge)"," (15.2.1947 Worcester, Mass.)
  ",I Was Looking at the Ceiling and Then I Saw the Sky
126,"Adams, John (Coolidge)"," (15.2.1947 Worcester, Mass.)
  ",Doctor Atomic
127,"Adams, (Harrison) Leslie","
  ",Blake
128,"Adaskin, Murray"," (28.3.1906 Toronto - 6.5.2002 Victoria)
  ","Grant, Warden of the Plains"
129,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ","False Alarms,"
130,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ","The Russian Imposter,"
131,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ",My Aunt
132,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ","Bobinet the Bandit,"
133,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ",Free and Easy
134,"Addison, John"," (c.1766 London - 30.1.1844 London)
  ",My Uncle
135,"Adelburg, August"," Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)
  ",Zrinyi
136,"Adelburg, August"," Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)
  ",Martinuzzi
137,"Adelburg, August"," Ritter von (1.11.1830 Pera, Turkey - 20.10.1873 Wien)
  ",Wallenstein
138,"Adler, Samuel (Hans)"," (4.3.1928 Mannheim)
  ",The Outcasts of Poker Flat
139,"Adler, Samuel (Hans)"," (4.3.1928 Mannheim)
  ",The Wrestler
140,"Adler, Samuel (Hans)"," (4.3.1928 Mannheim)
  ",The Lodge of Shadows
141,"Adler, Samuel (Hans)"," (4.3.1928 Mannheim)
  ",The Disappointment
142,"Adlgasser, Anton Cajetan"," (1.10.1729 Inzell, Oberbayern - 22.12.1777 Salzburg)
  ",La Nitteti
143,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Artaserse
144,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",La pace fra la virtù e la bellezza
145,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Didone abbandonata
146,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Arianna
147,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Adriano in Siria
148,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",La gloria e il piacere
149,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Vologeso
150,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Ipermestra
151,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",La clemenza di Tito
152,"Adolfati, Andrea"," (1721-22 Venezia - 28.10.1760 Padova)
  ",Sesostri re d'Egitto
153,"Adomián, Lan"," (29.4.1905 c. Mogilev - 9.5.1979 México)
  ",La Macherata
154,"Adrien, Ferdinand"," (c.1770 ? - c.1830 ?)
  ",Le Fou
155,"Adrien, J."," (c.1768 ? - c.1824 ?)
  ",Le Fou
156,"Aeschbacher, Niklaus"," (30.4.1917 Trogen, Appenzell)
  ",Die roten Schuhe
157,"Afanas'yev, Nikolay Yakovlevich"," (12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg)
  ",Ammalet-bek
158,"Afanas'yev, Nikolay Yakovlevich"," (12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg)
  ",Kuznets Vakula
159,"Afanas'yev, Nikolay Yakovlevich"," (12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg)
  ",Taras Bul'ba
160,"Afanas'yev, Nikolay Yakovlevich"," (12.1.1821 Tobol'sk - 3.6.1898 St. Peterburg)
  ",Sten'ka Razin
161,"Agazzari, Agostino"," (2.12.1578 Siena - 10.4.1640 Siena)
  ",Eumelio
162,"Agnelli [Agnello], Salvatore"," (1817 Palermo - 1874 Marseilles)
  ",I due pedanti
163,"Agnelli [Agnello], Salvatore"," (1817 Palermo - 1874 Marseilles)
  ",La jacquerie
164,"Agnelli [Agnello], Salvatore"," (1817 Palermo - 1874 Marseilles)
  ",Léonore de Médicis
165,"Agnelli [Agnello], Salvatore"," (1817 Palermo - 1874 Marseilles)
  ",Cromwell
166,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Il ristoro d'Arcadia
167,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Ciro in Armenia
168,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Sofonisba
169,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Insubria consolata
170,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Nitocri
171,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Ulisse in Campania
172,"Agnesi, Maria Teresa"," (17.10.1720 Milano - 19.1.1795 Milano)
  ",Il re pastore
173,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",Iovo e Maria
174,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",Il Cavaliere del Sogno
175,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",La penna d'Airone
176,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",Alcibiade
177,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",America
178,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",L'ombra
179,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",L'agnello del sogno
180,"Agostini, Mezio"," (12.8.1875 Fano - 22.4.1944 Fano)
  ",La figlia del navarco
181,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",Il Tolomeo
182,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",La regina Floridea
183,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ","Ippolita, reina delle Amazoni"
184,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",Eliogabolo
185,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",La costanza di Rosmonda
186,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ","Gl'inganni innocente,"
187,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",Gl'inganni innocente
188,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",Gl'inganni innocente
189,"Agostini [Augustini], Pietro Simone [Piersimone]"," (c.1635 Forli - 1.10.1680 Parma)
  ",Il ratto delle Sabine
190,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Il filosofo convinto in amore
191,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",La ricamatrice divenuta dama
192,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Cleofide
193,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",La nobiltà delusa
194,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Il tempio d'amore
195,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Achille in Sciro
196,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Amor e Psiche
197,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Il re pastore
198,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",Oreste e Pilade
199,"Agricola, Johann Friedrich"," (4.1.1720 Dobitzschen, Saxe-Altenburg - 2.12.1774 Berlin)
  ",I greci in Tauride
200,"Agricola, Johann Paul"," (1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)
  ",Streit der Schönheit und der Tugend
201,"Agricola, Johann Paul"," (1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)
  ","Die beneidete, jedoch nicht beleidigte Liebe, abgebildet in einem poetischen Sinngedichte von dem Schäfer Damon und der Nymphe Melisse"
202,"Agricola, Johann Paul"," (1638/9 Hilpoltstein, c. Nürnberg - *3.5.1697 Neuburg an der Donau)
  ","Die gesuchte, verlorene, und endlich wiedergefundene Freiheit in der Begebnis zweier Sicilianischer Princessinnen Salibene und Rosimene"
203,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Martin Velten
204,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Aconcius und Cydippe
205,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Das Milchmädchen
206,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Erwin und Elmire
207,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Der Spiegelritter
208,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Philemon und Baucis
209,"Agthe, Carl Christian"," (16.6.1762 Hettstedt - 27.11.1797 Ballenstedt)
  ",Die weissen Inseln
210,"Ahlefeldt,"," (28.2.1755 Regensburg - 4.11.1823 Praha)
  ",Telemak på Calypsos
211,"Ahlefeldt,"," (28.2.1755 Regensburg - 4.11.1823 Praha)
  ","La Folie,"
212,"Ahlstrom, David"," (22.2.1927 Lancaster, NY)
  ",3 Sisters Who Are Not Sisters
213,"Ahlstrom, David"," (22.2.1927 Lancaster, NY)
  ",Doctor Faustus Lights the Lights
214,"Ahlstrom, David"," (22.2.1927 Lancaster, NY)
  ","America, I Love You"
215,"Ahlström, Jacob Niclas"," (5.6.1805 Visby - 4.5.1857 Stockholm)
  ",Alfred den store
216,"Ahlström, Jacob Niclas"," (5.6.1805 Visby - 4.5.1857 Stockholm)
  ",Abu Hassan
217,"Åhlström, Olof"," (14.8.1756 Åletorp, Värdinge - 11.8.1835 Stockholm)
  ",Frigga
218,"Aho, Kalevi"," (9.3.1949 Forssa, Suomi)
  ",Hyönteiselämaä
219,"Aiblinger, Johann Kaspar"," (23.2.1779 Wasserburg, Bayern - 6.5.1867 München)
  ",La burla fortunata
220,"Aiblinger, Johann Kaspar"," (23.2.1779 Wasserburg, Bayern - 6.5.1867 München)
  ",Rodrigo und Chimene
221,"Aimon, (Pamphile Léopold) François"," (4.10.1779 L'Isle, c. Avignon - 2.2.1866 Paris)
  ",Les Jeux floraux
222,"Aitken, Hugh"," (7.9.1924 New York)
  ",Fables
223,"Aitken, Hugh"," (7.9.1924 New York)
  ",Felipe
224,"Åkerberg, (Carl) Erik (Emanuel)"," (19.1.1860 Stockholm - 20.1.1938 Stockholm)
  ",Turandot
225,"Åkerberg, (Carl) Erik (Emanuel)"," (19.1.1860 Stockholm - 20.1.1938 Stockholm)
  ",Pinntorpafrun
226,"Akimenko [Yakimenko], Fyodor Stepanovich"," (20.2.1876 Khar'kov - 3.1.1945 Paris)
  ",Feya snegov
227,"Akses, Necil Kâzim"," (6.5.1908 Constantinople - 16.2.1999 Istanbul)
  ",Mete
228,"Akses, Necil Kâzim"," (6.5.1908 Constantinople - 16.2.1999 Istanbul)
  ",Bayönder
229,"Akutagawa, Yasushi"," (12.7.1925 Tokyo - 31.1.1989 Tokyo)
  ",Kurai kagami
230,"Akutagawa, Yasushi"," (12.7.1925 Tokyo - 31.1.1989 Tokyo)
  ",Hiroshima na Orfe
231,"Alaleona, Domenico"," (16.11.1881 Montegiorgio, Ascoli Piceno - 28.12.1928 Montegiorgio)
  ",Mirra
