,work,date
186,La Juive,1885-01-16
187,Tannhäuser,1885-01-17
188,Lohengrin,1885-01-19
189,La Juive,1885-01-21
190,Le Prophète,1885-01-23
191,La Juive,1885-01-24
192,Grand Concert,1885-01-25
193,La Juive,1885-01-26
194,Le Prophète,1885-01-28
195,Die Walküre,1885-01-30
196,Die Walküre,1885-01-31
197,Die Walküre,1885-02-02
198,Die Walküre,1885-02-04
199,Le Prophète,1885-02-06
200,Die Walküre,1885-02-07
201,Lohengrin,1885-02-09
202,Tannhäuser,1885-02-11
203,Die Walküre,1885-02-12
204,Le Prophète,1885-02-14
205,Grand Final Benefit Concert,1885-02-15
206,Leopold Damrosch Funeral Service,1885-02-18
207,Tannhäuser,1885-02-19
208,Die Walküre,1885-02-20
209,La Juive,1885-02-21
210,Tannhäuser,1885-02-23
211,Le Prophète,1885-02-24
212,La Juive,1885-02-25
213,Guillaume Tell [William Tell],1885-02-26
214,Masaniello,1885-02-27
215,Tannhäuser,1885-02-28
216,Fidelio,1885-02-28
217,Lohengrin,1885-03-02
218,La Juive,1885-03-03
219,Le Prophète,1885-03-04
220,Tannhäuser,1885-03-05
221,Fidelio,1885-03-06
222,Lohengrin,1885-03-07
223,Der Freischütz,1885-03-07
224,Le Prophète,1885-03-08
225,Die Walküre,1885-03-10
226,Die Walküre,1885-03-11
227,La Dame Blanche,1885-03-12
228,Lohengrin,1885-03-13
229,Die Walküre,1885-03-14
230,Don Giovanni,1885-03-14
231,Lohengrin,1885-03-16
232,La Juive,1885-03-17
233,Le Prophète,1885-03-18
234,Tannhäuser,1885-03-19
235,Fidelio,1885-03-20
236,Lohengrin,1885-03-21
237,Der Freischütz,1885-03-21
238,Le Prophète,1885-04-06
239,Tannhäuser,1885-04-07
240,Fidelio,1885-04-08
241,Lohengrin,1885-04-09
242,La Juive,1885-04-10
243,Tannhäuser,1885-04-11
244,Orfeo ed Euridice,1885-04-11
245,Die Walküre,1885-04-13
246,Lohengrin,1885-04-14
247,Tannhäuser,1885-04-15
248,Die Walküre,1885-04-16
249,Fidelio,1885-04-17
250,Die Walküre,1885-04-18
251,La Dame Blanche,1885-04-18
252,Lohengrin,1885-11-23
253,Carmen,1885-11-25
254,Le Prophète,1885-11-27
255,Carmen,1885-11-28
256,Die Walküre,1885-11-30
257,Die Königin von Saba,1885-12-02
258,Die Königin von Saba,1885-12-04
259,Die Walküre,1885-12-05
260,Die Königin von Saba,1885-12-07
261,Le Prophète,1885-12-09
262,Tannhäuser,1885-12-11
263,Die Königin von Saba,1885-12-12
264,Die Königin von Saba,1885-12-14
265,Die Königin von Saba,1885-12-16
266,Lohengrin,1885-12-18
267,Die Königin von Saba,1885-12-19
268,Tannhäuser,1885-12-21
269,Le Prophète,1885-12-22
270,Carmen,1885-12-23
271,Lohengrin,1885-12-24
272,Die Walküre,1885-12-25
273,Tannhäuser,1885-12-26
274,Lohengrin,1885-12-28
275,Carmen,1885-12-29
276,Le Prophète,1885-12-30
277,Tannhäuser,1885-12-31
278,Die Walküre,1886-01-01
279,Die Walküre,1886-01-02
280,Die Meistersinger von Nürnberg,1886-01-04
281,Tannhäuser,1886-01-06
282,Die Meistersinger von Nürnberg,1886-01-08
283,Die Königin von Saba,1886-01-09
284,Die Meistersinger von Nürnberg,1886-01-11
285,Die Walküre,1886-01-13
286,Die Königin von Saba,1886-01-15
287,Die Meistersinger von Nürnberg,1886-01-16
288,Lohengrin,1886-01-18
289,Faust,1886-01-20
290,Die Königin von Saba,1886-01-22
291,Le Prophète,1886-01-23
292,Faust,1886-01-25
293,Die Königin von Saba,1886-01-27
294,Die Meistersinger von Nürnberg,1886-01-29
295,Faust,1886-01-30
296,Faust,1886-02-01
297,Die Meistersinger von Nürnberg,1886-02-03
298,Rienzi,1886-02-05
299,Die Meistersinger von Nürnberg,1886-02-06
300,Rienzi,1886-02-08
301,Rienzi,1886-02-10
302,Tannhäuser,1886-02-12
303,Die Königin von Saba,1886-02-13
304,Die Königin von Saba,1886-02-15
305,Rienzi,1886-02-17
306,Lohengrin,1886-02-19
307,Rienzi,1886-02-20
308,Die Meistersinger von Nürnberg,1886-02-22
309,Die Königin von Saba,1886-02-24
310,Grand Concert,1886-02-25
311,Faust,1886-02-26
312,Rienzi,1886-02-27
313,Concert,1886-02-27
314,Rienzi,1886-03-01
315,Tannhäuser,1886-03-03
316,Die Walküre,1886-03-05
317,Die Königin von Saba,1886-03-06
318,Rienzi,1886-03-15
319,Lohengrin,1886-03-16
320,Rienzi,1886-03-17
321,Faust,1886-03-18
322,Lohengrin,1886-03-19
323,Rienzi,1886-03-20
324,Fidelio,1886-03-20
325,Die Königin von Saba,1886-03-22
326,Tannhäuser,1886-03-23
327,Die Königin von Saba,1886-03-24
328,Tannhäuser,1886-03-25
329,Die Königin von Saba,1886-03-26
330,Die Königin von Saba,1886-03-27
331,Rienzi,1886-03-27
332,Die Königin von Saba,1886-03-29
333,Tannhäuser,1886-03-30
334,Die Königin von Saba,1886-03-31
335,Rienzi,1886-04-01
336,Lohengrin,1886-04-02
337,Die Königin von Saba,1886-04-03
338,Rienzi,1886-04-03
339,Fidelio,1886-04-04
340,Die Königin von Saba,1886-04-05
341,Rienzi,1886-04-06
342,Die Königin von Saba,1886-04-07
343,Rienzi,1886-04-08
344,Die Königin von Saba,1886-04-09
345,Lohengrin,1886-04-10
346,Tannhäuser,1886-04-10
347,Die Königin von Saba,1886-11-08
348,Die Walküre,1886-11-10
349,Aida,1886-11-12
350,Die Walküre,1886-11-13
351,Aida,1886-11-15
352,Le Prophète,1886-11-17
353,Das Goldene Kreuz,1886-11-19
354,Aida,1886-11-20
355,Das Goldene Kreuz,1886-11-22
356,Le Prophète,1886-11-24
357,Tannhäuser,1886-11-26
358,Das Goldene Kreuz,1886-11-27
359,Aida,1886-11-29
360,Tristan und Isolde,1886-12-01
361,Die Königin von Saba,1886-12-03
362,Le Prophète,1886-12-04
363,Tristan und Isolde,1886-12-06
364,Faust,1886-12-08
365,Tannhäuser,1886-12-10
366,Faust,1886-12-11
367,Die Königin von Saba,1886-12-13
368,Lohengrin,1886-12-15
369,Faust,1886-12-17
370,Tannhäuser,1886-12-18
371,Tristan und Isolde,1886-12-20
372,Das Goldene Kreuz,1886-12-22
373,Tristan und Isolde,1886-12-24
374,Die Königin von Saba,1886-12-25
375,Merlin,1887-01-03
376,Tannhäuser,1887-01-05
377,Merlin,1887-01-07
378,Lohengrin,1887-01-08
379,Merlin,1887-01-10
380,Tristan und Isolde,1887-01-12
381,Fidelio,1887-01-14
382,Merlin,1887-01-15
383,Lohengrin,1887-01-17
384,Fidelio,1887-01-19
385,Die Meistersinger von Nürnberg,1887-01-21
386,Tristan und Isolde,1887-01-22
387,Tannhäuser,1887-01-24
388,Tristan und Isolde,1887-01-26
389,Die Meistersinger von Nürnberg,1887-01-28
390,Le Prophète,1887-01-29
391,Rienzi,1887-01-31
392,Die Meistersinger von Nürnberg,1887-02-02
393,Fidelio,1887-02-03
394,Lohengrin,1887-02-04
395,Die Meistersinger von Nürnberg,1887-02-05
396,Tristan und Isolde,1887-02-07
397,Rienzi,1887-02-09
398,Merlin,1887-02-11
399,Rienzi,1887-02-12
400,Die Walküre,1887-02-14
401,Masaniello,1887-02-16
402,Rienzi,1887-02-18
403,Masaniello,1887-02-19
404,Tannhäuser,1887-02-21
405,Le Prophète,1887-02-23
406,Die Meistersinger von Nürnberg,1887-02-25
407,Rienzi,1887-02-26
408,Tristan und Isolde,1887-11-02
409,Die Meistersinger von Nürnberg,1887-11-04
410,Fidelio,1887-11-05
411,Tannhäuser,1887-11-07
412,Siegfried,1887-11-09
413,Siegfried,1887-11-11
414,Tannhäuser,1887-11-12
415,Siegfried,1887-11-14
416,Le Prophète,1887-11-16
417,Tannhäuser,1887-11-18
418,Siegfried,1887-11-19
419,Tristan und Isolde,1887-11-21
420,Der Trompeter von Säkkingen,1887-11-23
421,Le Prophète,1887-11-25
422,Der Trompeter von Säkkingen,1887-11-26
423,Fidelio,1887-11-28
424,Lohengrin,1887-11-30
425,Der Trompeter von Säkkingen,1887-12-02
426,Siegfried,1887-12-03
427,Der Trompeter von Säkkingen,1887-12-05
428,La Juive,1887-12-07
429,Faust,1887-12-09
430,Lohengrin,1887-12-10
431,La Juive,1887-12-12
432,Faust,1887-12-14
433,Siegfried,1887-12-16
434,La Juive,1887-12-17
435,Der Trompeter von Säkkingen,1887-12-19
436,Tannhäuser,1887-12-21
437,Euryanthe,1887-12-23
438,Der Trompeter von Säkkingen,1887-12-24
439,Siegfried,1887-12-26
440,Euryanthe,1887-12-28
441,Lohengrin,1887-12-30
442,Fidelio,1887-12-31
443,Tristan und Isolde,1888-01-02
444,Faust,1888-01-04
445,Fernand Cortez,1888-01-06
446,Euryanthe,1888-01-07
447,Fernand Cortez,1888-01-09
448,Fernand Cortez,1888-01-11
449,Siegfried,1888-01-13
450,Fernand Cortez,1888-01-14
451,Der Trompeter von Säkkingen,1888-01-16
452,Die Walküre,1888-01-18
453,Fidelio,1888-01-20
454,Die Walküre,1888-01-21
455,Lohengrin,1888-01-23
456,Götterdämmerung,1888-01-25
457,Euryanthe,1888-01-27
458,Götterdämmerung,1888-01-28
459,Die Walküre,1888-01-30
460,Siegfried,1888-02-01
461,Götterdämmerung,1888-02-03
462,Lohengrin,1888-02-04
463,Die Walküre,1888-02-06
464,Siegfried,1888-02-08
465,Götterdämmerung,1888-02-10
466,Faust,1888-02-11
467,Götterdämmerung,1888-02-13
468,Lohengrin,1888-02-14
469,Götterdämmerung,1888-02-16
470,Götterdämmerung,1888-02-17
471,Siegfried,1888-02-18
472,Fidelio,1888-03-17
473,Les Huguenots,1888-11-28
474,Lohengrin,1888-11-30
475,Les Huguenots,1888-12-01
476,Guillaume Tell [William Tell],1888-12-03
477,Fidelio,1888-12-05
478,L'Africaine,1888-12-07
479,Lohengrin,1888-12-08
480,L'Africaine,1888-12-10
481,Guillaume Tell [William Tell],1888-12-12
482,Faust,1888-12-14
483,L'Africaine,1888-12-15
484,Les Huguenots,1888-12-17
485,L'Africaine,1888-12-19
486,Siegfried,1888-12-21
487,Guillaume Tell [William Tell],1888-12-22
488,Siegfried,1888-12-24
489,Faust,1888-12-26
490,L'Africaine,1888-12-28
491,Faust,1888-12-29
492,Fidelio,1888-12-31
493,Faust,1889-01-02
494,Das Rheingold,1889-01-04
495,Das Rheingold,1889-01-05
496,Das Rheingold,1889-01-07
497,Le Prophète,1889-01-09
498,Die Meistersinger von Nürnberg,1889-01-11
499,Das Rheingold,1889-01-12
500,Die Meistersinger von Nürnberg,1889-01-14
501,Das Rheingold,1889-01-16
502,Le Prophète,1889-01-18
503,Die Meistersinger von Nürnberg,1889-01-19
504,La Juive,1889-01-21
505,Die Meistersinger von Nürnberg,1889-01-23
506,La Juive,1889-01-25
507,Siegfried,1889-01-26
508,Les Huguenots,1889-01-28
509,Tannhäuser,1889-01-30
510,Le Prophète,1889-02-01
511,Tannhäuser,1889-02-02
512,Tannhäuser,1889-02-04
513,Il Trovatore,1889-02-06
514,Das Rheingold,1889-02-08
515,Il Trovatore,1889-02-09
516,Il Trovatore,1889-02-11
517,Les Huguenots,1889-02-13
518,Die Walküre,1889-02-15
519,Tannhäuser,1889-02-16
520,Siegfried,1889-02-18
521,Aida,1889-02-20
522,Tannhäuser,1889-02-22
523,Die Walküre,1889-02-23
524,Aida,1889-02-25
525,Il Trovatore,1889-02-27
526,Die Meistersinger von Nürnberg,1889-03-01
527,Aida,1889-03-02
528,Das Rheingold,1889-03-04
529,Die Walküre,1889-03-05
530,Siegfried,1889-03-08
531,La Juive,1889-03-09
