,Work,Theatre,City,country,date
745,Hansel and Gretel - Humperdinck,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-08-25 00:00:00
746,Suor Angelica / Gianni Schicchi,ANU Arts Centre,Acton,ACT,2005-08-24 00:00:00
747,Carmen,Her Majesty's Theatre,Ballarat,VIC,2005-08-23 00:00:00
748,Highlights of Opera,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-08-21 00:00:00
749,El Nino,Concert Hall (Sydney Opera House),Sydney,NSW,2005-08-20 00:00:00
750,Carmen,Clocktower Centre,Moonee Ponds,VIC,2005-08-20 00:00:00
751,Carmen,Wyndham Cultural Centre,Werribee,VIC,2005-08-18 00:00:00
752,Don Giovanni,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-08-16 00:00:00
753,Carmen,Whitehorse Centre,Nunawading,VIC,2005-08-15 00:00:00
754,La Boheme,Festival Theatre,Adelaide,SA,2005-08-13 00:00:00
755,Otello,Hamer Hall,Melbourne,VIC,2005-08-13 00:00:00
756,Carmen,Frankston Arts Centre,Frankston,VIC,2005-08-12 00:00:00
757,The Threepenny Opera,Masonic Temple,Lismore,NSW,2005-08-11 00:00:00
758,Treemonisha,Concert Hall,South Bank,QLD,2005-08-10 00:00:00
759,Carmen,George Wood Performing Arts Centre,Ringwood,VIC,2005-08-10 00:00:00
760,Keating!,The Studio (Sydney Opera House),Sydney,NSW,2005-08-09 00:00:00
761,La Boheme,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-08-04 00:00:00
762,La Traviata,His Majesty's Theatre,Perth,WA,2005-08-02 00:00:00
763,Dido and Aeneas / Giannni Schicchi,The Academy Main Theatre,Mt Lawley,WA,2005-08-01 00:00:00
764,Tristan und Isolde,Concert Hall,South Bank,QLD,2005-07-30 00:00:00
765,Carmen,Her Majesty's Theatre,Melbourne,VIC,2005-07-28 00:00:00
766,Trilby,BlackBox ,Melbourne,VIC,2005-07-27 00:00:00
767,Rinaldo,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-07-21 00:00:00
768,The Turn of the Screw,Conservatorium Theatre,South Bank,QLD,2005-07-09 00:00:00
769,Don Giovanni,Athenaeum Theatre,Melbourne,VIC,2005-07-09 00:00:00
770,Midnite,The Playhouse,Adelaide,SA,2005-07-05 00:00:00
771,The Marriage of Figaro in the Outback,Isis Downs Shearing Shed,Isisford,QLD,2005-07-01 00:00:00
772,Ariadne auf Naxos,Joan Sutherland Auditorium,Midland,WA,2005-07-01 00:00:00
773,Don Pasquale,Assembly Hall,Melbourne,VIC,2005-07-01 00:00:00
774,Nabucco,Opera Theatre (Sydney Opera House),Sydney,NSW,2005-06-29 00:00:00
775,Verdi Requiem,Concert Hall (Sydney Opera House),Sydney,NSW,2005-06-26 00:00:00
