,name,uri,composer
58,"America, I Love You",https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=966,David Ahlstrom
59,American Punchlines,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=844,Seymour Barab
60,Amerika,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=845,Ellis B. Kohs
61,Amistad,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=45,Anthony Davis
62,An Aesop Odyssey,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=114,David Gooding
63,An American Dream,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1686,Jack Perla
64,An American Man,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1592,Rene Orth
65,An American Soldier,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1496,Huang Ruo
66,An American Soldier's Tale/ A Fiddler's Tale,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1520,Igor Stravinsky  Wynton Marshalls
67,An American Tragedy,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1120,Tobias   Picker
68,Anais,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=448,Susan   Hurley
69,Anatomy Theater,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1293,David  Lang
70,Andocles and the Lion,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=846,Seymour Barab
71,Androcles and the Lion,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=115,Philip Hagemann
72,Andy: A Popera,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1683,Dan  Visconti
73,Angel Levine,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1277,Elie  Siegmeister
74,Angel of the Amazon,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=835,Evan   Mack
75,Angel Square,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=65,Clifford Crawley
76,Angel's Bone,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1508,Du Yun
77,Angle of Repose,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1288,Andrew    Imbrie
78,"Animal Tales, a musical fable",https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=471,Kitty   Brazelton
79,AnimalOpera (for children),https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=383,Myron Fink
80,Ann and Séamus,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1157,Stephen   Hatfield
81,"ANNA HUNTER, the spirit of Savannah",https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1816,Michael Ching
82,Anna Karenina,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=705,David    Carlson
83,Another Accident,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=303,Alan Stringer
84,Another Brick in the Wall,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1741,Julien Bilodeau
85,Another Sunrise,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1583,
86,Antigone,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=783,Christos  Hatzis
87,Antony and Cleopatra,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=461,Gerard  Chiusano
88,Antony and Cleopatra,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=496,Samuel     Barber
89,Appomattox,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1139,Philip    Glass
90,Aria Da Capo,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1014,Larry Alan Smith
91,Aria da Capo,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=725,Robert Baksa
92,Aria da Capo,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=967,Allan Blank
93,Arjuna's Dilemma,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=748,Douglas      Cuomo
94,Arjuna's Dilemma,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1525,
95,Armagosso,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=261,Manuel B. Gonzalez
96,Armide,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1042,Jonathan    Dawe
97,Arthur Snatchfold,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=304,Alan Stringer
98,As One,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1524,Laura Kaminsky
99,Ashes & Snow,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1840,Douglas Cuomo
100,Ashoka’s Dream,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1260,Peter    Lieberson
101,Assassins,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1398,Stephen J Sondheim
102,At the Statue of Venus,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1527,Jake  Heggie
103,Athaliah,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=847,Hugo Weisgall
104,Atlas — An Opera in Three Parts,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=499,Meredith  Monk
105,Autumn Valentine,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1645,Ricky Ian Gordon
106,Avow,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1436,Adamo  Mark
107,Azteca,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=416,Mildred Kayden
108,L'Arche de Noe,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=797,Isabelle Panneton
109,Pride and Prejudice ,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1450,Mechem  Kirke 
110,The Abbot of Drimock,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=963,Thea  Musgrave
111,The Abduction of Figaro,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=494,(Peter Schickele) P.D.Q. Bach
112,The Adventures of Friar Tuck,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=964,Glenn Paxton
113,The Adventures of Friar Tuck,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1731,Glenn Paxton
114,The Adventures of Pinocchio,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1012,Jonathan  Dove
115,The Adventures of Thumbelina ,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1454,Windsor J Helen
116,The After-Image,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1322,Richard      Beaudoin
117,The Alien Corn,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=270,Thomas Benjamin
118,The Ant and the Grasshopper,https://www.operaamerica.org/applications/NAWD/newworks/details.aspx?id=1186,Allen  Shawn
